;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;;;;0.09;0.0;0.051;0.096;0.0;0.0;0.106;0.0;0.128;0.108;0.345;0.118;0.041;0.116
ENSCAFT00000023892_90_90;;;;0.127;0.0;0.139;0.135;0.0;0.0;0.147;0.063;0.147;0.127;0.328;0.137;0.071;0.135
ENSCAFT00000043832_90_90;;;;0.111;0.0;0.219;0.116;0.0;0.0;0.126;0.054;0.126;0.111;0.258;0.118;0.06;0.116
ENST00000292476_90_90;0.09;0.127;0.111;;;;;;;;;0.506;0.703;0.118;0.599;0.545;0.621
ENST00000412686_90_90;0.0;0.0;0.0;;;;;;;;;0.225;0.309;0.0;0.35;0.425;0.342
ENST00000430038_90_90;0.051;0.139;0.219;;;;;;;;;0.05;0.041;0.078;0.045;0.028;0.044
ENST00000436336_90_90;0.096;0.135;0.116;;;;;;;;;0.551;0.621;0.128;0.653;0.513;0.676
ENST00000440514_90_90;0.0;0.0;0.0;;;;;;;;;0.344;0.473;0.0;0.372;0.363;0.394
ENST00000441580_90_90;0.0;0.0;0.0;;;;;;;;;0.428;0.514;0.0;0.538;0.563;0.564
ENST00000451876_90_90;0.106;0.147;0.126;;;;;;;;;0.629;0.506;0.147;0.562;0.386;0.551
ENST00000452047_90_90;0.0;0.063;0.054;;;;;;;;;0.295;0.374;0.0;0.383;0.386;0.403
ENSMUST00000070487_90_90;0.128;0.147;0.126;0.506;0.225;0.05;0.551;0.344;0.428;0.629;0.295;;;;;;
ENSMUST00000160422_90_90;0.108;0.127;0.111;0.703;0.309;0.041;0.621;0.473;0.514;0.506;0.374;;;;;;
ENSMUST00000160574_90_90;0.345;0.328;0.258;0.118;0.0;0.078;0.128;0.0;0.0;0.147;0.0;;;;;;
ENSMUST00000160629_90_90;0.118;0.137;0.118;0.599;0.35;0.045;0.653;0.372;0.538;0.562;0.383;;;;;;
ENSMUST00000160762_90_90;0.041;0.071;0.06;0.545;0.425;0.028;0.513;0.363;0.563;0.386;0.386;;;;;;
ENSMUST00000162244_90_90;0.116;0.135;0.116;0.621;0.342;0.044;0.676;0.394;0.564;0.551;0.403;;;;;;
