;ENSCAFT00000005773_90_90;ENST00000391851_90_90;ENST00000454376_90_90;ENST00000524771_90_90;ENST00000526224_90_90;ENST00000527382_90_90;ENST00000528623_90_90;ENST00000529284_90_90;ENST00000529836_90_90;ENST00000532489_90_90;ENST00000534280_90_90;ENST00000534465_90_90;ENST00000610806_90_90;ENSMUST00000045325_90_90;ENSMUST00000107843_90_90;ENSMUST00000207370_90_90;ENSMUST00000207522_90_90;ENSMUST00000207659_90_90;ENSMUST00000208312_90_90;ENSMUST00000208778_90_90;ENSMUST00000208829_90_90;ENSMUST00000208938_90_90;ENSMUST00000209056_90_90;ENSMUST00000209124_90_90
ENSCAFT00000005773_90_90;1.0;0.891;0.932;0.569;0.423;0.552;0.139;0.405;0.249;0.818;0.102;0.572;0.671;0.843;0.964;0.923;0.117;0.607;0.575;0.484;0.268;0.29;0.364;0.522
ENST00000391851_90_90;0.891;1.0;0.958;0.584;0.442;0.577;0.166;0.423;0.283;0.854;0.062;0.597;0.76;0.846;0.891;0.929;0.044;0.607;0.572;0.505;0.258;0.303;0.38;0.544
ENST00000454376_90_90;0.932;0.958;1.0;0.624;0.423;0.552;0.16;0.405;0.272;0.818;0.101;0.572;0.729;0.811;0.932;0.891;0.081;0.582;0.548;0.484;0.247;0.29;0.364;0.522
ENST00000524771_90_90;0.569;0.584;0.624;1.0;0.623;0.653;0.231;0.599;0.395;0.48;0.108;0.638;0.486;0.447;0.569;0.53;0.084;0.36;0.497;0.238;0.029;0.428;0.533;0.189
ENST00000526224_90_90;0.423;0.442;0.423;0.623;1.0;0.766;0.175;0.957;0.397;0.52;0.0;0.741;0.422;0.43;0.423;0.442;0.0;0.338;0.505;0.28;0.0;0.6;0.633;0.158
ENST00000527382_90_90;0.552;0.577;0.552;0.653;0.766;1.0;0.141;0.734;0.319;0.679;0.0;0.966;0.365;0.577;0.552;0.577;0.0;0.29;0.425;0.359;0.0;0.467;0.506;0.318
ENST00000528623_90_90;0.139;0.166;0.16;0.231;0.175;0.141;1.0;0.18;0.621;0.098;0.0;0.138;0.217;0.048;0.139;0.145;0.0;0.213;0.226;0.0;0.0;0.309;0.32;0.0
ENST00000529284_90_90;0.405;0.423;0.405;0.599;0.957;0.734;0.18;1.0;0.408;0.496;0.0;0.71;0.431;0.409;0.405;0.423;0.0;0.345;0.516;0.253;0.0;0.624;0.651;0.134
ENST00000529836_90_90;0.249;0.283;0.272;0.395;0.397;0.319;0.621;0.408;1.0;0.223;0.0;0.311;0.369;0.165;0.249;0.26;0.0;0.382;0.404;0.0;0.0;0.623;0.508;0.0
ENST00000532489_90_90;0.818;0.854;0.818;0.48;0.52;0.679;0.098;0.496;0.223;1.0;0.0;0.705;0.614;0.874;0.818;0.854;0.0;0.516;0.483;0.592;0.223;0.318;0.353;0.638
ENST00000534280_90_90;0.102;0.062;0.101;0.108;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.081;0.051;0.083;0.045;0.819;0.065;0.066;0.0;0.127;0.0;0.0;0.0
ENST00000534465_90_90;0.572;0.597;0.572;0.638;0.741;0.966;0.138;0.71;0.311;0.705;0.0;1.0;0.358;0.599;0.572;0.597;0.0;0.284;0.416;0.385;0.0;0.453;0.494;0.343
ENST00000610806_90_90;0.671;0.76;0.729;0.486;0.422;0.365;0.217;0.431;0.369;0.614;0.081;0.358;1.0;0.612;0.671;0.701;0.056;0.782;0.74;0.339;0.332;0.324;0.491;0.305
ENSMUST00000045325_90_90;0.843;0.846;0.811;0.447;0.43;0.577;0.048;0.409;0.165;0.874;0.051;0.599;0.612;1.0;0.843;0.879;0.068;0.542;0.508;0.574;0.317;0.247;0.286;0.619
ENSMUST00000107843_90_90;0.964;0.891;0.932;0.569;0.423;0.552;0.139;0.405;0.249;0.818;0.083;0.572;0.671;0.843;1.0;0.958;0.099;0.635;0.603;0.484;0.268;0.29;0.388;0.522
ENSMUST00000207370_90_90;0.923;0.929;0.891;0.53;0.442;0.577;0.145;0.423;0.26;0.854;0.045;0.597;0.701;0.879;0.958;1.0;0.06;0.663;0.629;0.505;0.28;0.303;0.404;0.544
ENSMUST00000207522_90_90;0.117;0.044;0.081;0.084;0.0;0.0;0.0;0.0;0.0;0.0;0.819;0.0;0.056;0.068;0.099;0.06;1.0;0.088;0.088;0.0;0.173;0.0;0.0;0.0
ENSMUST00000207659_90_90;0.607;0.607;0.582;0.36;0.338;0.29;0.213;0.345;0.382;0.516;0.065;0.284;0.782;0.542;0.635;0.663;0.088;1.0;0.702;0.236;0.416;0.37;0.44;0.243
ENSMUST00000208312_90_90;0.575;0.572;0.548;0.497;0.505;0.425;0.226;0.516;0.404;0.483;0.066;0.416;0.74;0.508;0.603;0.629;0.088;0.702;1.0;0.277;0.196;0.387;0.638;0.174
ENSMUST00000208778_90_90;0.484;0.505;0.484;0.238;0.28;0.359;0.0;0.253;0.0;0.592;0.0;0.385;0.339;0.574;0.484;0.505;0.0;0.236;0.277;1.0;0.238;0.056;0.148;0.702
ENSMUST00000208829_90_90;0.268;0.258;0.247;0.029;0.0;0.0;0.0;0.0;0.0;0.223;0.127;0.0;0.332;0.317;0.268;0.28;0.173;0.416;0.196;0.238;1.0;0.0;0.0;0.338
ENSMUST00000208938_90_90;0.29;0.303;0.29;0.428;0.6;0.467;0.309;0.624;0.623;0.318;0.0;0.453;0.324;0.247;0.29;0.303;0.0;0.37;0.387;0.056;0.0;1.0;0.481;0.053
ENSMUST00000209056_90_90;0.364;0.38;0.364;0.533;0.633;0.506;0.32;0.651;0.508;0.353;0.0;0.494;0.491;0.286;0.388;0.404;0.0;0.44;0.638;0.148;0.0;0.481;1.0;0.053
ENSMUST00000209124_90_90;0.522;0.544;0.522;0.189;0.158;0.318;0.0;0.134;0.0;0.638;0.0;0.343;0.305;0.619;0.522;0.544;0.0;0.243;0.174;0.702;0.338;0.053;0.053;1.0
