;ENSCAFT00000031718_90_90;ENSCAFT00000036937_90_90;ENST00000258180_90_90;ENST00000538274_90_90;ENST00000562564_90_90;ENST00000562580_90_90;ENST00000566428_90_90;ENST00000567328_90_90;ENSMUST00000034281_90_90;ENSMUST00000108948_90_90;ENSMUST00000108950_90_90;ENSMUST00000108951_90_90;ENSMUST00000132229_90_90;ENSMUST00000153725_90_90
ENSCAFT00000031718_90_90;1.0;0.943;0.954;0.896;0.229;0.558;0.954;0.73;0.95;0.715;0.95;0.887;0.126;0.429
ENSCAFT00000036937_90_90;0.943;1.0;0.896;0.95;0.241;0.596;0.896;0.775;0.887;0.763;0.887;0.944;0.133;0.453
ENST00000258180_90_90;0.954;0.896;1.0;0.947;0.221;0.616;1.0;0.673;1.0;0.664;1.0;0.932;0.131;0.446
ENST00000538274_90_90;0.896;0.95;0.947;1.0;0.232;0.656;0.947;0.708;0.932;0.707;0.932;1.0;0.14;0.473
ENST00000562564_90_90;0.229;0.241;0.221;0.232;1.0;0.396;0.221;0.102;0.25;0.114;0.25;0.267;0.0;0.0
ENST00000562580_90_90;0.558;0.596;0.616;0.656;0.396;1.0;0.616;0.371;0.572;0.34;0.572;0.619;0.0;0.092
ENST00000566428_90_90;0.954;0.896;1.0;0.947;0.221;0.616;1.0;0.673;1.0;0.664;1.0;0.932;0.131;0.446
ENST00000567328_90_90;0.73;0.775;0.673;0.708;0.102;0.371;0.673;1.0;0.664;1.0;0.664;0.707;0.175;0.597
ENSMUST00000034281_90_90;0.95;0.887;1.0;0.932;0.25;0.572;1.0;0.664;1.0;0.637;1.0;0.938;0.126;0.429
ENSMUST00000108948_90_90;0.715;0.763;0.664;0.707;0.114;0.34;0.664;1.0;0.637;1.0;0.637;0.673;0.175;0.597
ENSMUST00000108950_90_90;0.95;0.887;1.0;0.932;0.25;0.572;1.0;0.664;1.0;0.637;1.0;0.938;0.126;0.429
ENSMUST00000108951_90_90;0.887;0.944;0.932;1.0;0.267;0.619;0.932;0.707;0.938;0.673;0.938;1.0;0.133;0.453
ENSMUST00000132229_90_90;0.126;0.133;0.131;0.14;0.0;0.0;0.131;0.175;0.126;0.175;0.126;0.133;1.0;0.301
ENSMUST00000153725_90_90;0.429;0.453;0.446;0.473;0.0;0.092;0.446;0.597;0.429;0.597;0.429;0.453;0.301;1.0
