;ENSCAFT00000006937_90_90;ENST00000422453_90_90;ENST00000441626_90_90;ENST00000446936_90_90;ENST00000451728_90_90;ENST00000500450_90_90;ENST00000502976_90_90;ENST00000504813_90_90;ENST00000512338_90_90;ENSMUST00000032138_90_90;ENSMUST00000113617_90_90;ENSMUST00000113619_90_90;ENSMUST00000204653_90_90;ENSMUST00000204890_90_90
ENSCAFT00000006937_90_90;1.0;0.858;0.913;0.81;0.906;0.674;0.748;0.784;0.626;0.906;0.858;0.748;0.858;0.795
ENST00000422453_90_90;0.858;1.0;0.858;0.748;0.942;0.764;0.855;0.909;0.506;0.845;0.887;0.756;0.887;0.815
ENST00000441626_90_90;0.913;0.858;1.0;0.889;0.906;0.674;0.748;0.784;0.626;0.906;0.858;0.748;0.858;0.795
ENST00000446936_90_90;0.81;0.748;0.889;1.0;0.795;0.743;0.828;0.674;0.619;0.795;0.748;0.828;0.748;0.791
ENST00000451728_90_90;0.906;0.942;0.906;0.795;1.0;0.728;0.811;0.858;0.546;0.898;0.845;0.726;0.845;0.778
ENST00000500450_90_90;0.674;0.764;0.674;0.743;0.728;1.0;0.887;0.836;0.419;0.647;0.672;0.754;0.672;0.716
ENST00000502976_90_90;0.748;0.855;0.748;0.828;0.811;0.887;1.0;0.764;0.489;0.726;0.756;0.855;0.756;0.807
ENST00000504813_90_90;0.784;0.909;0.784;0.674;0.858;0.836;0.764;1.0;0.441;0.768;0.803;0.672;0.803;0.731
ENST00000512338_90_90;0.626;0.506;0.626;0.619;0.546;0.419;0.489;0.441;1.0;0.546;0.506;0.489;0.506;0.533
ENSMUST00000032138_90_90;0.906;0.845;0.906;0.795;0.898;0.647;0.726;0.768;0.546;1.0;0.942;0.811;0.942;0.869
ENSMUST00000113617_90_90;0.858;0.887;0.858;0.748;0.845;0.672;0.756;0.803;0.506;0.942;1.0;0.855;1.0;0.92
ENSMUST00000113619_90_90;0.748;0.756;0.748;0.828;0.726;0.754;0.855;0.672;0.489;0.811;0.855;1.0;0.855;0.925
ENSMUST00000204653_90_90;0.858;0.887;0.858;0.748;0.845;0.672;0.756;0.803;0.506;0.942;1.0;0.855;1.0;0.92
ENSMUST00000204890_90_90;0.795;0.815;0.795;0.791;0.778;0.716;0.807;0.731;0.533;0.869;0.92;0.925;0.92;1.0
