;ENSCAFT00000027907_90_90;ENST00000344626_90_90;ENST00000413806_90_90;ENST00000429416_90_90;ENST00000444061_90_90;ENST00000450717_90_90;ENST00000541122_90_90;ENST00000586985_90_90;ENST00000589677_90_90;ENST00000590574_90_90;ENST00000592158_90_90;ENSMUST00000034707_90_90;ENSMUST00000098948_90_90;ENSMUST00000172996_90_90;ENSMUST00000174008_90_90
ENSCAFT00000027907_90_90;1.0;0.933;0.875;0.933;0.929;0.875;0.933;0.067;0.867;1.0;0.2;1.0;0.933;0.5;0.929
ENST00000344626_90_90;0.933;1.0;0.824;1.0;0.867;0.938;0.875;0.062;0.812;0.933;0.188;0.933;0.875;0.562;0.867
ENST00000413806_90_90;0.875;0.824;1.0;0.824;0.812;0.778;0.938;0.059;0.875;0.875;0.25;0.875;0.938;0.529;0.812
ENST00000429416_90_90;0.933;1.0;0.824;1.0;0.867;0.938;0.875;0.062;0.812;0.933;0.188;0.933;0.875;0.562;0.867
ENST00000444061_90_90;0.929;0.867;0.812;0.867;1.0;0.812;0.867;0.071;0.929;0.929;0.214;0.929;0.867;0.533;1.0
ENST00000450717_90_90;0.875;0.938;0.778;0.938;0.812;1.0;0.824;0.059;0.765;0.875;0.176;0.875;0.824;0.529;0.812
ENST00000541122_90_90;0.933;0.875;0.938;0.875;0.867;0.824;1.0;0.062;0.933;0.933;0.267;0.933;1.0;0.562;0.867
ENST00000586985_90_90;0.067;0.062;0.059;0.062;0.071;0.059;0.062;1.0;0.067;0.067;0.0;0.067;0.062;0.0;0.071
ENST00000589677_90_90;0.867;0.812;0.875;0.812;0.929;0.765;0.933;0.067;1.0;0.867;0.286;0.867;0.933;0.6;0.929
ENST00000590574_90_90;1.0;0.933;0.875;0.933;0.929;0.875;0.933;0.067;0.867;1.0;0.2;1.0;0.933;0.5;0.929
ENST00000592158_90_90;0.2;0.188;0.25;0.188;0.214;0.176;0.267;0.0;0.286;0.2;1.0;0.2;0.267;0.4;0.214
ENSMUST00000034707_90_90;1.0;0.933;0.875;0.933;0.929;0.875;0.933;0.067;0.867;1.0;0.2;1.0;0.933;0.5;0.929
ENSMUST00000098948_90_90;0.933;0.875;0.938;0.875;0.867;0.824;1.0;0.062;0.933;0.933;0.267;0.933;1.0;0.562;0.867
ENSMUST00000172996_90_90;0.5;0.562;0.529;0.562;0.533;0.529;0.562;0.0;0.6;0.5;0.4;0.5;0.562;1.0;0.533
ENSMUST00000174008_90_90;0.929;0.867;0.812;0.867;1.0;0.812;0.867;0.071;0.929;0.929;0.214;0.929;0.867;0.533;1.0
