;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;0.944;0.944;0.994;0.836;0.993;0.993;0.993;0.925;0.831;0.762;0.241;0.963;0.999;0.33;0.791;0.768;0.768;0.278;0.768;0.801;0.801;0.704;0.112;0.308;0.239;0.732;0.219;0.112;0.376;0.734;0.266;0.424;0.963;0.169;0.119;0.35;0.999;0.902;0.965;0.936;0.791;0.763;0.854;0.854;0.854;0.831;0.993;0.13;0.831;0.47;0.167;0.993;0.117;0.708;0.806;0.806;0.806;0.806;0.806;0.308;0.806;0.013;0.026
ENSCAFT00000013439_90_90;0.944;1.0;0.849;0.99;0.841;0.724;0.724;0.724;0.655;0.711;0.641;0.142;0.703;0.726;0.158;0.689;0.826;0.938;0.251;0.9;0.856;0.856;0.777;0.082;0.283;0.212;0.664;0.192;0.082;0.353;0.818;0.24;0.402;0.702;0.019;0.102;0.179;0.724;0.635;0.7;0.658;0.688;0.485;0.843;0.962;0.923;0.716;0.73;0.113;0.716;0.315;0.019;0.73;0.012;0.766;0.849;0.849;0.849;0.849;0.849;0.278;0.849;0.002;0.002
ENSCAFT00000037016_90_90;0.944;0.849;1.0;0.99;0.904;0.787;0.787;0.787;0.712;0.773;0.697;0.154;0.761;0.786;0.171;0.746;0.834;0.938;0.254;0.979;0.899;0.899;0.816;0.086;0.297;0.223;0.697;0.201;0.086;0.37;0.858;0.252;0.422;0.761;0.021;0.11;0.194;0.786;0.689;0.759;0.713;0.746;0.526;0.849;0.958;1.0;0.776;0.79;0.122;0.776;0.341;0.021;0.79;0.013;0.812;0.9;0.9;0.9;0.9;0.9;0.295;0.9;0.002;0.002
ENSCAFT00000021145_90_90;0.994;0.99;0.99;1.0;0.867;0.999;0.999;1.0;0.939;0.84;0.78;0.216;0.876;0.995;0.29;0.726;0.796;0.796;0.272;0.796;0.831;0.831;0.71;0.106;0.292;0.226;0.695;0.208;0.106;0.356;0.766;0.252;0.402;0.876;0.145;0.108;0.309;0.995;0.819;0.876;0.939;0.726;0.692;0.894;0.894;0.894;0.84;1.0;0.114;0.84;0.428;0.16;1.0;0.116;0.714;0.836;0.836;0.836;0.836;0.836;0.292;0.836;0.012;0.024
ENSCAFT00000025193_90_90;0.836;0.841;0.904;0.867;1.0;0.694;0.694;0.695;0.638;0.762;0.699;0.186;0.647;0.691;0.142;0.707;0.825;0.933;0.3;0.906;0.995;0.995;0.883;0.101;0.269;0.21;0.64;0.193;0.101;0.328;0.931;0.233;0.369;0.658;0.013;0.111;0.162;0.702;0.602;0.656;0.647;0.719;0.477;0.819;0.932;0.904;0.766;0.698;0.12;0.766;0.271;0.013;0.698;0.0;0.881;0.999;0.999;0.999;0.999;0.999;0.269;0.999;0.011;0.022
ENST00000302271_90_90;0.993;0.724;0.787;0.999;0.694;1.0;1.0;0.995;0.94;0.836;0.78;0.215;0.859;0.995;0.29;0.712;0.617;0.676;0.272;0.658;0.667;0.667;0.569;0.106;0.292;0.227;0.695;0.208;0.106;0.356;0.615;0.252;0.402;0.859;0.145;0.108;0.309;0.995;0.804;0.859;0.938;0.712;0.68;0.664;0.746;0.725;0.84;0.999;0.115;0.84;0.427;0.16;0.999;0.116;0.576;0.675;0.675;0.675;0.675;0.675;0.292;0.675;0.012;0.024
ENST00000374612_90_90;0.993;0.724;0.787;0.999;0.694;1.0;1.0;0.995;0.94;0.836;0.78;0.215;0.859;0.995;0.29;0.712;0.617;0.676;0.272;0.658;0.667;0.667;0.569;0.106;0.292;0.227;0.695;0.208;0.106;0.356;0.615;0.252;0.402;0.859;0.145;0.108;0.309;0.995;0.804;0.859;0.938;0.712;0.68;0.664;0.746;0.725;0.84;0.999;0.115;0.84;0.427;0.16;0.999;0.116;0.576;0.675;0.675;0.675;0.675;0.675;0.292;0.675;0.012;0.024
ENST00000374616_90_90;0.993;0.724;0.787;1.0;0.695;0.995;0.995;1.0;0.936;0.841;0.777;0.214;0.86;0.995;0.29;0.712;0.618;0.676;0.272;0.659;0.668;0.668;0.57;0.106;0.292;0.226;0.695;0.208;0.106;0.356;0.615;0.252;0.402;0.86;0.145;0.108;0.309;0.995;0.804;0.86;0.939;0.712;0.679;0.665;0.747;0.726;0.84;1.0;0.114;0.84;0.428;0.16;1.0;0.116;0.577;0.675;0.675;0.675;0.675;0.675;0.292;0.675;0.012;0.024
ENST00000427764_90_90;0.925;0.655;0.712;0.939;0.638;0.94;0.94;0.936;1.0;0.777;0.83;0.228;0.799;0.933;0.229;0.652;0.558;0.611;0.196;0.595;0.613;0.613;0.515;0.063;0.225;0.159;0.627;0.14;0.063;0.288;0.565;0.185;0.334;0.799;0.154;0.062;0.247;0.933;0.744;0.799;0.877;0.652;0.619;0.602;0.676;0.657;0.78;0.939;0.054;0.78;0.367;0.171;0.939;0.124;0.521;0.62;0.62;0.62;0.62;0.62;0.224;0.62;0.013;0.026
ENST00000478691_90_90;0.831;0.711;0.773;0.84;0.762;0.836;0.836;0.841;0.777;1.0;0.923;0.254;0.716;0.849;0.141;0.84;0.731;0.815;0.339;0.789;0.753;0.753;0.641;0.108;0.33;0.252;0.811;0.23;0.108;0.407;0.716;0.283;0.462;0.716;0.0;0.128;0.159;0.849;0.66;0.716;0.793;0.84;0.534;0.703;0.798;0.773;1.0;0.84;0.136;1.0;0.268;0.001;0.84;0.0;0.649;0.763;0.763;0.763;0.763;0.763;0.33;0.763;0.0;0.011
