;ENSCAFT00000017891_90_90;ENST00000265165_90_90;ENST00000379951_90_90;ENST00000438313_90_90;ENST00000504950_90_90;ENST00000506680_90_90;ENST00000510624_90_90;ENST00000512172_90_90;ENST00000515500_90_90;ENSMUST00000029611_90_90;ENSMUST00000066849_90_90;ENSMUST00000098611_90_90;ENSMUST00000106341_90_90
ENSCAFT00000017891_90_90;1.0;0.997;0.847;0.928;0.324;0.756;0.75;0.356;0.425;1.0;0.929;0.826;0.848
ENST00000265165_90_90;0.997;1.0;0.849;0.93;0.323;0.71;0.746;0.352;0.421;0.997;0.929;0.818;0.847
ENST00000379951_90_90;0.847;0.849;1.0;0.908;0.245;0.623;0.724;0.364;0.339;0.846;0.906;0.678;0.998
ENST00000438313_90_90;0.928;0.93;0.908;1.0;0.254;0.644;0.802;0.378;0.352;0.928;0.998;0.748;0.906
ENST00000504950_90_90;0.324;0.323;0.245;0.254;1.0;0.392;0.317;0.565;0.721;0.323;0.254;0.4;0.245
ENST00000506680_90_90;0.756;0.71;0.623;0.644;0.392;1.0;0.474;0.426;0.51;0.755;0.686;0.577;0.661
ENST00000510624_90_90;0.75;0.746;0.724;0.802;0.317;0.474;1.0;0.477;0.436;0.748;0.805;0.913;0.726
ENST00000512172_90_90;0.356;0.352;0.364;0.378;0.565;0.426;0.477;1.0;0.833;0.355;0.38;0.438;0.366
ENST00000515500_90_90;0.425;0.421;0.339;0.352;0.721;0.51;0.436;0.833;1.0;0.424;0.355;0.522;0.342
ENSMUST00000029611_90_90;1.0;0.997;0.846;0.928;0.323;0.755;0.748;0.355;0.424;1.0;0.929;0.82;0.848
ENSMUST00000066849_90_90;0.929;0.929;0.906;0.998;0.254;0.686;0.805;0.38;0.355;0.929;1.0;0.75;0.908
ENSMUST00000098611_90_90;0.826;0.818;0.678;0.748;0.4;0.577;0.913;0.438;0.522;0.82;0.75;1.0;0.68
ENSMUST00000106341_90_90;0.848;0.847;0.998;0.906;0.245;0.661;0.726;0.366;0.342;0.848;0.908;0.68;1.0
