;ENSCAFT00000044998_90_90;ENST00000158771_90_90;ENST00000570848_90_90;ENST00000571476_90_90;ENST00000571971_90_90;ENST00000572834_90_90;ENST00000573637_90_90;ENST00000574952_90_90;ENST00000575605_90_90;ENST00000576551_90_90;ENSMUST00000018586_90_90;ENSMUST00000108523_90_90;ENSMUST00000131340_90_90;ENSMUST00000132198_90_90;ENSMUST00000143850_90_90;ENSMUST00000171041_90_90
ENSCAFT00000044998_90_90;1.0;0.905;0.5;0.4;0.636;0.35;0.2;0.2;0.391;0.381;0.5;0.905;0.043;0.238;1.0;0.6
ENST00000158771_90_90;0.905;1.0;0.5;0.4;0.636;0.35;0.2;0.2;0.455;0.381;0.5;0.818;0.043;0.238;0.905;0.524
ENST00000570848_90_90;0.5;0.5;1.0;0.5;0.812;0.538;0.278;0.278;0.316;0.692;0.643;0.5;0.062;0.357;0.5;0.136
ENST00000571476_90_90;0.4;0.4;0.5;1.0;0.412;0.364;0.2;0.2;0.111;0.7;0.8;0.4;0.091;0.273;0.4;0.111
ENST00000571971_90_90;0.636;0.636;0.812;0.412;1.0;0.438;0.238;0.238;0.4;0.562;0.529;0.636;0.053;0.294;0.636;0.273
ENST00000572834_90_90;0.35;0.35;0.538;0.364;0.438;1.0;0.417;0.417;0.056;0.455;0.545;0.35;0.1;0.625;0.35;0.056
ENST00000573637_90_90;0.2;0.2;0.278;0.2;0.238;0.417;1.0;1.0;0.0;0.267;0.333;0.2;0.4;0.6;0.2;0.0
ENST00000574952_90_90;0.2;0.2;0.278;0.2;0.238;0.417;1.0;1.0;0.0;0.267;0.333;0.2;0.4;0.6;0.2;0.0
ENST00000575605_90_90;0.391;0.455;0.316;0.111;0.4;0.056;0.0;0.0;1.0;0.167;0.1;0.333;0.0;0.0;0.391;0.5
ENST00000576551_90_90;0.381;0.381;0.692;0.7;0.562;0.455;0.267;0.267;0.167;1.0;0.727;0.381;0.083;0.364;0.381;0.05
ENSMUST00000018586_90_90;0.5;0.5;0.643;0.8;0.529;0.545;0.333;0.333;0.1;0.727;1.0;0.5;0.077;0.455;0.5;0.1
ENSMUST00000108523_90_90;0.905;0.818;0.5;0.4;0.636;0.35;0.2;0.2;0.333;0.381;0.5;1.0;0.043;0.238;0.905;0.524
ENSMUST00000131340_90_90;0.043;0.043;0.062;0.091;0.053;0.1;0.4;0.4;0.0;0.083;0.077;0.043;1.0;0.25;0.043;0.0
ENSMUST00000132198_90_90;0.238;0.238;0.357;0.273;0.294;0.625;0.6;0.6;0.0;0.364;0.455;0.238;0.25;1.0;0.238;0.0
ENSMUST00000143850_90_90;1.0;0.905;0.5;0.4;0.636;0.35;0.2;0.2;0.391;0.381;0.5;0.905;0.043;0.238;1.0;0.6
ENSMUST00000171041_90_90;0.6;0.524;0.136;0.111;0.273;0.056;0.0;0.0;0.5;0.05;0.1;0.524;0.0;0.0;0.6;1.0
