;ENSCAFT00000022395_90_90;ENST00000319481_90_90;ENST00000357041_90_90;ENST00000399441_90_90;ENST00000399443_90_90;ENST00000578013_90_90;ENST00000578055_90_90;ENST00000578091_90_90;ENST00000579851_90_90;ENST00000582645_90_90;ENST00000584119_90_90;ENST00000638614_90_90;ENSMUST00000074352_90_90;ENSMUST00000117361_90_90;ENSMUST00000118313_90_90;ENSMUST00000119043_90_90;ENSMUST00000119512_90_90;ENSMUST00000121774_90_90;ENSMUST00000121808_90_90;ENSMUST00000121888_90_90;ENSMUST00000122175_90_90;ENSMUST00000124570_90_90;ENSMUST00000143077_90_90;ENSMUST00000147197_90_90;ENSMUST00000155650_90_90
ENSCAFT00000022395_90_90;1.0;0.931;0.552;0.241;0.31;0.103;0.172;0.138;0.069;0.138;0.138;0.103;0.963;0.37;0.37;0.37;0.519;0.222;0.37;0.37;0.37;0.037;0.296;0.111;0.296
ENST00000319481_90_90;0.931;1.0;0.621;0.233;0.345;0.103;0.207;0.138;0.069;0.138;0.129;0.094;0.929;0.321;0.321;0.321;0.464;0.222;0.321;0.321;0.37;0.037;0.25;0.111;0.25
ENST00000357041_90_90;0.552;0.621;1.0;0.0;0.556;0.167;0.333;0.0;0.0;0.0;0.2;0.143;0.593;0.529;0.529;0.529;0.765;0.375;0.529;0.529;0.0;0.062;0.412;0.0;0.412
ENST00000399441_90_90;0.241;0.233;0.0;1.0;0.0;0.0;0.0;0.333;0.111;0.5;0.0;0.0;0.259;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.429;0.0
ENST00000399443_90_90;0.31;0.345;0.556;0.0;1.0;0.3;0.6;0.0;0.0;0.0;0.0;0.231;0.333;0.9;0.9;0.9;0.643;0.667;0.9;0.9;0.0;0.111;0.7;0.0;0.417
ENST00000578013_90_90;0.103;0.103;0.167;0.0;0.3;1.0;0.125;0.0;0.0;0.0;0.0;0.0;0.111;0.3;0.3;0.3;0.214;0.5;0.3;0.3;0.0;0.0;0.1;0.0;0.0
ENST00000578055_90_90;0.172;0.207;0.333;0.0;0.6;0.125;1.0;0.0;0.0;0.0;0.0;0.333;0.185;0.5;0.5;0.5;0.357;0.222;0.5;0.5;0.0;0.2;0.444;0.0;0.444
ENST00000578091_90_90;0.138;0.138;0.0;0.333;0.0;0.0;0.0;1.0;0.5;0.6;0.0;0.0;0.148;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.4;0.0
ENST00000579851_90_90;0.069;0.069;0.0;0.111;0.0;0.0;0.0;0.5;1.0;0.2;0.0;0.0;0.074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.0;0.0;0.25;0.0
ENST00000582645_90_90;0.138;0.138;0.0;0.5;0.0;0.0;0.0;0.6;0.2;1.0;0.0;0.0;0.148;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.4;0.0
ENST00000584119_90_90;0.138;0.129;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.148;0.0;0.0;0.0;0.059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000638614_90_90;0.103;0.094;0.143;0.0;0.231;0.0;0.333;0.0;0.0;0.0;0.0;1.0;0.111;0.3;0.3;0.3;0.214;0.125;0.3;0.3;0.0;0.0;0.375;0.0;0.375
ENSMUST00000074352_90_90;0.963;0.929;0.593;0.259;0.333;0.111;0.185;0.148;0.074;0.148;0.148;0.111;1.0;0.345;0.345;0.345;0.517;0.207;0.345;0.345;0.281;0.034;0.276;0.103;0.3
ENSMUST00000117361_90_90;0.37;0.321;0.529;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000118313_90_90;0.37;0.321;0.529;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000119043_90_90;0.37;0.321;0.529;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000119512_90_90;0.519;0.464;0.765;0.0;0.643;0.214;0.357;0.0;0.0;0.0;0.059;0.214;0.517;0.667;0.667;0.667;1.0;0.4;0.667;0.667;0.0;0.067;0.533;0.0;0.562
ENSMUST00000121774_90_90;0.222;0.222;0.375;0.0;0.667;0.5;0.222;0.0;0.0;0.0;0.0;0.125;0.207;0.6;0.6;0.6;0.4;1.0;0.6;0.6;0.0;0.0;0.4;0.0;0.143
ENSMUST00000121808_90_90;0.37;0.321;0.529;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000121888_90_90;0.37;0.321;0.529;0.0;0.9;0.3;0.5;0.0;0.0;0.0;0.0;0.3;0.345;1.0;1.0;1.0;0.667;0.6;1.0;1.0;0.0;0.1;0.8;0.0;0.429
ENSMUST00000122175_90_90;0.37;0.37;0.0;0.7;0.0;0.0;0.0;0.4;0.2;0.4;0.0;0.0;0.281;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.25;0.0
ENSMUST00000124570_90_90;0.037;0.037;0.062;0.0;0.111;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.034;0.1;0.1;0.1;0.067;0.0;0.1;0.1;0.0;1.0;0.125;0.0;0.1
ENSMUST00000143077_90_90;0.296;0.25;0.412;0.0;0.7;0.1;0.444;0.0;0.0;0.0;0.0;0.375;0.276;0.8;0.8;0.8;0.533;0.4;0.8;0.8;0.0;0.125;1.0;0.0;0.5
ENSMUST00000147197_90_90;0.111;0.111;0.0;0.429;0.0;0.0;0.0;0.4;0.25;0.4;0.0;0.0;0.103;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;1.0;0.0
ENSMUST00000155650_90_90;0.296;0.25;0.412;0.0;0.417;0.0;0.444;0.0;0.0;0.0;0.0;0.375;0.3;0.429;0.429;0.429;0.562;0.143;0.429;0.429;0.0;0.1;0.5;0.0;1.0
