;transcript7_ENSMSIG00000000513;transcript7_ENSMUSG00000054036;transcript26_ENSMSIG00000000513;transcript26_MGP-PahariEiJ-G0020237;transcript41_ENSMSIG00000000513;transcript41_MGP-SPRETEiJ-G0021131;transcript43_ENSMSIG00000000513;transcript43_MGP-CAROLIEiJ-G0020234;transcript46_ENSMSIG00000000513;transcript47_ENSMSIG00000000513;transcript48_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript22_MGP-SPRETEiJ-G0021131;transcript22_MGP-CAROLIEiJ-G0020234;transcript36_ENSMUSG00000054036;transcript8_MGP-CAROLIEiJ-G0020234;transcript32_MGP-CAROLIEiJ-G0020234;transcript32_ENSRNOG00000031503;transcript32_ENSMUGG00000013592;transcript33_MGP-CAROLIEiJ-G0020234;transcript33_ENSRNOG00000031503;transcript33_ENSMUGG00000013592;transcript42_MGP-CAROLIEiJ-G0020234;transcript9_ENSRNOG00000031503;transcript18_ENSRNOG00000031503;transcript18_ENSMUGG00000013592;transcript19_ENSRNOG00000031503;transcript21_ENSRNOG00000031503;transcript23_ENSRNOG00000031503;transcript34_ENSMUGG00000013592;transcript35_ENSMUGG00000013592
transcript7_ENSMSIG00000000513;1.0;1.0;0.623;0.623;0.631;0.734;0.631;0.712;0.575;0.623;0.575;0.631;0.568;0.555;0.486;0.573;0.603;0.526;0.518;0.648;0.564;0.549;0.603;0.411;0.502;0.505;0.471;0.48;0.48;0.516;0.516
transcript7_ENSMUSG00000054036;1.0;1.0;0.801;0.797;0.632;0.736;0.632;0.714;0.609;0.801;0.609;0.814;0.41;0.387;0.394;0.398;0.444;0.451;0.441;0.457;0.463;0.453;0.444;0.351;0.494;0.491;0.385;0.385;0.385;0.501;0.501
transcript26_ENSMSIG00000000513;0.623;0.801;1.0;1.0;0.598;0.785;0.598;0.761;0.702;1.0;0.702;0.988;0.722;0.712;0.647;0.684;0.622;0.475;0.457;0.56;0.417;0.408;0.622;0.481;0.82;0.814;0.6;0.554;0.554;0.824;0.824
transcript26_MGP-PahariEiJ-G0020237;0.623;0.797;1.0;1.0;0.596;0.783;0.596;0.758;0.702;1.0;0.702;0.988;0.867;0.843;0.827;0.806;0.714;0.559;0.55;0.629;0.482;0.481;0.714;0.585;0.98;0.988;0.724;0.682;0.682;1.0;1.0
transcript41_ENSMSIG00000000513;0.631;0.632;0.598;0.596;1.0;0.998;1.0;0.991;0.887;0.598;0.887;0.606;0.697;0.691;0.7;0.66;0.588;0.58;0.598;0.629;0.624;0.636;0.588;0.577;0.5;0.469;0.667;0.683;0.683;0.48;0.48
transcript41_MGP-SPRETEiJ-G0021131;0.734;0.736;0.785;0.783;0.998;1.0;0.998;0.989;0.896;0.785;0.896;0.801;0.538;0.521;0.545;0.491;0.401;0.43;0.418;0.434;0.459;0.451;0.401;0.504;0.478;0.45;0.54;0.54;0.54;0.46;0.46
transcript43_ENSMSIG00000000513;0.631;0.632;0.598;0.596;1.0;0.998;1.0;0.991;0.887;0.598;0.887;0.606;0.697;0.691;0.7;0.66;0.588;0.58;0.598;0.629;0.624;0.636;0.588;0.577;0.5;0.469;0.667;0.683;0.683;0.48;0.48
transcript43_MGP-CAROLIEiJ-G0020234;0.712;0.714;0.761;0.758;0.991;0.989;0.991;1.0;0.888;0.761;0.888;0.779;0.42;0.422;0.427;0.399;0.336;0.347;0.334;0.354;0.362;0.352;0.336;0.408;0.393;0.366;0.43;0.43;0.43;0.374;0.374
transcript46_ENSMSIG00000000513;0.575;0.609;0.702;0.702;0.887;0.896;0.887;0.888;1.0;0.702;1.0;0.69;0.764;0.76;0.766;0.73;0.657;0.639;0.651;0.588;0.564;0.586;0.657;0.641;0.602;0.559;0.791;0.74;0.74;0.57;0.57
transcript47_ENSMSIG00000000513;0.623;0.801;1.0;1.0;0.598;0.785;0.598;0.761;0.702;1.0;0.702;0.988;0.722;0.712;0.647;0.684;0.622;0.475;0.457;0.56;0.417;0.408;0.622;0.481;0.82;0.814;0.6;0.554;0.554;0.824;0.824
transcript48_ENSMSIG00000000513;0.575;0.609;0.702;0.702;0.887;0.896;0.887;0.888;1.0;0.702;1.0;0.69;0.764;0.76;0.766;0.73;0.657;0.639;0.651;0.588;0.564;0.586;0.657;0.641;0.602;0.559;0.791;0.74;0.74;0.57;0.57
transcript49_ENSMSIG00000000513;0.631;0.814;0.988;0.988;0.606;0.801;0.606;0.779;0.69;0.988;0.69;1.0;0.706;0.695;0.633;0.666;0.605;0.46;0.446;0.575;0.425;0.413;0.605;0.466;0.806;0.803;0.585;0.54;0.54;0.814;0.814
transcript22_MGP-SPRETEiJ-G0021131;0.568;0.41;0.722;0.867;0.697;0.538;0.697;0.42;0.764;0.722;0.764;0.706;1.0;0.992;0.994;0.97;0.906;0.867;0.913;0.854;0.824;0.862;0.906;0.848;0.893;0.903;0.961;0.961;0.961;0.912;0.912
transcript22_MGP-CAROLIEiJ-G0020234;0.555;0.387;0.712;0.843;0.691;0.521;0.691;0.422;0.76;0.712;0.76;0.695;0.992;1.0;0.99;0.978;0.913;0.861;0.908;0.862;0.818;0.857;0.913;0.861;0.877;0.885;0.956;0.956;0.956;0.895;0.895
transcript36_ENSMUSG00000054036;0.486;0.394;0.647;0.827;0.7;0.545;0.7;0.427;0.766;0.647;0.766;0.633;0.994;0.99;1.0;0.967;0.904;0.881;0.91;0.851;0.822;0.859;0.904;0.863;0.884;0.889;0.958;0.958;0.958;0.897;0.897
transcript8_MGP-CAROLIEiJ-G0020234;0.573;0.398;0.684;0.806;0.66;0.491;0.66;0.399;0.73;0.684;0.73;0.666;0.97;0.978;0.967;1.0;0.934;0.883;0.929;0.881;0.839;0.876;0.934;0.836;0.855;0.867;0.931;0.931;0.931;0.875;0.875
transcript32_MGP-CAROLIEiJ-G0020234;0.603;0.444;0.622;0.714;0.588;0.401;0.588;0.336;0.657;0.622;0.657;0.605;0.906;0.913;0.904;0.934;1.0;0.946;0.993;0.941;0.896;0.934;1.0;0.77;0.8;0.815;0.866;0.866;0.866;0.824;0.824
transcript32_ENSRNOG00000031503;0.526;0.451;0.475;0.559;0.58;0.43;0.58;0.347;0.639;0.475;0.639;0.46;0.867;0.861;0.881;0.883;0.946;1.0;0.954;0.881;0.921;0.891;0.946;0.796;0.72;0.702;0.869;0.876;0.876;0.7;0.7
transcript32_ENSMUGG00000013592;0.518;0.441;0.457;0.55;0.598;0.418;0.598;0.334;0.651;0.457;0.651;0.446;0.913;0.908;0.91;0.929;0.993;0.954;1.0;0.934;0.905;0.943;0.993;0.766;0.714;0.717;0.858;0.866;0.866;0.724;0.724
transcript33_MGP-CAROLIEiJ-G0020234;0.648;0.457;0.56;0.629;0.629;0.434;0.629;0.354;0.588;0.56;0.588;0.575;0.854;0.862;0.851;0.881;0.941;0.881;0.934;1.0;0.957;0.992;0.941;0.713;0.75;0.771;0.81;0.81;0.81;0.78;0.78
transcript33_ENSRNOG00000031503;0.564;0.463;0.417;0.482;0.624;0.459;0.624;0.362;0.564;0.417;0.564;0.425;0.824;0.818;0.822;0.839;0.896;0.921;0.905;0.957;1.0;0.964;0.896;0.73;0.683;0.667;0.825;0.833;0.833;0.665;0.665
transcript33_ENSMUGG00000013592;0.549;0.453;0.408;0.481;0.636;0.451;0.636;0.352;0.586;0.408;0.586;0.413;0.862;0.857;0.859;0.876;0.934;0.891;0.943;0.992;0.964;1.0;0.934;0.71;0.668;0.676;0.804;0.811;0.811;0.684;0.684
transcript42_MGP-CAROLIEiJ-G0020234;0.603;0.444;0.622;0.714;0.588;0.401;0.588;0.336;0.657;0.622;0.657;0.605;0.906;0.913;0.904;0.934;1.0;0.946;0.993;0.941;0.896;0.934;1.0;0.77;0.8;0.815;0.866;0.866;0.866;0.824;0.824
transcript9_ENSRNOG00000031503;0.411;0.351;0.481;0.585;0.577;0.504;0.577;0.408;0.641;0.481;0.641;0.466;0.848;0.861;0.863;0.836;0.77;0.796;0.766;0.713;0.73;0.71;0.77;1.0;0.709;0.689;0.856;0.863;0.863;0.687;0.687
transcript18_ENSRNOG00000031503;0.502;0.494;0.82;0.98;0.5;0.478;0.5;0.393;0.602;0.82;0.602;0.806;0.893;0.877;0.884;0.855;0.8;0.72;0.714;0.75;0.683;0.668;0.8;0.709;1.0;0.976;0.839;0.821;0.821;0.974;0.974
transcript18_ENSMUGG00000013592;0.505;0.491;0.814;0.988;0.469;0.45;0.469;0.366;0.559;0.814;0.559;0.803;0.903;0.885;0.889;0.867;0.815;0.702;0.717;0.771;0.667;0.676;0.815;0.689;0.976;1.0;0.819;0.799;0.799;0.994;0.994
transcript19_ENSRNOG00000031503;0.471;0.385;0.6;0.724;0.667;0.54;0.667;0.43;0.791;0.6;0.791;0.585;0.961;0.956;0.958;0.931;0.866;0.869;0.858;0.81;0.825;0.804;0.866;0.856;0.839;0.819;1.0;0.992;0.992;0.817;0.817
transcript21_ENSRNOG00000031503;0.48;0.385;0.554;0.682;0.683;0.54;0.683;0.43;0.74;0.554;0.74;0.54;0.961;0.956;0.958;0.931;0.866;0.876;0.866;0.81;0.833;0.811;0.866;0.863;0.821;0.799;0.992;1.0;1.0;0.797;0.797
transcript23_ENSRNOG00000031503;0.48;0.385;0.554;0.682;0.683;0.54;0.683;0.43;0.74;0.554;0.74;0.54;0.961;0.956;0.958;0.931;0.866;0.876;0.866;0.81;0.833;0.811;0.866;0.863;0.821;0.799;0.992;1.0;1.0;0.797;0.797
transcript34_ENSMUGG00000013592;0.516;0.501;0.824;1.0;0.48;0.46;0.48;0.374;0.57;0.824;0.57;0.814;0.912;0.895;0.897;0.875;0.824;0.7;0.724;0.78;0.665;0.684;0.824;0.687;0.974;0.994;0.817;0.797;0.797;1.0;1.0
transcript35_ENSMUGG00000013592;0.516;0.501;0.824;1.0;0.48;0.46;0.48;0.374;0.57;0.824;0.57;0.814;0.912;0.895;0.897;0.875;0.824;0.7;0.724;0.78;0.665;0.684;0.824;0.687;0.974;0.994;0.817;0.797;0.797;1.0;1.0
