;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;1.0;1.0;0.907;0.233;0.07;0.186;0.372;0.814;0.093;0.535;0.923;1.0;0.923;1.0;0.923;1.0;0.867;1.0
ENSCAFT00000021670_90_90;1.0;1.0;0.931;1.0;0.345;0.069;0.31;0.483;0.793;0.172;0.552;0.868;1.0;0.868;1.0;0.868;1.0;1.0;0.931
ENST00000265969_90_90;1.0;0.931;1.0;0.833;0.234;0.106;0.188;0.362;0.771;0.104;0.565;0.857;0.931;0.857;0.931;0.857;0.931;0.87;1.0
ENST00000379472_90_90;0.907;1.0;0.833;1.0;0.227;0.043;0.205;0.395;0.723;0.114;0.417;0.862;1.0;0.862;1.0;0.862;1.0;1.0;0.87
ENST00000638366_90_90;0.233;0.345;0.234;0.227;1.0;0.2;0.643;0.5;0.275;0.357;0.407;0.25;0.345;0.25;0.345;0.25;0.345;0.233;0.25
ENST00000638825_90_90;0.07;0.069;0.106;0.043;0.2;1.0;0.133;0.091;0.125;0.182;0.185;0.0;0.069;0.0;0.069;0.0;0.069;0.045;0.091
ENST00000639325_90_90;0.186;0.31;0.188;0.205;0.643;0.133;1.0;0.526;0.282;0.5;0.321;0.214;0.31;0.214;0.31;0.214;0.31;0.214;0.205
ENST00000639495_90_90;0.372;0.483;0.362;0.395;0.5;0.091;0.526;1.0;0.462;0.316;0.63;0.393;0.483;0.393;0.483;0.393;0.483;0.405;0.386
ENST00000640318_90_90;0.814;0.793;0.771;0.723;0.275;0.125;0.282;0.462;1.0;0.15;0.548;0.714;0.793;0.714;0.793;0.714;0.793;0.773;0.818
ENST00000640461_90_90;0.093;0.172;0.104;0.114;0.357;0.182;0.5;0.316;0.15;1.0;0.179;0.071;0.172;0.071;0.172;0.071;0.172;0.119;0.114
ENST00000640909_90_90;0.535;0.552;0.565;0.417;0.407;0.185;0.321;0.63;0.548;0.179;1.0;0.464;0.552;0.464;0.552;0.464;0.552;0.435;0.545
ENST00000302127_90_90;0.923;0.868;0.857;0.862;0.25;0.0;0.214;0.393;0.714;0.071;0.464;1.0;0.868;1.0;0.868;1.0;0.868;0.862;0.857
ENST00000315987_90_90;1.0;1.0;0.931;1.0;0.345;0.069;0.31;0.483;0.793;0.172;0.552;0.868;1.0;0.868;1.0;0.868;1.0;1.0;0.931
ENST00000369697_90_90;0.923;0.868;0.857;0.862;0.25;0.0;0.214;0.393;0.714;0.071;0.464;1.0;0.868;1.0;0.868;1.0;0.868;0.862;0.857
ENSMUST00000079169_90_90;1.0;1.0;0.931;1.0;0.345;0.069;0.31;0.483;0.793;0.172;0.552;0.868;1.0;0.868;1.0;0.868;1.0;1.0;0.931
ENSMUST00000098761_90_90;0.923;0.868;0.857;0.862;0.25;0.0;0.214;0.393;0.714;0.071;0.464;1.0;0.868;1.0;0.868;1.0;0.868;0.862;0.857
ENSMUST00000118360_90_90;1.0;1.0;0.931;1.0;0.345;0.069;0.31;0.483;0.793;0.172;0.552;0.868;1.0;0.868;1.0;0.868;1.0;1.0;0.931
ENSMUST00000025202_90_90;0.867;1.0;0.87;1.0;0.233;0.045;0.214;0.405;0.773;0.119;0.435;0.862;1.0;0.862;1.0;0.862;1.0;1.0;0.833
ENSMUST00000160433_90_90;1.0;0.931;1.0;0.87;0.25;0.091;0.205;0.386;0.818;0.114;0.545;0.857;0.931;0.857;0.931;0.857;0.931;0.833;1.0
