;ENSCAFT00000014390_90_90;ENST00000340417_90_90;ENST00000442461_90_90;ENST00000446851_90_90;ENST00000505397_90_90;ENST00000506560_90_90;ENST00000508171_90_90;ENST00000510557_90_90;ENST00000510877_90_90;ENSMUST00000046154_90_90;ENSMUST00000123572_90_90;ENSMUST00000134439_90_90;ENSMUST00000137750_90_90;ENSMUST00000139234_90_90;ENSMUST00000144030_90_90;ENSMUST00000149714_90_90;ENSMUST00000152387_90_90;ENSMUST00000154921_90_90
ENSCAFT00000014390_90_90;1.0;1.0;0.778;0.778;1.0;0.556;0.556;0.778;0.333;0.8;0.8;0.333;0.6;0.556;0.6;0.6;0.4;0.6
ENST00000340417_90_90;1.0;1.0;0.778;0.778;1.0;0.556;0.556;0.778;0.333;0.8;0.8;0.333;0.6;0.556;0.6;0.6;0.4;0.6
ENST00000442461_90_90;0.778;0.778;1.0;1.0;0.778;0.333;0.333;1.0;0.429;0.6;0.6;0.25;0.75;0.333;0.75;0.75;0.2;0.75
ENST00000446851_90_90;0.778;0.778;1.0;1.0;0.778;0.333;0.333;1.0;0.429;0.6;0.6;0.25;0.75;0.333;0.75;0.75;0.2;0.75
ENST00000505397_90_90;1.0;1.0;0.778;0.778;1.0;0.556;0.556;0.778;0.333;0.8;0.8;0.333;0.6;0.556;0.6;0.6;0.4;0.6
ENST00000506560_90_90;0.556;0.556;0.333;0.333;0.556;1.0;0.429;0.333;0.143;0.4;0.4;0.143;0.2;0.429;0.2;0.2;0.667;0.2
ENST00000508171_90_90;0.556;0.556;0.333;0.333;0.556;0.429;1.0;0.333;0.333;0.556;0.556;0.333;0.333;1.0;0.333;0.333;0.429;0.333
ENST00000510557_90_90;0.778;0.778;1.0;1.0;0.778;0.333;0.333;1.0;0.429;0.6;0.6;0.25;0.75;0.333;0.75;0.75;0.2;0.75
ENST00000510877_90_90;0.333;0.333;0.429;0.429;0.333;0.143;0.333;0.429;1.0;0.333;0.333;0.5;0.429;0.333;0.429;0.429;0.143;0.429
ENSMUST00000046154_90_90;0.8;0.8;0.6;0.6;0.8;0.4;0.556;0.6;0.333;1.0;1.0;0.333;0.778;0.556;0.455;0.778;0.556;0.778
ENSMUST00000123572_90_90;0.8;0.8;0.6;0.6;0.8;0.4;0.556;0.6;0.333;1.0;1.0;0.333;0.778;0.556;0.455;0.778;0.556;0.778
ENSMUST00000134439_90_90;0.333;0.333;0.25;0.25;0.333;0.143;0.333;0.25;0.5;0.333;0.333;1.0;0.25;0.333;0.25;0.25;0.143;0.25
ENSMUST00000137750_90_90;0.6;0.6;0.75;0.75;0.6;0.2;0.333;0.75;0.429;0.778;0.778;0.25;1.0;0.333;0.556;1.0;0.333;1.0
ENSMUST00000139234_90_90;0.556;0.556;0.333;0.333;0.556;0.429;1.0;0.333;0.333;0.556;0.556;0.333;0.333;1.0;0.333;0.333;0.429;0.333
ENSMUST00000144030_90_90;0.6;0.6;0.75;0.75;0.6;0.2;0.333;0.75;0.429;0.455;0.455;0.25;0.556;0.333;1.0;0.556;0.091;0.556
ENSMUST00000149714_90_90;0.6;0.6;0.75;0.75;0.6;0.2;0.333;0.75;0.429;0.778;0.778;0.25;1.0;0.333;0.556;1.0;0.333;1.0
ENSMUST00000152387_90_90;0.4;0.4;0.2;0.2;0.4;0.667;0.429;0.2;0.143;0.556;0.556;0.143;0.333;0.429;0.091;0.333;1.0;0.333
ENSMUST00000154921_90_90;0.6;0.6;0.75;0.75;0.6;0.2;0.333;0.75;0.429;0.778;0.778;0.25;1.0;0.333;0.556;1.0;0.333;1.0
