;transcript8_MGP-PahariEiJ-G0020237;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript38_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript26_ENSCGRG00000018457;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript26_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript38_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript22_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.993;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.189;0.431;0.415;0.431;0.415;0.373;0.316;0.316;0.431;0.431;0.309;0.431
transcript36_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.993;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.189;0.431;0.415;0.431;0.415;0.373;0.316;0.316;0.431;0.431;0.309;0.431
transcript37_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.993;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.189;0.431;0.415;0.431;0.415;0.373;0.316;0.316;0.431;0.431;0.309;0.431
transcript38_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;0.993;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.189;0.431;0.415;0.431;0.415;0.373;0.316;0.316;0.431;0.431;0.309;0.431
transcript8_ENSRNOG00000031503;0.993;0.993;0.993;0.993;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.443;0.942;0.942;0.942;0.942;0.814;0.683;0.683;1.0;1.0;0.714;1.0
transcript32_ENSCGRG00015005362;0.431;0.431;0.431;0.431;1.0;1.0;0.89;1.0;1.0;0.983;0.964;0.836;1.0;0.943;0.836;0.831;0.913;0.948;0.913;0.947;0.876;0.851;0.853;0.979;0.979;0.921;0.979
transcript33_ENSCGRG00015005362;0.431;0.431;0.431;0.431;1.0;0.89;1.0;0.89;0.89;0.874;0.854;0.936;0.89;0.836;0.936;0.723;0.819;0.853;0.819;0.851;0.767;0.743;0.744;0.871;0.871;0.814;0.871
transcript22_ENSCGRG00000018457;0.431;0.431;0.431;0.431;1.0;1.0;0.89;1.0;1.0;0.983;0.964;0.836;1.0;0.943;0.836;0.831;0.913;0.948;0.913;0.947;0.876;0.851;0.853;0.979;0.979;0.921;0.979
transcript26_ENSCGRG00000018457;0.431;0.431;0.431;0.431;1.0;1.0;0.89;1.0;1.0;0.983;0.964;0.836;1.0;0.943;0.836;0.831;0.913;0.948;0.913;0.947;0.876;0.851;0.853;0.979;0.979;0.921;0.979
transcript42_ENSCGRG00000018457;0.431;0.431;0.431;0.431;1.0;0.983;0.874;0.983;0.983;1.0;0.947;0.82;0.983;0.927;0.82;0.814;0.899;0.934;0.899;0.932;0.864;0.839;0.841;0.962;0.962;0.905;0.962
transcript43_ENSCGRG00000018457;0.431;0.431;0.431;0.431;1.0;0.964;0.854;0.964;0.964;0.947;1.0;0.867;0.964;0.978;0.867;0.861;0.882;0.917;0.882;0.915;0.84;0.815;0.817;0.943;0.943;0.886;0.943
transcript7_ENSCGRG00001010245;0.431;0.431;0.431;0.431;1.0;0.836;0.936;0.836;0.836;0.82;0.867;1.0;0.836;0.889;1.0;0.772;0.808;0.803;0.808;0.801;0.747;0.722;0.72;0.857;0.857;0.8;0.857
transcript26_ENSCGRG00001010245;0.431;0.431;0.431;0.431;1.0;1.0;0.89;1.0;1.0;0.983;0.964;0.836;1.0;0.943;0.836;0.831;0.913;0.948;0.913;0.947;0.876;0.851;0.853;0.979;0.979;0.921;0.979
transcript29_ENSCGRG00001010245;0.431;0.431;0.431;0.431;1.0;0.943;0.836;0.943;0.943;0.927;0.978;0.889;0.943;1.0;0.889;0.883;0.902;0.897;0.902;0.896;0.855;0.83;0.829;0.965;0.965;0.907;0.965
transcript37_ENSCGRG00001010245;0.431;0.431;0.431;0.431;1.0;0.836;0.936;0.836;0.836;0.82;0.867;1.0;0.836;0.889;1.0;0.772;0.808;0.803;0.808;0.801;0.747;0.722;0.72;0.857;0.857;0.8;0.857
transcript38_ENSCGRG00001010245;0.189;0.189;0.189;0.189;0.443;0.831;0.723;0.831;0.831;0.814;0.861;0.772;0.831;0.883;0.772;1.0;0.802;0.798;0.802;0.796;0.778;0.753;0.751;0.852;0.852;0.795;0.852
transcript15_ENSPEMG00000024651;0.431;0.431;0.431;0.431;0.942;0.913;0.819;0.913;0.913;0.899;0.882;0.808;0.913;0.902;0.808;0.802;1.0;0.963;1.0;0.961;0.837;0.812;0.811;0.933;0.933;0.884;0.933
transcript22_ENSPEMG00000024651;0.415;0.415;0.415;0.415;0.942;0.948;0.853;0.948;0.948;0.934;0.917;0.803;0.948;0.897;0.803;0.798;0.963;1.0;0.963;0.998;0.833;0.808;0.809;0.929;0.929;0.88;0.929
transcript24_ENSPEMG00000024651;0.431;0.431;0.431;0.431;0.942;0.913;0.819;0.913;0.913;0.899;0.882;0.808;0.913;0.902;0.808;0.802;1.0;0.963;1.0;0.961;0.837;0.812;0.811;0.933;0.933;0.884;0.933
transcript31_ENSPEMG00000024651;0.415;0.415;0.415;0.415;0.942;0.947;0.851;0.947;0.947;0.932;0.915;0.801;0.947;0.896;0.801;0.796;0.961;0.998;0.961;1.0;0.831;0.806;0.807;0.927;0.927;0.878;0.927
transcript5_ENSNGAG00000018584;0.373;0.373;0.373;0.373;0.814;0.876;0.767;0.876;0.876;0.864;0.84;0.747;0.876;0.855;0.747;0.778;0.837;0.833;0.837;0.831;1.0;0.972;0.97;0.891;0.891;0.853;0.891
transcript17_ENSNGAG00000018584;0.316;0.316;0.316;0.316;0.683;0.851;0.743;0.851;0.851;0.839;0.815;0.722;0.851;0.83;0.722;0.753;0.812;0.808;0.812;0.806;0.972;1.0;0.998;0.866;0.866;0.828;0.866
transcript20_ENSNGAG00000018584;0.316;0.316;0.316;0.316;0.683;0.853;0.744;0.853;0.853;0.841;0.817;0.72;0.853;0.829;0.72;0.751;0.811;0.809;0.811;0.807;0.97;0.998;1.0;0.864;0.864;0.826;0.864
transcript5_ENSSTOG00000019743;0.431;0.431;0.431;0.431;1.0;0.979;0.871;0.979;0.979;0.962;0.943;0.857;0.979;0.965;0.857;0.852;0.933;0.929;0.933;0.927;0.891;0.866;0.864;1.0;1.0;0.943;1.0
transcript12_ENSSTOG00000019743;0.431;0.431;0.431;0.431;1.0;0.979;0.871;0.979;0.979;0.962;0.943;0.857;0.979;0.965;0.857;0.852;0.933;0.929;0.933;0.927;0.891;0.866;0.864;1.0;1.0;0.943;1.0
transcript13_ENSSTOG00000019743;0.309;0.309;0.309;0.309;0.714;0.921;0.814;0.921;0.921;0.905;0.886;0.8;0.921;0.907;0.8;0.795;0.884;0.88;0.884;0.878;0.853;0.828;0.826;0.943;0.943;1.0;0.943
transcript14_ENSSTOG00000019743;0.431;0.431;0.431;0.431;1.0;0.979;0.871;0.979;0.979;0.962;0.943;0.857;0.979;0.965;0.857;0.852;0.933;0.929;0.933;0.927;0.891;0.866;0.864;1.0;1.0;0.943;1.0
