;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript40_MGP-SPRETEiJ-G0021131;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript66_MGP-SPRETEiJ-G0021131;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript38_MGP-CAROLIEiJ-G0020234;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-PahariEiJ-G0020237
transcript8_ENSMSIG00000000513;1.0;0.236;0.245;0.244;0.248;0.178;0.178;0.197;0.202;0.207;0.206;0.177;0.183;0.189
transcript49_ENSMSIG00000000513;0.236;1.0;0.974;0.98;0.962;0.897;0.897;0.803;0.825;0.875;0.885;0.897;0.896;0.911
transcript60_ENSMSIG00000000513;0.245;0.974;1.0;0.982;0.965;0.869;0.869;0.774;0.796;0.864;0.873;0.875;0.891;0.885
transcript61_ENSMSIG00000000513;0.244;0.98;0.982;1.0;0.982;0.873;0.873;0.777;0.799;0.849;0.857;0.871;0.869;0.889
transcript62_ENSMSIG00000000513;0.248;0.962;0.965;0.982;1.0;0.855;0.855;0.759;0.815;0.829;0.838;0.859;0.857;0.873
transcript40_MGP-SPRETEiJ-G0021131;0.178;0.897;0.869;0.873;0.855;1.0;0.987;0.896;0.879;0.956;0.963;0.945;0.954;0.959
transcript49_MGP-SPRETEiJ-G0021131;0.178;0.897;0.869;0.873;0.855;0.987;1.0;0.908;0.891;0.943;0.95;0.931;0.939;0.946
transcript65_MGP-SPRETEiJ-G0021131;0.197;0.803;0.774;0.777;0.759;0.896;0.908;1.0;0.799;0.847;0.855;0.845;0.851;0.859
transcript66_MGP-SPRETEiJ-G0021131;0.202;0.825;0.796;0.799;0.815;0.879;0.891;0.799;1.0;0.829;0.835;0.83;0.837;0.842
transcript7_ENSMUSG00000054036;0.207;0.875;0.864;0.849;0.829;0.956;0.943;0.847;0.829;1.0;0.994;0.928;0.949;0.942
transcript46_ENSMUSG00000054036;0.206;0.885;0.873;0.857;0.838;0.963;0.95;0.855;0.835;0.994;1.0;0.936;0.957;0.948
transcript38_MGP-CAROLIEiJ-G0020234;0.177;0.897;0.875;0.871;0.859;0.945;0.931;0.845;0.83;0.928;0.936;1.0;0.966;0.985
transcript47_MGP-CAROLIEiJ-G0020234;0.183;0.896;0.891;0.869;0.857;0.954;0.939;0.851;0.837;0.949;0.957;0.966;1.0;0.952
transcript38_MGP-PahariEiJ-G0020237;0.189;0.911;0.885;0.889;0.873;0.959;0.946;0.859;0.842;0.942;0.948;0.985;0.952;1.0
