;ENSCAFT00000026690_90_90;ENST00000311089_90_90;ENST00000553645_90_90;ENST00000554113_90_90;ENST00000554159_90_90;ENST00000554339_90_90;ENST00000554871_90_90;ENST00000555631_90_90;ENST00000555919_90_90;ENST00000559993_90_90;ENSMUST00000046340_90_90;ENSMUST00000123491_90_90;ENSMUST00000136159_90_90;ENSMUST00000140812_90_90;ENSMUST00000156138_90_90
ENSCAFT00000026690_90_90;1.0;0.404;0.991;0.302;0.354;0.533;0.795;0.732;0.277;0.344;0.794;0.989;0.456;0.302;0.309
ENST00000311089_90_90;0.404;1.0;0.405;0.74;0.0;0.748;0.51;0.426;0.0;0.828;0.507;0.405;0.0;0.73;0.0
ENST00000553645_90_90;0.991;0.405;1.0;0.3;0.353;0.542;0.795;0.728;0.275;0.337;0.789;0.989;0.423;0.297;0.309
ENST00000554113_90_90;0.302;0.74;0.3;1.0;0.0;0.553;0.377;0.412;0.0;0.877;0.38;0.303;0.0;0.75;0.0
ENST00000554159_90_90;0.354;0.0;0.353;0.0;1.0;0.109;0.275;0.297;0.393;0.0;0.274;0.354;0.421;0.0;0.478
ENST00000554339_90_90;0.533;0.748;0.542;0.553;0.109;1.0;0.671;0.588;0.022;0.621;0.668;0.534;0.0;0.547;0.0
ENST00000554871_90_90;0.795;0.51;0.795;0.377;0.275;0.671;1.0;0.916;0.347;0.424;0.993;0.794;0.239;0.374;0.109
ENST00000555631_90_90;0.732;0.426;0.728;0.412;0.297;0.588;0.916;1.0;0.378;0.463;0.918;0.733;0.254;0.404;0.117
ENST00000555919_90_90;0.277;0.0;0.275;0.0;0.393;0.022;0.347;0.378;1.0;0.0;0.346;0.276;0.462;0.0;0.229
ENST00000559993_90_90;0.344;0.828;0.337;0.877;0.0;0.621;0.424;0.463;0.0;1.0;0.427;0.341;0.0;0.872;0.0
ENSMUST00000046340_90_90;0.794;0.507;0.789;0.38;0.274;0.668;0.993;0.918;0.346;0.427;1.0;0.795;0.239;0.321;0.102
ENSMUST00000123491_90_90;0.989;0.405;0.989;0.303;0.354;0.534;0.794;0.733;0.276;0.341;0.795;1.0;0.429;0.262;0.293
ENSMUST00000136159_90_90;0.456;0.0;0.423;0.0;0.421;0.0;0.239;0.254;0.462;0.0;0.239;0.429;1.0;0.0;0.513
ENSMUST00000140812_90_90;0.302;0.73;0.297;0.75;0.0;0.547;0.374;0.404;0.0;0.872;0.321;0.262;0.0;1.0;0.0
ENSMUST00000156138_90_90;0.309;0.0;0.309;0.0;0.478;0.0;0.109;0.117;0.229;0.0;0.102;0.293;0.513;0.0;1.0
