;ENSCAFT00000031718_90_90;ENSCAFT00000036937_90_90;ENST00000258180_90_90;ENST00000538274_90_90;ENST00000562564_90_90;ENST00000562580_90_90;ENST00000566428_90_90;ENST00000567328_90_90;ENSMUST00000034281_90_90;ENSMUST00000108948_90_90;ENSMUST00000108950_90_90;ENSMUST00000108951_90_90;ENSMUST00000132229_90_90;ENSMUST00000153725_90_90
ENSCAFT00000031718_90_90;1.0;0.909;0.769;0.692;0.182;0.538;0.769;0.667;0.75;0.636;0.75;0.667;0.091;0.273
ENSCAFT00000036937_90_90;0.909;1.0;0.692;0.75;0.2;0.583;0.692;0.727;0.667;0.7;0.667;0.727;0.1;0.3
ENST00000258180_90_90;0.769;0.692;1.0;0.917;0.167;0.75;1.0;0.615;0.692;0.462;0.692;0.615;0.083;0.25
ENST00000538274_90_90;0.692;0.75;0.917;1.0;0.182;0.818;0.917;0.667;0.615;0.5;0.615;0.667;0.091;0.273
ENST00000562564_90_90;0.182;0.2;0.167;0.182;1.0;0.222;0.167;0.1;0.2;0.125;0.2;0.222;0.0;0.0
ENST00000562580_90_90;0.538;0.583;0.75;0.818;0.222;1.0;0.75;0.5;0.462;0.333;0.462;0.5;0.0;0.091
ENST00000566428_90_90;0.769;0.692;1.0;0.917;0.167;0.75;1.0;0.615;0.692;0.462;0.692;0.615;0.083;0.25
ENST00000567328_90_90;0.667;0.727;0.615;0.667;0.1;0.5;0.615;1.0;0.462;0.778;0.462;0.5;0.111;0.333
ENSMUST00000034281_90_90;0.75;0.667;0.692;0.615;0.2;0.462;0.692;0.462;1.0;0.545;1.0;0.9;0.1;0.3
ENSMUST00000108948_90_90;0.636;0.7;0.462;0.5;0.125;0.333;0.462;0.778;0.545;1.0;0.545;0.6;0.143;0.429
ENSMUST00000108950_90_90;0.75;0.667;0.692;0.615;0.2;0.462;0.692;0.462;1.0;0.545;1.0;0.9;0.1;0.3
ENSMUST00000108951_90_90;0.667;0.727;0.615;0.667;0.222;0.5;0.615;0.5;0.9;0.6;0.9;1.0;0.111;0.333
ENSMUST00000132229_90_90;0.091;0.1;0.083;0.091;0.0;0.0;0.083;0.111;0.1;0.143;0.1;0.111;1.0;0.333
ENSMUST00000153725_90_90;0.273;0.3;0.25;0.273;0.0;0.091;0.25;0.333;0.3;0.429;0.3;0.333;0.333;1.0
