;ENSCAFT00000008733_90_90;ENST00000323039_90_90;ENST00000348817_90_90;ENST00000430012_90_90;ENST00000593685_90_90;ENST00000597639_90_90;ENST00000600611_90_90;ENST00000601972_90_90;ENSMUST00000085901_90_90;ENSMUST00000172467_90_90;ENSMUST00000172761_90_90
ENSCAFT00000008733_90_90;1.0;0.833;0.833;0.667;0.833;0.833;0.333;0.333;0.857;1.0;0.714
ENST00000323039_90_90;0.833;1.0;0.889;0.667;1.0;0.889;0.333;0.091;0.889;0.889;0.556
ENST00000348817_90_90;0.833;0.889;1.0;0.75;0.889;1.0;0.375;0.1;0.778;0.778;0.625
ENST00000430012_90_90;0.667;0.667;0.75;1.0;0.667;0.75;0.5;0.125;0.556;0.556;0.833
ENST00000593685_90_90;0.833;1.0;0.889;0.667;1.0;0.889;0.333;0.091;0.889;0.889;0.556
ENST00000597639_90_90;0.833;0.889;1.0;0.75;0.889;1.0;0.375;0.1;0.778;0.778;0.625
ENST00000600611_90_90;0.333;0.333;0.375;0.5;0.333;0.375;1.0;0.2;0.222;0.222;0.333
ENST00000601972_90_90;0.333;0.091;0.1;0.125;0.091;0.1;0.2;1.0;0.222;0.222;0.333
ENSMUST00000085901_90_90;0.857;0.889;0.778;0.556;0.889;0.778;0.222;0.222;1.0;0.9;0.667
ENSMUST00000172467_90_90;1.0;0.889;0.778;0.556;0.889;0.778;0.222;0.222;0.9;1.0;0.6
ENSMUST00000172761_90_90;0.714;0.556;0.625;0.833;0.556;0.625;0.333;0.333;0.667;0.6;1.0
