;ENSCAFT00000027907_90_90;ENST00000344626_90_90;ENST00000413806_90_90;ENST00000429416_90_90;ENST00000444061_90_90;ENST00000450717_90_90;ENST00000541122_90_90;ENST00000586985_90_90;ENST00000589677_90_90;ENST00000590574_90_90;ENST00000592158_90_90;ENSMUST00000034707_90_90;ENSMUST00000098948_90_90;ENSMUST00000172996_90_90;ENSMUST00000174008_90_90
ENSCAFT00000027907_90_90;1.0;0.938;0.938;0.938;0.812;0.938;0.938;0.062;0.875;0.875;0.25;0.875;0.938;0.625;0.812
ENST00000344626_90_90;0.938;1.0;0.773;1.0;0.842;0.905;0.81;0.05;0.762;0.895;0.19;0.842;0.762;0.524;0.789
ENST00000413806_90_90;0.938;0.773;1.0;0.773;0.8;0.708;0.95;0.048;0.9;0.85;0.3;0.842;0.947;0.524;0.789
ENST00000429416_90_90;0.938;1.0;0.773;1.0;0.842;0.905;0.81;0.05;0.762;0.895;0.19;0.842;0.762;0.524;0.789
ENST00000444061_90_90;0.812;0.842;0.8;0.842;1.0;0.762;0.842;0.059;0.889;0.941;0.222;0.882;0.789;0.45;0.938
ENST00000450717_90_90;0.938;0.905;0.708;0.905;0.762;1.0;0.739;0.045;0.696;0.81;0.174;0.895;0.81;0.571;0.842
ENST00000541122_90_90;0.938;0.81;0.95;0.81;0.842;0.739;1.0;0.05;0.947;0.895;0.316;0.842;0.947;0.524;0.789
ENST00000586985_90_90;0.062;0.05;0.048;0.05;0.059;0.045;0.05;1.0;0.053;0.056;0.0;0.059;0.053;0.0;0.062
ENST00000589677_90_90;0.875;0.762;0.9;0.762;0.889;0.696;0.947;0.053;1.0;0.842;0.333;0.789;0.895;0.55;0.833
ENST00000590574_90_90;0.875;0.895;0.85;0.895;0.941;0.81;0.895;0.056;0.842;1.0;0.211;0.941;0.842;0.429;0.882
ENST00000592158_90_90;0.25;0.19;0.3;0.19;0.222;0.174;0.316;0.0;0.333;0.211;1.0;0.158;0.263;0.357;0.167
ENSMUST00000034707_90_90;0.875;0.842;0.842;0.842;0.882;0.895;0.842;0.059;0.789;0.941;0.158;1.0;0.895;0.476;0.941
ENSMUST00000098948_90_90;0.938;0.762;0.947;0.762;0.789;0.81;0.947;0.053;0.895;0.842;0.263;0.895;1.0;0.571;0.842
ENSMUST00000172996_90_90;0.625;0.524;0.524;0.524;0.45;0.571;0.524;0.0;0.55;0.429;0.357;0.476;0.571;1.0;0.5
ENSMUST00000174008_90_90;0.812;0.789;0.789;0.789;0.938;0.842;0.789;0.062;0.833;0.882;0.167;0.941;0.842;0.5;1.0
