;ENSCAFT00000039701_90_90;ENST00000314845_90_90;ENST00000458649_90_90;ENST00000526545_90_90;ENST00000526606_90_90;ENST00000528950_90_90;ENST00000533727_90_90;ENST00000534300_90_90;ENSMUST00000045699_90_90;ENSMUST00000045705_90_90;ENSMUST00000099712_90_90;ENSMUST00000111316_90_90;ENSMUST00000111317_90_90
ENSCAFT00000039701_90_90;1.0;1.0;1.0;0.333;0.083;0.917;0.917;0.833;0.923;1.0;1.0;0.846;0.923
ENST00000314845_90_90;1.0;1.0;0.867;0.308;0.077;0.8;0.923;0.667;0.923;0.867;1.0;0.667;0.923
ENST00000458649_90_90;1.0;0.867;1.0;0.267;0.067;0.933;0.8;0.8;0.8;1.0;0.867;0.8;0.8
ENST00000526545_90_90;0.333;0.308;0.267;1.0;0.0;0.286;0.333;0.333;0.333;0.267;0.308;0.333;0.333
ENST00000526606_90_90;0.083;0.077;0.067;0.0;1.0;0.071;0.083;0.083;0.083;0.067;0.077;0.083;0.083
ENST00000528950_90_90;0.917;0.8;0.933;0.286;0.071;1.0;0.857;0.733;0.857;0.933;0.8;0.733;0.857
ENST00000533727_90_90;0.917;0.923;0.8;0.333;0.083;0.857;1.0;0.6;1.0;0.8;0.923;0.6;1.0
ENST00000534300_90_90;0.833;0.667;0.8;0.333;0.083;0.733;0.6;1.0;0.6;0.8;0.667;1.0;0.6
ENSMUST00000045699_90_90;0.923;0.923;0.8;0.333;0.083;0.857;1.0;0.6;1.0;0.765;0.929;0.588;1.0
ENSMUST00000045705_90_90;1.0;0.867;1.0;0.267;0.067;0.933;0.8;0.8;0.765;1.0;0.824;0.824;0.765
ENSMUST00000099712_90_90;1.0;1.0;0.867;0.308;0.077;0.8;0.923;0.667;0.929;0.824;1.0;0.647;0.929
ENSMUST00000111316_90_90;0.846;0.667;0.8;0.333;0.083;0.733;0.6;1.0;0.588;0.824;0.647;1.0;0.588
ENSMUST00000111317_90_90;0.923;0.923;0.8;0.333;0.083;0.857;1.0;0.6;1.0;0.765;0.929;0.588;1.0
