;ENSCAFT00000010545_90_90;ENST00000261210_90_90;ENST00000266732_90_90;ENST00000343315_90_90;ENST00000393053_90_90;ENST00000556029_90_90;ENST00000556678_90_90;ENSMUST00000020123_90_90;ENSMUST00000072239_90_90;ENSMUST00000092219_90_90;ENSMUST00000099355_90_90;ENSMUST00000105293_90_90
ENSCAFT00000010545_90_90;1.0;0.458;0.196;0.886;0.736;0.972;0.522;0.195;0.972;0.885;0.816;0.735
ENST00000261210_90_90;0.458;1.0;0.25;0.501;0.594;0.459;0.358;0.249;0.458;0.5;0.539;0.593
ENST00000266732_90_90;0.196;0.25;1.0;0.205;0.221;0.196;0.114;0.996;0.195;0.204;0.211;0.22
ENST00000343315_90_90;0.886;0.501;0.205;1.0;0.833;0.912;0.574;0.204;0.907;0.995;0.918;0.829
ENST00000393053_90_90;0.736;0.594;0.221;0.833;1.0;0.76;0.525;0.22;0.756;0.829;0.898;0.994
ENST00000556029_90_90;0.972;0.459;0.196;0.912;0.76;1.0;0.523;0.195;0.996;0.907;0.837;0.756
ENST00000556678_90_90;0.522;0.358;0.114;0.574;0.525;0.523;1.0;0.114;0.526;0.577;0.625;0.528
ENSMUST00000020123_90_90;0.195;0.249;0.996;0.204;0.22;0.195;0.114;1.0;0.196;0.204;0.212;0.221
ENSMUST00000072239_90_90;0.972;0.458;0.195;0.907;0.756;0.996;0.526;0.196;1.0;0.912;0.841;0.759
ENSMUST00000092219_90_90;0.885;0.5;0.204;0.995;0.829;0.907;0.577;0.204;0.912;1.0;0.922;0.833
ENSMUST00000099355_90_90;0.816;0.539;0.211;0.918;0.898;0.837;0.625;0.212;0.841;0.922;1.0;0.903
ENSMUST00000105293_90_90;0.735;0.593;0.22;0.829;0.994;0.756;0.528;0.221;0.759;0.833;0.903;1.0
