;ENSCAFT00000013391_90_90;ENST00000338183_90_90;ENST00000437989_90_90;ENST00000562489_90_90;ENST00000562877_90_90;ENST00000563167_90_90;ENST00000564586_90_90;ENST00000566621_90_90;ENST00000566807_90_90;ENST00000567389_90_90;ENST00000569302_90_90;ENSMUST00000110918_90_90;ENSMUST00000166472_90_90
ENSCAFT00000013391_90_90;1.0;0.14;0.455;0.0;0.14;0.026;0.342;0.455;0.15;0.14;0.444;0.455;0.444
ENST00000338183_90_90;0.14;1.0;0.464;0.357;1.0;0.133;0.217;0.464;0.769;1.0;0.448;0.414;0.4
ENST00000437989_90_90;0.455;0.464;1.0;0.172;0.464;0.103;0.536;1.0;0.357;0.464;0.966;0.867;0.839
ENST00000562489_90_90;0.0;0.357;0.172;1.0;0.357;0.25;0.0;0.172;0.143;0.357;0.167;0.133;0.129
ENST00000562877_90_90;0.14;1.0;0.464;0.357;1.0;0.133;0.217;0.464;0.769;1.0;0.448;0.414;0.4
ENST00000563167_90_90;0.026;0.133;0.103;0.25;0.133;1.0;0.056;0.103;0.0;0.133;0.1;0.067;0.065
ENST00000564586_90_90;0.342;0.217;0.536;0.0;0.217;0.056;1.0;0.536;0.25;0.217;0.517;0.536;0.517
ENST00000566621_90_90;0.455;0.464;1.0;0.172;0.464;0.103;0.536;1.0;0.357;0.464;0.966;0.867;0.839
ENST00000566807_90_90;0.15;0.769;0.357;0.143;0.769;0.0;0.25;0.357;1.0;0.769;0.345;0.357;0.345
ENST00000567389_90_90;0.14;1.0;0.464;0.357;1.0;0.133;0.217;0.464;0.769;1.0;0.448;0.414;0.4
ENST00000569302_90_90;0.444;0.448;0.966;0.167;0.448;0.1;0.517;0.966;0.345;0.448;1.0;0.839;0.871
ENSMUST00000110918_90_90;0.455;0.414;0.867;0.133;0.414;0.067;0.536;0.867;0.357;0.414;0.839;1.0;0.966
ENSMUST00000166472_90_90;0.444;0.4;0.839;0.129;0.4;0.065;0.517;0.839;0.345;0.4;0.871;0.966;1.0
