;ENSCAFT00000022782_90_90;ENSCAFT00000047054_90_90;ENST00000265459_90_90;ENST00000301894_90_90;ENST00000377551_90_90;ENST00000377559_90_90;ENST00000409571_90_90;ENST00000417749_90_90;ENST00000423049_90_90;ENST00000437746_90_90;ENST00000442300_90_90;ENSMUST00000077182_90_90;ENSMUST00000113458_90_90;ENSMUST00000113459_90_90;ENSMUST00000113461_90_90;ENSMUST00000113462_90_90;ENSMUST00000137166_90_90;ENSMUST00000137821_90_90;ENSMUST00000155158_90_90
ENSCAFT00000022782_90_90;1.0;0.88;0.979;0.323;0.979;0.947;0.983;0.115;0.129;0.126;0.156;0.875;0.323;0.14;0.946;0.983;0.979;0.128;0.115
ENSCAFT00000047054_90_90;0.88;1.0;0.872;0.213;0.872;0.839;0.876;0.136;0.144;0.142;0.183;0.994;0.214;0.156;0.841;0.878;0.874;0.143;0.137
ENST00000265459_90_90;0.979;0.872;1.0;0.321;1.0;0.959;0.996;0.12;0.129;0.125;0.161;0.876;0.32;0.14;0.956;0.992;0.996;0.126;0.12
ENST00000301894_90_90;0.323;0.213;0.321;1.0;0.321;0.311;0.322;0.0;0.414;0.0;0.0;0.215;0.991;0.495;0.31;0.321;0.32;0.0;0.0
ENST00000377551_90_90;0.979;0.872;1.0;0.321;1.0;0.959;0.996;0.12;0.129;0.125;0.161;0.876;0.32;0.14;0.956;0.992;0.996;0.126;0.12
ENST00000377559_90_90;0.947;0.839;0.959;0.311;0.959;1.0;0.963;0.109;0.134;0.114;0.151;0.842;0.311;0.145;0.996;0.96;0.956;0.115;0.109
ENST00000409571_90_90;0.983;0.876;0.996;0.322;0.996;0.963;1.0;0.121;0.129;0.126;0.162;0.879;0.322;0.14;0.96;0.996;0.992;0.126;0.12
ENST00000417749_90_90;0.115;0.136;0.12;0.0;0.12;0.109;0.121;1.0;0.0;0.718;0.681;0.137;0.0;0.0;0.109;0.121;0.12;0.709;0.994
ENST00000423049_90_90;0.129;0.144;0.129;0.414;0.129;0.134;0.129;0.0;1.0;0.0;0.0;0.146;0.418;0.782;0.134;0.129;0.129;0.0;0.0
ENST00000437746_90_90;0.126;0.142;0.125;0.0;0.125;0.114;0.126;0.718;0.0;1.0;0.512;0.142;0.0;0.0;0.114;0.125;0.125;0.986;0.713
ENST00000442300_90_90;0.156;0.183;0.161;0.0;0.161;0.151;0.162;0.681;0.0;0.512;1.0;0.183;0.0;0.0;0.152;0.162;0.161;0.509;0.681
ENSMUST00000077182_90_90;0.875;0.994;0.876;0.215;0.876;0.842;0.879;0.137;0.146;0.142;0.183;1.0;0.216;0.158;0.846;0.883;0.879;0.144;0.137
ENSMUST00000113458_90_90;0.323;0.214;0.32;0.991;0.32;0.311;0.322;0.0;0.418;0.0;0.0;0.216;1.0;0.499;0.311;0.322;0.321;0.0;0.0
ENSMUST00000113459_90_90;0.14;0.156;0.14;0.495;0.14;0.145;0.14;0.0;0.782;0.0;0.0;0.158;0.499;1.0;0.145;0.14;0.14;0.0;0.0
ENSMUST00000113461_90_90;0.946;0.841;0.956;0.31;0.956;0.996;0.96;0.109;0.134;0.114;0.152;0.846;0.311;0.145;1.0;0.963;0.959;0.115;0.109
ENSMUST00000113462_90_90;0.983;0.878;0.992;0.321;0.992;0.96;0.996;0.121;0.129;0.125;0.162;0.883;0.322;0.14;0.963;1.0;0.996;0.127;0.121
ENSMUST00000137166_90_90;0.979;0.874;0.996;0.32;0.996;0.956;0.992;0.12;0.129;0.125;0.161;0.879;0.321;0.14;0.959;0.996;1.0;0.126;0.12
ENSMUST00000137821_90_90;0.128;0.143;0.126;0.0;0.126;0.115;0.126;0.709;0.0;0.986;0.509;0.144;0.0;0.0;0.115;0.127;0.126;1.0;0.713
ENSMUST00000155158_90_90;0.115;0.137;0.12;0.0;0.12;0.109;0.12;0.994;0.0;0.713;0.681;0.137;0.0;0.0;0.109;0.121;0.12;0.713;1.0
