;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.183;0.161;0.183;0.278;0.183;0.275;0.223;0.27;0.004;0.197;0.026;0.0;0.007;0.0;0.026;0.0;0.003
ENST00000367378_90_90;0.183;1.0;0.877;0.98;0.379;1.0;0.374;0.154;0.367;0.337;0.877;0.573;0.0;0.062;0.329;0.562;0.141;0.542
ENST00000367380_90_90;0.161;0.877;1.0;0.859;0.26;0.877;0.256;0.174;0.251;0.271;0.754;0.479;0.0;0.0;0.366;0.468;0.159;0.499
ENST00000367384_90_90;0.183;0.98;0.859;1.0;0.378;0.98;0.373;0.154;0.365;0.336;0.859;0.562;0.0;0.061;0.328;0.574;0.141;0.53
ENST00000460828_90_90;0.278;0.379;0.26;0.378;1.0;0.379;0.839;0.337;0.803;0.115;0.43;0.119;0.0;0.159;0.0;0.118;0.0;0.085
ENST00000464889_90_90;0.183;1.0;0.877;0.98;0.379;1.0;0.374;0.154;0.367;0.337;0.877;0.573;0.0;0.062;0.329;0.562;0.141;0.542
ENST00000484601_90_90;0.275;0.374;0.256;0.373;0.839;0.374;1.0;0.327;0.78;0.113;0.424;0.13;0.0;0.179;0.0;0.129;0.0;0.096
ENST00000486585_90_90;0.223;0.154;0.174;0.154;0.337;0.154;0.327;1.0;0.314;0.0;0.174;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000494411_90_90;0.27;0.367;0.251;0.365;0.803;0.367;0.78;0.314;1.0;0.11;0.414;0.09;0.0;0.106;0.0;0.09;0.0;0.058
ENST00000495487_90_90;0.004;0.337;0.271;0.336;0.115;0.337;0.113;0.0;0.11;1.0;0.214;0.334;0.0;0.117;0.37;0.333;0.366;0.351
ENST00000544496_90_90;0.197;0.877;0.754;0.859;0.43;0.877;0.424;0.174;0.414;0.214;1.0;0.477;0.0;0.068;0.228;0.466;0.035;0.445
ENSMUST00000159917_90_90;0.026;0.573;0.479;0.562;0.119;0.573;0.13;0.0;0.09;0.334;0.477;1.0;0.078;0.33;0.48;0.98;0.23;0.951
ENSMUST00000159977_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.078;1.0;0.21;0.126;0.078;0.335;0.082
ENSMUST00000161123_90_90;0.007;0.062;0.0;0.061;0.159;0.062;0.179;0.0;0.106;0.117;0.068;0.33;0.21;1.0;0.139;0.329;0.145;0.342
ENSMUST00000161428_90_90;0.0;0.329;0.366;0.328;0.0;0.329;0.0;0.0;0.0;0.37;0.228;0.48;0.126;0.139;1.0;0.478;0.372;0.502
ENSMUST00000162606_90_90;0.026;0.562;0.468;0.574;0.118;0.562;0.129;0.0;0.09;0.333;0.466;0.98;0.078;0.329;0.478;1.0;0.23;0.932
ENSMUST00000162682_90_90;0.0;0.141;0.159;0.141;0.0;0.141;0.0;0.0;0.0;0.366;0.035;0.23;0.335;0.145;0.372;0.23;1.0;0.242
ENSMUST00000163085_90_90;0.003;0.542;0.499;0.53;0.085;0.542;0.096;0.0;0.058;0.351;0.445;0.951;0.082;0.342;0.502;0.932;0.242;1.0
