;ENSCAFT00000000383_90_90;ENSCAFT00000035671_90_90;ENST00000353331_90_90;ENST00000392348_90_90;ENST00000527536_90_90;ENST00000527613_90_90;ENST00000527759_90_90;ENST00000529826_90_90;ENST00000530429_90_90;ENST00000530767_90_90;ENST00000531224_90_90;ENST00000532384_90_90;ENST00000533422_90_90;ENST00000533621_90_90;ENST00000534269_90_90;ENST00000534762_90_90;ENST00000628517_90_90;ENST00000640069_90_90;ENSMUST00000043881_90_90;ENSMUST00000092678_90_90;ENSMUST00000185800_90_90;ENSMUST00000186100_90_90;ENSMUST00000189158_90_90;ENSMUST00000190156_90_90;ENSMUST00000191438_90_90
ENSCAFT00000000383_90_90;1.0;0.865;0.811;0.811;0.838;0.703;0.838;0.639;0.676;0.811;0.865;0.703;0.114;0.229;0.405;0.171;0.703;0.595;0.838;0.811;0.811;0.649;0.027;0.622;0.622
ENSCAFT00000035671_90_90;0.865;1.0;0.692;0.692;0.718;0.632;0.718;0.568;0.605;0.692;0.744;0.632;0.086;0.2;0.342;0.143;0.632;0.526;0.718;0.692;0.692;0.579;0.028;0.553;0.553
ENST00000353331_90_90;0.811;0.692;1.0;1.0;0.97;0.714;0.97;0.697;0.735;0.882;0.941;0.714;0.125;0.25;0.485;0.152;0.714;0.647;0.857;0.882;0.882;0.657;0.061;0.676;0.727
ENST00000392348_90_90;0.811;0.692;1.0;1.0;0.97;0.714;0.97;0.697;0.735;0.882;0.941;0.714;0.125;0.25;0.485;0.152;0.714;0.647;0.857;0.882;0.882;0.657;0.061;0.676;0.727
ENST00000527536_90_90;0.838;0.718;0.97;0.97;1.0;0.743;0.941;0.727;0.714;0.912;0.971;0.743;0.121;0.242;0.471;0.147;0.743;0.676;0.886;0.912;0.857;0.686;0.059;0.657;0.706
ENST00000527613_90_90;0.703;0.632;0.714;0.714;0.743;1.0;0.694;0.857;0.964;0.667;0.722;1.0;0.0;0.286;0.552;0.062;1.0;0.793;0.649;0.667;0.622;0.929;0.069;0.893;0.472
ENST00000527759_90_90;0.838;0.718;0.97;0.97;0.941;0.694;1.0;0.676;0.714;0.912;0.971;0.694;0.121;0.242;0.471;0.182;0.694;0.629;0.886;0.857;0.912;0.639;0.059;0.657;0.706
ENST00000529826_90_90;0.639;0.568;0.697;0.697;0.727;0.857;0.676;1.0;0.821;0.647;0.706;0.857;0.0;0.333;0.64;0.034;0.857;0.846;0.629;0.647;0.6;0.786;0.08;0.75;0.441
ENST00000530429_90_90;0.676;0.605;0.735;0.735;0.714;0.964;0.714;0.821;1.0;0.639;0.694;0.964;0.0;0.296;0.571;0.065;0.964;0.759;0.622;0.639;0.639;0.893;0.071;0.926;0.486
ENST00000530767_90_90;0.811;0.692;0.882;0.882;0.912;0.667;0.912;0.647;0.639;1.0;0.941;0.667;0.125;0.212;0.485;0.188;0.667;0.6;0.857;0.829;0.829;0.611;0.061;0.583;0.629
ENST00000531224_90_90;0.865;0.744;0.941;0.941;0.971;0.722;0.971;0.706;0.694;0.941;1.0;0.722;0.118;0.235;0.457;0.176;0.722;0.657;0.914;0.886;0.886;0.667;0.057;0.639;0.686
ENST00000532384_90_90;0.703;0.632;0.714;0.714;0.743;1.0;0.694;0.857;0.964;0.667;0.722;1.0;0.0;0.286;0.552;0.062;1.0;0.793;0.649;0.667;0.622;0.929;0.069;0.893;0.472
ENST00000533422_90_90;0.114;0.086;0.125;0.125;0.121;0.0;0.121;0.0;0.0;0.125;0.118;0.0;1.0;0.0;0.0;0.429;0.0;0.0;0.121;0.125;0.125;0.0;0.0;0.0;0.16
ENST00000533621_90_90;0.229;0.2;0.25;0.25;0.242;0.286;0.242;0.333;0.296;0.212;0.235;0.286;0.0;1.0;0.389;0.0;0.286;0.333;0.206;0.212;0.212;0.259;0.0;0.269;0.222
ENST00000534269_90_90;0.405;0.342;0.485;0.485;0.471;0.552;0.471;0.64;0.571;0.485;0.457;0.552;0.0;0.389;1.0;0.0;0.552;0.64;0.389;0.4;0.4;0.483;0.176;0.5;0.235
ENST00000534762_90_90;0.171;0.143;0.152;0.152;0.147;0.062;0.182;0.034;0.065;0.188;0.176;0.062;0.429;0.0;0.0;1.0;0.062;0.0;0.182;0.152;0.188;0.067;0.0;0.069;0.192
ENST00000628517_90_90;0.703;0.632;0.714;0.714;0.743;1.0;0.694;0.857;0.964;0.667;0.722;1.0;0.0;0.286;0.552;0.062;1.0;0.793;0.649;0.667;0.622;0.929;0.069;0.893;0.472
ENST00000640069_90_90;0.595;0.526;0.647;0.647;0.676;0.793;0.629;0.846;0.759;0.6;0.657;0.793;0.0;0.333;0.64;0.0;0.793;1.0;0.583;0.6;0.556;0.724;0.08;0.69;0.4
ENSMUST00000043881_90_90;0.838;0.718;0.857;0.857;0.886;0.649;0.886;0.629;0.622;0.857;0.914;0.649;0.121;0.206;0.389;0.182;0.649;0.583;1.0;0.97;0.97;0.686;0.059;0.657;0.758
ENSMUST00000092678_90_90;0.811;0.692;0.882;0.882;0.912;0.667;0.857;0.647;0.639;0.829;0.886;0.667;0.125;0.212;0.4;0.152;0.667;0.6;0.97;1.0;0.939;0.706;0.061;0.676;0.781
ENSMUST00000185800_90_90;0.811;0.692;0.882;0.882;0.857;0.622;0.912;0.6;0.639;0.829;0.886;0.622;0.125;0.212;0.4;0.188;0.622;0.556;0.97;0.939;1.0;0.657;0.061;0.676;0.781
ENSMUST00000186100_90_90;0.649;0.579;0.657;0.657;0.686;0.929;0.639;0.786;0.893;0.611;0.667;0.929;0.0;0.259;0.483;0.067;0.929;0.724;0.686;0.706;0.657;1.0;0.074;0.962;0.5
ENSMUST00000189158_90_90;0.027;0.028;0.061;0.061;0.059;0.069;0.059;0.08;0.071;0.061;0.057;0.069;0.0;0.0;0.176;0.0;0.069;0.08;0.059;0.061;0.061;0.074;1.0;0.077;0.077
ENSMUST00000190156_90_90;0.622;0.553;0.676;0.676;0.657;0.893;0.657;0.75;0.926;0.583;0.639;0.893;0.0;0.269;0.5;0.069;0.893;0.69;0.657;0.676;0.676;0.962;0.077;1.0;0.515
ENSMUST00000191438_90_90;0.622;0.553;0.727;0.727;0.706;0.472;0.706;0.441;0.486;0.629;0.686;0.472;0.16;0.222;0.235;0.192;0.472;0.4;0.758;0.781;0.781;0.5;0.077;0.515;1.0
