;ENSCAFT00000022170_90_90;ENST00000264731_90_90;ENST00000320472_90_90;ENST00000354600_90_90;ENST00000392460_90_90;ENST00000392461_90_90;ENST00000392463_90_90;ENST00000418709_90_90;ENST00000434928_90_90;ENST00000437221_90_90;ENST00000440651_90_90;ENST00000449992_90_90;ENST00000456148_90_90;ENSMUST00000040231_90_90;ENSMUST00000065523_90_90;ENSMUST00000115304_90_90;ENSMUST00000115305_90_90;ENSMUST00000115306_90_90;ENSMUST00000115307_90_90;ENSMUST00000115308_90_90;ENSMUST00000115310_90_90
ENSCAFT00000022170_90_90;1.0;0.929;0.714;0.857;0.714;0.643;0.643;0.571;0.143;0.5;0.786;0.786;0.714;0.846;0.692;0.308;0.462;0.769;0.154;0.462;0.923
ENST00000264731_90_90;0.929;1.0;0.786;0.867;0.786;0.667;0.667;0.438;0.118;0.353;0.857;0.8;0.733;0.846;0.75;0.308;0.333;0.769;0.154;0.357;1.0
ENST00000320472_90_90;0.714;0.786;1.0;0.667;0.833;0.833;0.692;0.538;0.143;0.429;0.643;0.6;0.533;0.615;0.8;0.4;0.417;0.538;0.2;0.455;0.75
ENST00000354600_90_90;0.857;0.867;0.667;1.0;0.667;0.786;0.786;0.353;0.188;0.438;0.733;0.929;0.857;1.0;0.615;0.417;0.429;0.917;0.071;0.267;0.846
ENST00000392460_90_90;0.714;0.786;0.833;0.667;1.0;0.692;0.833;0.538;0.143;0.429;0.643;0.6;0.533;0.615;1.0;0.4;0.417;0.538;0.2;0.455;0.75
ENST00000392461_90_90;0.643;0.667;0.833;0.786;0.692;1.0;0.833;0.429;0.231;0.538;0.533;0.714;0.643;0.75;0.636;0.556;0.545;0.667;0.091;0.333;0.615
ENST00000392463_90_90;0.643;0.667;0.692;0.786;0.833;0.833;1.0;0.429;0.231;0.538;0.533;0.714;0.643;0.75;0.8;0.556;0.545;0.667;0.091;0.333;0.615
ENST00000418709_90_90;0.571;0.438;0.538;0.353;0.538;0.429;0.429;1.0;0.167;0.8;0.312;0.294;0.235;0.333;0.545;0.444;0.778;0.267;0.222;0.875;0.429
ENST00000434928_90_90;0.143;0.118;0.143;0.188;0.143;0.231;0.231;0.167;1.0;0.273;0.133;0.125;0.214;0.231;0.182;0.5;0.333;0.25;0.4;0.222;0.143
ENST00000437221_90_90;0.5;0.353;0.429;0.438;0.429;0.538;0.538;0.8;0.273;1.0;0.235;0.375;0.312;0.429;0.417;0.625;1.0;0.357;0.1;0.667;0.333
ENST00000440651_90_90;0.786;0.857;0.643;0.733;0.643;0.533;0.533;0.312;0.133;0.235;1.0;0.667;0.846;0.769;0.667;0.231;0.267;0.833;0.167;0.385;0.917
ENST00000449992_90_90;0.786;0.8;0.6;0.929;0.6;0.714;0.714;0.294;0.125;0.375;0.667;1.0;0.786;0.917;0.538;0.333;0.357;0.833;0.0;0.2;0.769
ENST00000456148_90_90;0.714;0.733;0.533;0.857;0.533;0.643;0.643;0.235;0.214;0.312;0.846;0.786;1.0;0.917;0.538;0.333;0.357;1.0;0.077;0.286;0.769
ENSMUST00000040231_90_90;0.846;0.846;0.615;1.0;0.615;0.75;0.75;0.333;0.231;0.429;0.769;0.917;0.917;1.0;0.667;0.4;0.438;0.857;0.056;0.235;0.867
ENSMUST00000065523_90_90;0.692;0.75;0.8;0.615;1.0;0.636;0.8;0.545;0.182;0.417;0.667;0.538;0.538;0.667;1.0;0.385;0.429;0.533;0.143;0.385;0.786
ENSMUST00000115304_90_90;0.308;0.308;0.4;0.417;0.4;0.556;0.556;0.444;0.5;0.625;0.231;0.333;0.333;0.4;0.385;1.0;0.6;0.267;0.091;0.273;0.312
ENSMUST00000115305_90_90;0.462;0.333;0.417;0.429;0.417;0.545;0.545;0.778;0.333;1.0;0.267;0.357;0.357;0.438;0.429;0.6;1.0;0.312;0.077;0.6;0.353
ENSMUST00000115306_90_90;0.769;0.769;0.538;0.917;0.538;0.667;0.667;0.267;0.25;0.357;0.833;0.833;1.0;0.857;0.533;0.267;0.312;1.0;0.062;0.267;0.733
ENSMUST00000115307_90_90;0.154;0.154;0.2;0.071;0.2;0.091;0.091;0.222;0.4;0.1;0.167;0.0;0.077;0.056;0.143;0.091;0.077;0.062;1.0;0.2;0.118
ENSMUST00000115308_90_90;0.462;0.357;0.455;0.267;0.455;0.333;0.333;0.875;0.222;0.667;0.385;0.2;0.286;0.235;0.385;0.273;0.6;0.267;0.2;1.0;0.312
ENSMUST00000115310_90_90;0.923;1.0;0.75;0.846;0.75;0.615;0.615;0.429;0.143;0.333;0.917;0.769;0.769;0.867;0.786;0.312;0.353;0.733;0.118;0.312;1.0
