;transcript59_ENSMUGG00000013649;transcript39_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript54_ENSCGRG00015005362;transcript59_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript57_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript26_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript37_ENSMUGG00000013649;transcript38_ENSSTOG00000019743;transcript8_ENSSTOG00000019743;transcript38_ENSRNOG00000031503;transcript56_ENSCGRG00000018457;transcript9_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript58_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript8_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript40_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584
transcript59_ENSMUGG00000013649;1.0;0.783;0.818;0.698;0.845;0.873;0.836;0.677;0.706;0.835;0.761;0.721;0.845;0.705;0.535;0.705;0.534;0.845;0.705;0.535;0.676;0.664;0.76;0.707;0.707;0.798;0.737;0.737;0.645;0.522;0.822;0.721;0.721;0.812;0.473;0.68
transcript39_ENSPEMG00000024651;0.783;1.0;0.804;0.77;0.777;0.771;0.934;0.642;0.621;0.771;0.674;0.823;0.777;0.804;0.636;0.804;0.634;0.777;0.804;0.636;0.776;0.737;0.822;0.777;0.777;0.739;0.852;0.852;0.76;0.651;0.717;0.823;0.823;0.968;0.578;0.753
transcript37_ENSPEMG00000024651;0.818;0.804;1.0;0.718;0.962;0.935;0.745;0.796;0.767;0.954;0.841;0.772;0.961;0.751;0.583;0.751;0.581;0.961;0.751;0.583;0.717;0.696;0.77;0.725;0.725;0.905;0.798;0.798;0.717;0.596;0.875;0.772;0.772;0.781;0.506;0.681
transcript65_ENSCGRG00000018457;0.698;0.77;0.718;1.0;0.742;0.765;0.791;0.591;0.616;0.734;0.668;0.817;0.742;0.879;0.704;0.879;0.702;0.742;0.879;0.704;0.839;0.836;0.936;0.99;0.99;0.768;0.905;0.905;0.811;0.685;0.797;0.817;0.817;0.789;0.625;0.837
transcript37_ENSCGRG00001010245;0.845;0.777;0.962;0.742;1.0;0.972;0.721;0.767;0.803;0.989;0.875;0.803;0.999;0.78;0.596;0.78;0.595;0.999;0.78;0.596;0.743;0.719;0.803;0.751;0.751;0.871;0.772;0.772;0.693;0.576;0.902;0.803;0.803;0.806;0.511;0.701
transcript54_ENSCGRG00015005362;0.873;0.771;0.935;0.765;0.972;1.0;0.744;0.793;0.831;0.962;0.887;0.826;0.972;0.771;0.591;0.771;0.59;0.972;0.771;0.591;0.734;0.731;0.826;0.773;0.773;0.897;0.793;0.793;0.704;0.571;0.93;0.826;0.826;0.799;0.508;0.719
transcript59_ENSPEMG00000024651;0.836;0.934;0.745;0.791;0.721;0.744;1.0;0.615;0.595;0.715;0.646;0.798;0.721;0.795;0.642;0.795;0.639;0.721;0.795;0.642;0.769;0.758;0.844;0.798;0.798;0.726;0.877;0.877;0.782;0.657;0.705;0.798;0.798;0.904;0.586;0.774
transcript57_ENSPEMG00000024651;0.677;0.642;0.796;0.591;0.767;0.793;0.615;1.0;0.952;0.766;0.865;0.655;0.767;0.595;0.428;0.595;0.427;0.767;0.595;0.428;0.578;0.558;0.643;0.598;0.598;0.757;0.667;0.667;0.574;0.437;0.732;0.655;0.655;0.625;0.389;0.591
transcript57_ENSMUGG00000013649;0.706;0.621;0.767;0.616;0.803;0.831;0.595;0.952;1.0;0.799;0.903;0.687;0.803;0.623;0.444;0.623;0.443;0.803;0.623;0.444;0.604;0.583;0.677;0.625;0.625;0.729;0.645;0.645;0.556;0.424;0.761;0.687;0.687;0.65;0.398;0.615
transcript37_ENSMUGG00000013592;0.835;0.771;0.954;0.734;0.989;0.962;0.715;0.766;0.799;1.0;0.885;0.795;0.99;0.772;0.592;0.772;0.591;0.99;0.772;0.592;0.735;0.712;0.794;0.743;0.743;0.866;0.766;0.766;0.689;0.573;0.894;0.795;0.795;0.797;0.509;0.697
