;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;0.673;0.497;0.383;0.696;0.523;0.523;0.696;0.696;0.383;0.135;0.383;0.648;0.596;0.648;0.319;0.267;0.399;0.596;0.596;0.696;0.496;0.523;0.696;0.523;0.768;0.806;0.806;0.806;0.625;0.482
ENSCAFT00000010587_90_90;0.673;1.0;0.82;0.538;0.932;1.0;0.935;0.871;0.932;0.3;0.274;0.307;0.683;0.61;0.707;0.538;0.456;0.239;0.511;0.511;0.932;0.82;1.0;0.871;0.935;0.632;0.632;0.242;0.242;0.664;0.689
ENST00000360332_90_90;0.497;0.82;1.0;0.637;0.706;0.82;0.832;0.714;0.706;0.368;0.331;0.377;0.511;0.54;0.529;0.37;0.45;0.3;0.638;0.638;0.706;1.0;0.82;0.714;0.832;0.466;0.466;0.244;0.244;0.503;0.533
ENST00000374174_90_90;0.383;0.538;0.637;1.0;0.469;0.526;0.533;0.475;0.469;0.533;0.483;0.546;0.552;0.582;0.581;0.397;0.512;0.367;0.745;0.745;0.478;0.656;0.538;0.484;0.546;0.171;0.171;0.0;0.0;0.18;0.188
ENST00000374176_90_90;0.696;0.932;0.706;0.469;1.0;0.865;0.772;0.901;1.0;0.268;0.242;0.274;0.635;0.569;0.653;0.502;0.42;0.229;0.492;0.492;1.0;0.706;0.865;0.901;0.772;0.649;0.649;0.318;0.318;0.69;0.72
ENST00000374179_90_90;0.523;1.0;0.82;0.526;0.865;1.0;0.889;0.772;0.865;0.3;0.272;0.307;0.651;0.581;0.671;0.512;0.432;0.239;0.511;0.511;0.865;0.82;1.0;0.772;0.889;0.541;0.541;0.208;0.208;0.573;0.598
ENST00000374182_90_90;0.523;0.935;0.832;0.533;0.772;0.889;1.0;0.863;0.772;0.303;0.276;0.311;0.613;0.543;0.634;0.476;0.463;0.251;0.537;0.537;0.772;0.832;0.889;0.863;1.0;0.491;0.491;0.226;0.226;0.524;0.549
ENST00000374189_90_90;0.696;0.871;0.714;0.475;0.901;0.772;0.863;1.0;0.901;0.27;0.245;0.277;0.599;0.532;0.617;0.465;0.448;0.24;0.519;0.519;0.901;0.714;0.772;1.0;0.863;0.601;0.601;0.344;0.344;0.642;0.674
ENST00000395611_90_90;0.696;0.932;0.706;0.469;1.0;0.865;0.772;0.901;1.0;0.268;0.242;0.274;0.635;0.569;0.653;0.502;0.42;0.229;0.492;0.492;1.0;0.706;0.865;0.901;0.772;0.649;0.649;0.318;0.318;0.69;0.72
ENST00000426557_90_90;0.383;0.3;0.368;0.533;0.268;0.3;0.303;0.27;0.268;1.0;0.284;0.97;0.327;0.341;0.352;0.161;0.231;0.653;0.567;0.567;0.268;0.368;0.3;0.27;0.303;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000429041_90_90;0.135;0.274;0.331;0.483;0.242;0.272;0.276;0.245;0.242;0.284;1.0;0.302;0.279;0.294;0.295;0.344;0.508;0.107;0.471;0.471;0.244;0.335;0.274;0.247;0.279;0.134;0.134;0.0;0.0;0.143;0.151
ENST00000432379_90_90;0.383;0.307;0.377;0.546;0.274;0.307;0.311;0.277;0.274;0.97;0.302;1.0;0.326;0.341;0.352;0.161;0.231;0.651;0.566;0.566;0.274;0.377;0.307;0.277;0.311;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000229794_90_90;0.648;0.683;0.511;0.552;0.635;0.651;0.613;0.599;0.635;0.327;0.279;0.326;1.0;0.895;0.908;0.775;0.493;0.229;0.536;0.536;0.635;0.511;0.65;0.599;0.613;0.525;0.525;0.0;0.0;0.531;0.535
ENST00000229795_90_90;0.596;0.61;0.54;0.582;0.569;0.581;0.543;0.532;0.569;0.341;0.294;0.341;0.895;1.0;0.809;0.679;0.506;0.233;0.548;0.548;0.569;0.54;0.581;0.532;0.544;0.525;0.525;0.0;0.0;0.531;0.536
ENST00000310795_90_90;0.648;0.707;0.529;0.581;0.653;0.671;0.634;0.617;0.653;0.352;0.295;0.352;0.908;0.809;1.0;0.683;0.537;0.254;0.586;0.586;0.653;0.529;0.671;0.616;0.634;0.526;0.526;0.0;0.0;0.532;0.537
ENST00000468133_90_90;0.319;0.538;0.37;0.397;0.502;0.512;0.476;0.465;0.502;0.161;0.344;0.161;0.775;0.679;0.683;1.0;0.639;0.054;0.316;0.316;0.501;0.37;0.512;0.465;0.476;0.528;0.528;0.0;0.0;0.535;0.541
ENST00000472333_90_90;0.267;0.456;0.45;0.512;0.42;0.432;0.463;0.448;0.42;0.231;0.508;0.231;0.493;0.506;0.537;0.639;1.0;0.084;0.431;0.431;0.42;0.45;0.432;0.448;0.463;0.482;0.482;0.0;0.0;0.492;0.502
