;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.925;0.925;0.845;0.845;0.293;0.159;0.247;0.845;0.185;0.215;0.215;0.046;0.645;0.761;0.092;0.073;0.14;0.844;0.86;0.811;0.811;0.653;0.024;0.348
ENSCAFT00000021597_90_90;0.925;1.0;1.0;0.761;0.761;0.323;0.175;0.273;0.761;0.205;0.236;0.236;0.051;0.56;0.833;0.102;0.08;0.154;0.828;0.846;0.889;0.889;0.655;0.027;0.385
ENSCAFT00000021600_90_90;0.925;1.0;1.0;0.761;0.761;0.323;0.175;0.273;0.761;0.205;0.236;0.236;0.051;0.56;0.833;0.102;0.08;0.154;0.828;0.846;0.889;0.889;0.655;0.027;0.385
ENST00000324432_90_90;0.845;0.761;0.761;1.0;1.0;0.279;0.143;0.238;1.0;0.179;0.19;0.19;0.042;0.79;0.917;0.083;0.066;0.126;0.918;0.937;0.887;0.887;0.59;0.024;0.313
ENST00000413936_90_90;0.845;0.761;0.761;1.0;1.0;0.279;0.143;0.238;1.0;0.179;0.19;0.19;0.042;0.79;0.917;0.083;0.066;0.126;0.918;0.937;0.887;0.887;0.59;0.024;0.313
ENST00000423646_90_90;0.293;0.323;0.323;0.279;0.279;1.0;0.505;0.84;0.279;0.0;0.652;0.652;0.141;0.07;0.305;0.283;0.226;0.449;0.306;0.299;0.315;0.315;0.468;0.079;0.878
ENST00000425780_90_90;0.159;0.175;0.175;0.143;0.143;0.505;1.0;0.601;0.143;0.0;0.696;0.696;0.274;0.0;0.157;0.551;0.443;0.893;0.169;0.164;0.173;0.173;0.253;0.145;0.465
ENST00000429179_90_90;0.247;0.273;0.273;0.238;0.238;0.84;0.601;1.0;0.238;0.0;0.776;0.776;0.165;0.028;0.261;0.331;0.266;0.537;0.261;0.255;0.267;0.267;0.394;0.092;0.73
ENST00000430490_90_90;0.845;0.761;0.761;1.0;1.0;0.279;0.143;0.238;1.0;0.179;0.19;0.19;0.042;0.79;0.917;0.083;0.066;0.126;0.918;0.937;0.887;0.887;0.59;0.024;0.313
ENST00000435251_90_90;0.185;0.205;0.205;0.179;0.179;0.0;0.0;0.0;0.179;1.0;0.0;0.0;0.0;0.232;0.196;0.0;0.0;0.0;0.172;0.191;0.201;0.201;0.109;0.0;0.0
ENST00000435861_90_90;0.215;0.236;0.236;0.19;0.19;0.652;0.696;0.776;0.19;0.0;1.0;1.0;0.189;0.0;0.207;0.38;0.306;0.623;0.227;0.221;0.232;0.232;0.342;0.107;0.629
