;ENSCAFT00000022237_90_90;ENST00000423692_90_90;ENST00000431645_90_90;ENST00000448764_90_90;ENST00000449389_90_90;ENST00000611405_90_90;ENST00000614370_90_90;ENST00000614484_90_90;ENST00000618262_90_90;ENST00000618411_90_90;ENST00000641476_90_90;ENSMUST00000040873_90_90;ENSMUST00000196109_90_90;ENSMUST00000197466_90_90;ENSMUST00000197484_90_90;ENSMUST00000198526_90_90;ENSMUST00000199243_90_90;ENSMUST00000199365_90_90;ENSMUST00000199605_90_90;ENSMUST00000199756_90_90;ENSMUST00000223263_90_90
ENSCAFT00000022237_90_90;1.0;0.087;0.119;0.569;0.053;0.998;0.047;0.997;0.994;0.992;0.071;0.998;0.568;0.986;0.047;0.532;0.99;0.058;0.272;0.307;0.071
ENST00000423692_90_90;0.087;1.0;0.0;0.0;0.0;0.087;0.0;0.087;0.088;0.088;0.817;0.087;0.0;0.088;0.0;0.164;0.088;0.0;0.0;0.0;0.817
ENST00000431645_90_90;0.119;0.0;1.0;0.0;0.0;0.119;0.335;0.119;0.119;0.12;0.0;0.118;0.0;0.12;0.367;0.22;0.119;0.0;0.0;0.0;0.0
ENST00000448764_90_90;0.569;0.0;0.0;1.0;0.092;0.57;0.0;0.568;0.565;0.564;0.0;0.57;0.921;0.57;0.0;0.111;0.575;0.004;0.148;0.519;0.0
ENST00000449389_90_90;0.053;0.0;0.0;0.092;1.0;0.052;0.0;0.053;0.053;0.053;0.0;0.053;0.049;0.054;0.0;0.099;0.053;0.0;0.195;0.0;0.0
ENST00000611405_90_90;0.998;0.087;0.119;0.57;0.052;1.0;0.046;0.999;0.995;0.994;0.071;0.997;0.569;0.984;0.047;0.53;0.989;0.058;0.272;0.308;0.071
ENST00000614370_90_90;0.047;0.0;0.335;0.0;0.0;0.046;1.0;0.046;0.046;0.046;0.0;0.047;0.0;0.047;0.984;0.088;0.047;0.0;0.0;0.0;0.0
ENST00000614484_90_90;0.997;0.087;0.119;0.568;0.053;0.999;0.046;1.0;0.994;0.995;0.071;0.996;0.568;0.983;0.047;0.529;0.988;0.058;0.272;0.308;0.071
ENST00000618262_90_90;0.994;0.088;0.119;0.565;0.053;0.995;0.046;0.994;1.0;0.999;0.071;0.992;0.565;0.989;0.047;0.533;0.984;0.058;0.273;0.309;0.072
ENST00000618411_90_90;0.992;0.088;0.12;0.564;0.053;0.994;0.046;0.995;0.999;1.0;0.072;0.991;0.563;0.988;0.047;0.532;0.983;0.058;0.273;0.31;0.072
ENST00000641476_90_90;0.071;0.817;0.0;0.0;0.0;0.071;0.0;0.071;0.071;0.072;1.0;0.071;0.0;0.072;0.0;0.134;0.072;0.0;0.0;0.0;1.0
ENSMUST00000040873_90_90;0.998;0.087;0.118;0.57;0.053;0.997;0.047;0.996;0.992;0.991;0.071;1.0;0.558;0.987;0.046;0.531;0.992;0.057;0.27;0.308;0.071
ENSMUST00000196109_90_90;0.568;0.0;0.0;0.921;0.049;0.569;0.0;0.568;0.565;0.563;0.0;0.558;1.0;0.545;0.0;0.099;0.55;0.004;0.131;0.521;0.0
ENSMUST00000197466_90_90;0.986;0.088;0.12;0.57;0.054;0.984;0.047;0.983;0.989;0.988;0.072;0.987;0.545;1.0;0.047;0.538;0.995;0.057;0.274;0.301;0.072
ENSMUST00000197484_90_90;0.047;0.0;0.367;0.0;0.0;0.047;0.984;0.047;0.047;0.047;0.0;0.046;0.0;0.047;1.0;0.085;0.046;0.0;0.0;0.0;0.0
ENSMUST00000198526_90_90;0.532;0.164;0.22;0.111;0.099;0.53;0.088;0.529;0.533;0.532;0.134;0.531;0.099;0.538;0.085;1.0;0.535;0.11;0.511;0.0;0.133
ENSMUST00000199243_90_90;0.99;0.088;0.119;0.575;0.053;0.989;0.047;0.988;0.984;0.983;0.072;0.992;0.55;0.995;0.046;0.535;1.0;0.057;0.273;0.3;0.072
ENSMUST00000199365_90_90;0.058;0.0;0.0;0.004;0.0;0.058;0.0;0.058;0.058;0.058;0.0;0.057;0.004;0.057;0.0;0.11;0.057;1.0;0.215;0.0;0.0
ENSMUST00000199605_90_90;0.272;0.0;0.0;0.148;0.195;0.272;0.0;0.272;0.273;0.273;0.0;0.27;0.131;0.274;0.0;0.511;0.273;0.215;1.0;0.0;0.0
ENSMUST00000199756_90_90;0.307;0.0;0.0;0.519;0.0;0.308;0.0;0.308;0.309;0.31;0.0;0.308;0.521;0.301;0.0;0.0;0.3;0.0;0.0;1.0;0.0
ENSMUST00000223263_90_90;0.071;0.817;0.0;0.0;0.0;0.071;0.0;0.071;0.072;0.072;1.0;0.071;0.0;0.072;0.0;0.133;0.072;0.0;0.0;0.0;1.0
