;ENSCAFT00000015696_90_90;ENST00000370183_90_90;ENST00000370187_90_90;ENST00000393441_90_90;ENST00000408038_90_90;ENSMUST00000065601_90_90;ENSMUST00000111936_90_90;ENSMUST00000223684_90_90;ENSMUST00000223764_90_90;ENSMUST00000224102_90_90;ENSMUST00000224318_90_90;ENSMUST00000224478_90_90
ENSCAFT00000015696_90_90;1.0;0.864;1.0;0.773;0.909;0.357;0.071;0.0;0.071;1.0;0.214;0.0
ENST00000370183_90_90;0.864;1.0;0.792;0.583;0.783;0.267;0.0;0.0;0.0;0.867;0.231;0.0
ENST00000370187_90_90;1.0;0.792;1.0;0.792;0.917;0.4;0.133;0.0;0.133;1.0;0.2;0.0
ENST00000393441_90_90;0.773;0.583;0.792;1.0;0.708;0.333;0.2;0.0;0.2;0.667;0.182;0.0
ENST00000408038_90_90;0.909;0.783;0.917;0.708;1.0;0.4;0.133;0.0;0.133;1.0;0.2;0.0
ENSMUST00000065601_90_90;0.357;0.267;0.4;0.333;0.4;1.0;0.667;0.167;0.417;0.28;0.25;0.333
ENSMUST00000111936_90_90;0.071;0.0;0.133;0.2;0.133;0.667;1.0;0.25;0.625;0.12;0.0;0.5
ENSMUST00000223684_90_90;0.0;0.0;0.0;0.0;0.0;0.167;0.25;1.0;0.167;0.0;0.0;0.5
ENSMUST00000223764_90_90;0.071;0.0;0.133;0.2;0.133;0.417;0.625;0.167;1.0;0.136;0.0;0.286
ENSMUST00000224102_90_90;1.0;0.867;1.0;0.667;1.0;0.28;0.12;0.0;0.136;1.0;0.15;0.0
ENSMUST00000224318_90_90;0.214;0.231;0.2;0.182;0.2;0.25;0.0;0.0;0.0;0.15;1.0;0.0
ENSMUST00000224478_90_90;0.0;0.0;0.0;0.0;0.0;0.333;0.5;0.5;0.286;0.0;0.0;1.0
