;transcript2_ENSMLUG00000027828;transcript2_ENSSTOG00000019743;transcript17_ENSMUGG00000013649;transcript17_ENSMUGG00000013592;transcript29_ENSMUGG00000013592;transcript8_ENSPEMG00000024651;transcript8_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript18_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript15_ENSSTOG00000019743
transcript2_ENSMLUG00000027828;1.0;0.904;0.526;0.52;0.568;0.508;0.477;0.337;0.737;0.734;0.707;0.714;0.904
transcript2_ENSSTOG00000019743;0.904;1.0;0.56;0.551;0.607;0.54;0.505;0.348;0.808;0.803;0.769;0.778;1.0
transcript17_ENSMUGG00000013649;0.526;0.56;1.0;0.985;0.897;0.801;0.76;0.355;0.509;0.503;0.523;0.518;0.56
transcript17_ENSMUGG00000013592;0.52;0.551;0.985;1.0;0.909;0.791;0.755;0.354;0.505;0.499;0.519;0.513;0.551
transcript29_ENSMUGG00000013592;0.568;0.607;0.897;0.909;1.0;0.868;0.816;0.327;0.549;0.543;0.564;0.559;0.607
transcript8_ENSPEMG00000024651;0.508;0.54;0.801;0.791;0.868;1.0;0.838;0.279;0.547;0.487;0.506;0.5;0.54
transcript8_ENSNGAG00000018584;0.477;0.505;0.76;0.755;0.816;0.838;1.0;0.31;0.625;0.553;0.576;0.57;0.505
transcript7_ENSNGAG00000018584;0.337;0.348;0.355;0.354;0.327;0.279;0.31;1.0;0.372;0.433;0.391;0.447;0.348
transcript9_ENSNGAG00000018584;0.737;0.808;0.509;0.505;0.549;0.547;0.625;0.372;1.0;0.912;0.872;0.883;0.808
transcript10_ENSNGAG00000018584;0.734;0.803;0.503;0.499;0.543;0.487;0.553;0.433;0.912;1.0;0.958;0.969;0.803
transcript18_ENSNGAG00000018584;0.707;0.769;0.523;0.519;0.564;0.506;0.576;0.391;0.872;0.958;1.0;0.927;0.769
transcript19_ENSNGAG00000018584;0.714;0.778;0.518;0.513;0.559;0.5;0.57;0.447;0.883;0.969;0.927;1.0;0.778
transcript15_ENSSTOG00000019743;0.904;1.0;0.56;0.551;0.607;0.54;0.505;0.348;0.808;0.803;0.769;0.778;1.0
