id_transcript;block_sequence
ENSCAFT00000027870_90_90;1.2.3.4.5.6.7.8.9.10.11.12.13.15.16.17.18.19.20.21.23.24.25
ENST00000554308_90_90;0.1.2.3.4.5.6.7.8.11.12.13
ENST00000554511_90_90;1.2
ENST00000554684_90_90;1.2.3.4.5.6.7.8.11.12.13.14.15.17.19.20.21.23.24.25
ENST00000554943_90_90;1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.17.19.20.21.23.24.25
ENST00000555029_90_90;1.6.7.8.9.10.11
ENST00000555462_90_90;1.6.7.8.9.10.11.12.13.14.15.17.19.20.21.23.24.25
ENST00000555470_90_90;5.6.8.9
ENST00000557018_90_90;1.2.3
ENSMUST00000048305_90_90;1.2.3.4.5.6.7.8.11.12.13.14.15.17.19.20.21.22.24.25
ENSMUST00000163095_90_90;1.2.3.4.5.6.7.8.9.10.11.12.13.14.15.17.19.20.21.22.24.25
ENSMUST00000223091_90_90;13
ENSMUST00000223459_90_90;20.24
