;ENSCAFT00000027870_90_90;ENST00000554308_90_90;ENST00000554511_90_90;ENST00000554684_90_90;ENST00000554943_90_90;ENST00000555029_90_90;ENST00000555462_90_90;ENST00000555470_90_90;ENST00000557018_90_90;ENSMUST00000048305_90_90;ENSMUST00000163095_90_90;ENSMUST00000223091_90_90;ENSMUST00000223459_90_90
ENSCAFT00000027870_90_90;1.0;0.458;0.087;0.792;0.875;0.304;0.708;0.174;0.13;0.72;0.8;0.043;0.087
ENST00000554308_90_90;0.458;1.0;0.167;0.524;0.478;0.357;0.304;0.231;0.25;0.524;0.478;0.083;0.0
ENST00000554511_90_90;0.087;0.167;1.0;0.1;0.091;0.125;0.053;0.0;0.667;0.1;0.091;0.0;0.0
ENST00000554684_90_90;0.792;0.524;0.1;1.0;0.909;0.227;0.727;0.143;0.15;0.905;0.826;0.05;0.1
ENST00000554943_90_90;0.875;0.478;0.091;0.909;1.0;0.318;0.818;0.182;0.136;0.826;0.913;0.045;0.091
ENST00000555029_90_90;0.304;0.357;0.125;0.227;0.318;1.0;0.389;0.375;0.111;0.227;0.318;0.0;0.0
ENST00000555462_90_90;0.708;0.304;0.053;0.727;0.818;0.389;1.0;0.158;0.05;0.652;0.739;0.056;0.111
ENST00000555470_90_90;0.174;0.231;0.0;0.143;0.182;0.375;0.158;1.0;0.0;0.143;0.182;0.0;0.0
ENST00000557018_90_90;0.13;0.25;0.667;0.15;0.136;0.111;0.05;0.0;1.0;0.15;0.136;0.0;0.0
ENSMUST00000048305_90_90;0.72;0.524;0.1;0.905;0.826;0.227;0.652;0.143;0.15;1.0;0.909;0.05;0.1
ENSMUST00000163095_90_90;0.8;0.478;0.091;0.826;0.913;0.318;0.739;0.182;0.136;0.909;1.0;0.045;0.091
ENSMUST00000223091_90_90;0.043;0.083;0.0;0.05;0.045;0.0;0.056;0.0;0.0;0.05;0.045;1.0;0.0
ENSMUST00000223459_90_90;0.087;0.0;0.0;0.1;0.091;0.0;0.111;0.0;0.0;0.1;0.091;0.0;1.0
