;ENSCAFT00000028733_90_90;ENST00000288381_90_90;ENST00000372068_90_90;ENST00000372072_90_90;ENST00000372073_90_90;ENSMUST00000087333_90_90;ENSMUST00000101198_90_90;ENSMUST00000112888_90_90;ENSMUST00000112889_90_90;ENSMUST00000112891_90_90;ENSMUST00000112896_90_90;ENSMUST00000133634_90_90;ENSMUST00000151914_90_90
ENSCAFT00000028733_90_90;1.0;0.667;1.0;0.583;1.0;1.0;0.6;0.2;0.6;0.6;1.0;1.0;0.4
ENST00000288381_90_90;0.667;1.0;0.667;0.5;0.667;0.6;0.5;0.333;0.5;0.333;0.6;0.6;0.429
ENST00000372068_90_90;1.0;0.667;1.0;0.583;1.0;1.0;0.6;0.2;0.6;0.6;1.0;1.0;0.4
ENST00000372072_90_90;0.583;0.5;0.583;1.0;0.583;0.6;1.0;0.333;1.0;0.714;0.6;0.6;0.667
ENST00000372073_90_90;1.0;0.667;1.0;0.583;1.0;1.0;0.6;0.2;0.6;0.6;1.0;1.0;0.4
ENSMUST00000087333_90_90;1.0;0.6;1.0;0.6;1.0;1.0;0.636;0.182;0.636;0.636;1.0;1.0;0.417
ENSMUST00000101198_90_90;0.6;0.5;0.6;1.0;0.6;0.636;1.0;0.286;1.0;0.75;0.636;0.636;0.625
ENSMUST00000112888_90_90;0.2;0.333;0.2;0.333;0.2;0.182;0.286;1.0;0.286;0.286;0.182;0.182;0.143
ENSMUST00000112889_90_90;0.6;0.5;0.6;1.0;0.6;0.636;1.0;0.286;1.0;0.75;0.636;0.636;0.625
ENSMUST00000112891_90_90;0.6;0.333;0.6;0.714;0.6;0.636;0.75;0.286;0.75;1.0;0.636;0.636;0.444
ENSMUST00000112896_90_90;1.0;0.6;1.0;0.6;1.0;1.0;0.636;0.182;0.636;0.636;1.0;1.0;0.417
ENSMUST00000133634_90_90;1.0;0.6;1.0;0.6;1.0;1.0;0.636;0.182;0.636;0.636;1.0;1.0;0.417
ENSMUST00000151914_90_90;0.4;0.429;0.4;0.667;0.4;0.417;0.625;0.143;0.625;0.444;0.417;0.417;1.0
