;ENSCAFT00000007160_90_90;ENST00000353609_90_90;ENST00000417353_90_90;ENST00000443841_90_90;ENST00000585836_90_90;ENST00000586615_90_90;ENST00000589593_90_90;ENST00000590335_90_90;ENST00000591858_90_90;ENST00000592436_90_90;ENST00000592811_90_90;ENST00000615753_90_90;ENSMUST00000003640_90_90;ENSMUST00000207334_90_90;ENSMUST00000207716_90_90;ENSMUST00000208326_90_90;ENSMUST00000208446_90_90;ENSMUST00000208505_90_90
ENSCAFT00000007160_90_90;1.0;1.0;0.875;0.5;0.625;0.75;0.375;0.5;0.75;0.75;0.5;0.875;1.0;0.9;0.7;0.8;0.8;0.7
ENST00000353609_90_90;1.0;1.0;0.909;0.545;0.727;0.636;0.333;0.583;0.818;0.818;0.455;0.909;1.0;0.889;0.667;0.778;0.778;0.667
ENST00000417353_90_90;0.875;0.909;1.0;0.6;0.8;0.545;0.25;0.636;0.727;0.727;0.364;0.818;0.889;1.0;0.75;0.667;0.667;0.75
ENST00000443841_90_90;0.5;0.545;0.6;1.0;0.75;0.3;0.0;0.273;0.667;0.364;0.1;0.455;0.556;0.625;0.833;0.714;0.333;0.375
ENST00000585836_90_90;0.625;0.727;0.8;0.75;1.0;0.5;0.182;0.455;0.889;0.545;0.3;0.636;0.667;0.75;1.0;0.857;0.444;0.5
ENST00000586615_90_90;0.75;0.636;0.545;0.3;0.5;1.0;0.5;0.25;0.6;0.455;0.714;0.545;0.667;0.556;0.5;0.625;0.444;0.333
ENST00000589593_90_90;0.375;0.333;0.25;0.0;0.182;0.5;1.0;0.3;0.273;0.4;0.667;0.364;0.333;0.222;0.125;0.25;0.429;0.286
ENST00000590335_90_90;0.5;0.583;0.636;0.273;0.455;0.25;0.3;1.0;0.417;0.7;0.3;0.636;0.556;0.625;0.375;0.333;0.714;0.833
ENST00000591858_90_90;0.75;0.818;0.727;0.667;0.889;0.6;0.273;0.417;1.0;0.636;0.4;0.727;0.778;0.667;0.857;1.0;0.556;0.444
ENST00000592436_90_90;0.75;0.818;0.727;0.364;0.545;0.455;0.4;0.7;0.636;1.0;0.556;0.9;0.778;0.667;0.444;0.556;1.0;0.857
ENST00000592811_90_90;0.5;0.455;0.364;0.1;0.3;0.714;0.667;0.3;0.4;0.556;1.0;0.5;0.444;0.333;0.25;0.375;0.571;0.429
ENST00000615753_90_90;0.875;0.909;0.818;0.455;0.636;0.545;0.364;0.636;0.727;0.9;0.5;1.0;0.889;0.778;0.556;0.667;0.875;0.75
ENSMUST00000003640_90_90;1.0;1.0;0.889;0.556;0.667;0.667;0.333;0.556;0.778;0.778;0.444;0.889;1.0;0.909;0.727;0.818;0.818;0.727
ENSMUST00000207334_90_90;0.9;0.889;1.0;0.625;0.75;0.556;0.222;0.625;0.667;0.667;0.333;0.778;0.909;1.0;0.8;0.727;0.727;0.8
ENSMUST00000207716_90_90;0.7;0.667;0.75;0.833;1.0;0.5;0.125;0.375;0.857;0.444;0.25;0.556;0.727;0.8;1.0;0.889;0.545;0.6
ENSMUST00000208326_90_90;0.8;0.778;0.667;0.714;0.857;0.625;0.25;0.333;1.0;0.556;0.375;0.667;0.818;0.727;0.889;1.0;0.636;0.545
ENSMUST00000208446_90_90;0.8;0.778;0.667;0.333;0.444;0.444;0.429;0.714;0.556;1.0;0.571;0.875;0.818;0.727;0.545;0.636;1.0;0.889
ENSMUST00000208505_90_90;0.7;0.667;0.75;0.375;0.5;0.333;0.286;0.833;0.444;0.857;0.429;0.75;0.727;0.8;0.6;0.545;0.889;1.0
