;ENSCAFT00000028827_90_90;ENST00000269137_90_90;ENST00000269138_90_90;ENST00000415083_90_90;ENST00000539244_90_90;ENST00000542420_90_90;ENST00000577572_90_90;ENST00000577636_90_90;ENST00000578700_90_90;ENST00000578954_90_90;ENST00000579061_90_90;ENST00000579640_90_90;ENST00000580642_90_90;ENST00000580751_90_90;ENST00000581021_90_90;ENST00000581570_90_90;ENST00000582448_90_90;ENST00000582792_90_90;ENST00000584083_90_90;ENST00000585121_90_90;ENSMUST00000040924_90_90;ENSMUST00000040964_90_90;ENSMUST00000092041_90_90
ENSCAFT00000028827_90_90;1.0;0.8;0.214;0.867;0.133;0.8;0.133;0.188;0.067;0.2;0.533;0.133;0.133;0.2;0.333;0.2;0.067;0.133;0.467;0.133;1.0;0.786;0.929
ENST00000269137_90_90;0.8;1.0;0.231;0.929;0.231;0.857;0.143;0.286;0.071;0.133;0.692;0.143;0.143;0.133;0.462;0.133;0.071;0.143;0.615;0.143;0.8;0.6;0.857
ENST00000269138_90_90;0.214;0.231;1.0;0.214;0.2;0.143;0.5;0.143;0.25;0.4;0.2;0.5;0.5;0.4;0.286;0.4;0.25;0.5;0.222;0.5;0.214;0.273;0.231
ENST00000415083_90_90;0.867;0.929;0.214;1.0;0.214;0.929;0.133;0.267;0.067;0.125;0.643;0.133;0.133;0.125;0.429;0.125;0.067;0.133;0.571;0.133;0.867;0.667;0.8
ENST00000539244_90_90;0.133;0.231;0.2;0.214;1.0;0.143;0.2;0.333;0.0;0.167;0.2;0.2;0.2;0.167;0.286;0.167;0.0;0.2;0.222;0.2;0.133;0.167;0.143
ENST00000542420_90_90;0.8;0.857;0.143;0.929;0.143;1.0;0.067;0.286;0.071;0.062;0.692;0.067;0.067;0.062;0.462;0.062;0.071;0.067;0.615;0.067;0.8;0.6;0.733
ENST00000577572_90_90;0.133;0.143;0.5;0.133;0.2;0.067;1.0;0.143;0.667;0.4;0.091;0.5;0.5;0.4;0.125;0.4;0.25;0.5;0.1;0.5;0.133;0.167;0.143
ENST00000577636_90_90;0.188;0.286;0.143;0.267;0.333;0.286;0.143;1.0;0.167;0.125;0.4;0.143;0.143;0.125;0.571;0.125;0.167;0.143;0.444;0.143;0.188;0.231;0.2
ENST00000578700_90_90;0.067;0.071;0.25;0.067;0.0;0.071;0.667;0.167;1.0;0.2;0.1;0.25;0.25;0.2;0.143;0.2;0.333;0.25;0.111;0.25;0.067;0.083;0.071
ENST00000578954_90_90;0.2;0.133;0.4;0.125;0.167;0.062;0.4;0.125;0.2;1.0;0.083;0.4;0.4;1.0;0.111;1.0;0.2;0.4;0.091;0.4;0.2;0.25;0.214
ENST00000579061_90_90;0.533;0.692;0.2;0.643;0.2;0.692;0.091;0.4;0.1;0.083;1.0;0.091;0.091;0.083;0.667;0.083;0.1;0.091;0.889;0.091;0.533;0.429;0.571
ENST00000579640_90_90;0.133;0.143;0.5;0.133;0.2;0.067;0.5;0.143;0.25;0.4;0.091;1.0;1.0;0.4;0.125;0.4;0.667;0.5;0.1;0.5;0.133;0.167;0.143
ENST00000580642_90_90;0.133;0.143;0.5;0.133;0.2;0.067;0.5;0.143;0.25;0.4;0.091;1.0;1.0;0.4;0.125;0.4;0.667;0.5;0.1;0.5;0.133;0.167;0.143
ENST00000580751_90_90;0.2;0.133;0.4;0.125;0.167;0.062;0.4;0.125;0.2;1.0;0.083;0.4;0.4;1.0;0.111;1.0;0.2;0.4;0.091;0.4;0.2;0.25;0.214
ENST00000581021_90_90;0.333;0.462;0.286;0.429;0.286;0.462;0.125;0.571;0.143;0.111;0.667;0.125;0.125;0.111;1.0;0.111;0.143;0.125;0.75;0.125;0.333;0.417;0.357
ENST00000581570_90_90;0.2;0.133;0.4;0.125;0.167;0.062;0.4;0.125;0.2;1.0;0.083;0.4;0.4;1.0;0.111;1.0;0.2;0.4;0.091;0.4;0.2;0.25;0.214
ENST00000582448_90_90;0.067;0.071;0.25;0.067;0.0;0.071;0.25;0.167;0.333;0.2;0.1;0.667;0.667;0.2;0.143;0.2;1.0;0.25;0.111;0.25;0.067;0.083;0.071
ENST00000582792_90_90;0.133;0.143;0.5;0.133;0.2;0.067;0.5;0.143;0.25;0.4;0.091;0.5;0.5;0.4;0.125;0.4;0.25;1.0;0.1;0.5;0.133;0.167;0.143
ENST00000584083_90_90;0.467;0.615;0.222;0.571;0.222;0.615;0.1;0.444;0.111;0.091;0.889;0.1;0.1;0.091;0.75;0.091;0.111;0.1;1.0;0.1;0.467;0.462;0.5
ENST00000585121_90_90;0.133;0.143;0.5;0.133;0.2;0.067;0.5;0.143;0.25;0.4;0.091;0.5;0.5;0.4;0.125;0.4;0.25;0.5;0.1;1.0;0.133;0.167;0.143
ENSMUST00000040924_90_90;1.0;0.8;0.214;0.867;0.133;0.8;0.133;0.188;0.067;0.2;0.533;0.133;0.133;0.2;0.333;0.2;0.067;0.133;0.467;0.133;1.0;0.786;0.929
ENSMUST00000040964_90_90;0.786;0.6;0.273;0.667;0.167;0.6;0.167;0.231;0.083;0.25;0.429;0.167;0.167;0.25;0.417;0.25;0.083;0.167;0.462;0.167;0.786;1.0;0.714
ENSMUST00000092041_90_90;0.929;0.857;0.231;0.8;0.143;0.733;0.143;0.2;0.071;0.214;0.571;0.143;0.143;0.214;0.357;0.214;0.071;0.143;0.5;0.143;0.929;0.714;1.0
