;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.48;0.433;0.6;0.0;0.222;0.6;0.0;0.0;0.6;0.0;0.5;0.5;0.875;0.5;0.25;0.5
ENSCAFT00000023892_90_90;0.48;1.0;0.786;0.714;0.0;0.5;0.714;0.0;0.0;0.714;0.429;0.625;0.625;1.0;0.625;0.375;0.625
ENSCAFT00000043832_90_90;0.433;0.786;1.0;0.5;0.0;0.8;0.5;0.0;0.0;0.5;0.3;0.625;0.625;1.0;0.625;0.375;0.625
ENST00000292476_90_90;0.6;0.714;0.5;1.0;0.2;0.16;0.9;0.462;0.6;0.75;0.609;0.556;0.833;0.2;0.667;0.625;0.722
ENST00000412686_90_90;0.0;0.0;0.0;0.2;1.0;0.0;0.222;0.1;0.333;0.118;0.167;0.133;0.222;0.0;0.267;0.364;0.25
ENST00000430038_90_90;0.222;0.5;0.8;0.16;0.0;1.0;0.174;0.0;0.0;0.2;0.083;0.154;0.111;0.667;0.133;0.083;0.125
ENST00000436336_90_90;0.6;0.714;0.5;0.9;0.222;0.174;1.0;0.385;0.667;0.833;0.667;0.625;0.722;0.231;0.75;0.6;0.812
ENST00000440514_90_90;0.0;0.0;0.0;0.462;0.1;0.0;0.385;1.0;0.5;0.32;0.4;0.471;0.667;0.0;0.5;0.438;0.556
ENST00000441580_90_90;0.0;0.0;0.0;0.6;0.333;0.0;0.667;0.5;1.0;0.5;0.611;0.375;0.5;0.0;0.5;0.538;0.562
ENST00000451876_90_90;0.6;0.714;0.5;0.75;0.118;0.2;0.833;0.32;0.5;1.0;0.524;0.769;0.556;0.3;0.667;0.4;0.625
ENST00000452047_90_90;0.0;0.429;0.3;0.609;0.167;0.083;0.667;0.4;0.611;0.524;1.0;0.375;0.5;0.0;0.5;0.538;0.562
ENSMUST00000070487_90_90;0.5;0.625;0.625;0.556;0.133;0.154;0.625;0.471;0.375;0.769;0.375;1.0;0.75;0.278;0.882;0.474;0.833
ENSMUST00000160422_90_90;0.5;0.625;0.625;0.833;0.222;0.111;0.722;0.667;0.5;0.556;0.5;0.75;1.0;0.217;0.85;0.65;0.9
ENSMUST00000160574_90_90;0.875;1.0;1.0;0.2;0.0;0.667;0.231;0.0;0.0;0.3;0.0;0.278;0.217;1.0;0.25;0.167;0.238
ENSMUST00000160629_90_90;0.5;0.625;0.625;0.667;0.267;0.133;0.75;0.5;0.5;0.667;0.5;0.882;0.85;0.25;1.0;0.579;0.944
ENSMUST00000160762_90_90;0.25;0.375;0.375;0.625;0.364;0.083;0.6;0.438;0.538;0.4;0.538;0.474;0.65;0.167;0.579;1.0;0.632
ENSMUST00000162244_90_90;0.5;0.625;0.625;0.722;0.25;0.125;0.812;0.556;0.562;0.625;0.562;0.833;0.9;0.238;0.944;0.632;1.0
