;ENSCAFT00000002501_90_90;ENST00000307972_90_90;ENST00000373057_90_90;ENST00000373060_90_90;ENST00000373063_90_90;ENST00000409208_90_90;ENST00000451305_90_90;ENSMUST00000097311_90_90;ENSMUST00000113262_90_90;ENSMUST00000113263_90_90;ENSMUST00000113265_90_90
ENSCAFT00000002501_90_90;1.0;0.875;0.812;0.875;0.867;0.933;0.062;0.737;0.778;0.684;0.722
ENST00000307972_90_90;0.875;1.0;0.933;1.0;0.867;0.933;0.062;0.737;0.684;0.684;0.632
ENST00000373057_90_90;0.812;0.933;1.0;0.933;0.8;0.867;0.067;0.684;0.632;0.722;0.579
ENST00000373060_90_90;0.875;1.0;0.933;1.0;0.867;0.933;0.062;0.737;0.684;0.684;0.632
ENST00000373063_90_90;0.867;0.867;0.8;0.867;1.0;0.929;0.071;0.632;0.667;0.579;0.706
ENST00000409208_90_90;0.933;0.933;0.867;0.933;0.929;1.0;0.067;0.684;0.722;0.632;0.667
ENST00000451305_90_90;0.062;0.062;0.067;0.062;0.071;0.067;1.0;0.053;0.056;0.056;0.059
ENSMUST00000097311_90_90;0.737;0.737;0.684;0.737;0.632;0.684;0.053;1.0;0.944;0.944;0.889
ENSMUST00000113262_90_90;0.778;0.684;0.632;0.684;0.667;0.722;0.056;0.944;1.0;0.889;0.941
ENSMUST00000113263_90_90;0.684;0.684;0.722;0.684;0.579;0.632;0.056;0.944;0.889;1.0;0.833
ENSMUST00000113265_90_90;0.722;0.632;0.579;0.632;0.706;0.667;0.059;0.889;0.941;0.833;1.0
