;ENSCAFT00000000625_90_90;ENST00000367378_90_90;ENST00000367380_90_90;ENST00000367384_90_90;ENST00000460828_90_90;ENST00000464889_90_90;ENST00000484601_90_90;ENST00000486585_90_90;ENST00000494411_90_90;ENST00000495487_90_90;ENST00000544496_90_90;ENSMUST00000159917_90_90;ENSMUST00000159977_90_90;ENSMUST00000161123_90_90;ENSMUST00000161428_90_90;ENSMUST00000162606_90_90;ENSMUST00000162682_90_90;ENSMUST00000163085_90_90
ENSCAFT00000000625_90_90;1.0;0.833;0.556;0.833;0.833;0.833;0.833;0.556;0.833;0.056;0.833;1.0;0.0;0.5;0.0;1.0;0.0;0.333
ENST00000367378_90_90;0.833;1.0;0.645;0.938;0.697;1.0;0.676;0.257;0.719;0.355;0.935;0.762;0.0;0.333;0.312;0.682;0.125;0.619
ENST00000367380_90_90;0.556;0.645;1.0;0.594;0.364;0.645;0.353;0.375;0.375;0.148;0.581;0.333;0.0;0.0;0.714;0.273;0.286;0.389
ENST00000367384_90_90;0.833;0.938;0.594;1.0;0.697;0.938;0.676;0.257;0.719;0.355;0.875;0.682;0.0;0.333;0.312;0.762;0.125;0.545
ENST00000460828_90_90;0.833;0.697;0.364;0.697;1.0;0.697;0.821;0.31;0.885;0.241;0.742;0.524;0.0;0.643;0.0;0.524;0.0;0.381
ENST00000464889_90_90;0.833;1.0;0.645;0.938;0.697;1.0;0.676;0.257;0.719;0.355;0.935;0.762;0.0;0.333;0.312;0.682;0.125;0.619
ENST00000484601_90_90;0.833;0.676;0.353;0.676;0.821;0.676;1.0;0.3;0.852;0.233;0.719;0.571;0.0;0.714;0.0;0.571;0.0;0.429
ENST00000486585_90_90;0.556;0.257;0.375;0.257;0.31;0.257;0.3;1.0;0.321;0.0;0.273;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000494411_90_90;0.833;0.719;0.375;0.719;0.885;0.719;0.852;0.321;1.0;0.25;0.767;0.429;0.0;0.5;0.0;0.429;0.0;0.286
ENST00000495487_90_90;0.056;0.355;0.148;0.355;0.241;0.355;0.233;0.0;0.25;1.0;0.29;0.429;0.0;0.312;0.4;0.429;0.222;0.5
ENST00000544496_90_90;0.833;0.935;0.581;0.875;0.742;0.935;0.719;0.273;0.767;0.29;1.0;0.667;0.0;0.368;0.188;0.591;0.067;0.524
ENSMUST00000159917_90_90;1.0;0.762;0.333;0.682;0.524;0.762;0.571;0.0;0.429;0.429;0.667;1.0;0.03;0.588;0.242;0.939;0.094;0.844
ENSMUST00000159977_90_90;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03;1.0;0.091;0.1;0.03;0.25;0.036
ENSMUST00000161123_90_90;0.5;0.333;0.0;0.333;0.643;0.333;0.714;0.0;0.5;0.312;0.368;0.588;0.091;1.0;0.069;0.588;0.042;0.633
ENSMUST00000161428_90_90;0.0;0.312;0.714;0.312;0.0;0.312;0.0;0.0;0.0;0.4;0.188;0.242;0.1;0.069;1.0;0.242;0.333;0.286
ENSMUST00000162606_90_90;1.0;0.682;0.273;0.762;0.524;0.682;0.571;0.0;0.429;0.429;0.591;0.939;0.03;0.588;0.242;1.0;0.094;0.788
ENSMUST00000162682_90_90;0.0;0.125;0.286;0.125;0.0;0.125;0.0;0.0;0.0;0.222;0.067;0.094;0.25;0.042;0.333;0.094;1.0;0.111
ENSMUST00000163085_90_90;0.333;0.619;0.389;0.545;0.381;0.619;0.429;0.0;0.286;0.5;0.524;0.844;0.036;0.633;0.286;0.788;0.111;1.0
