;ENSCAFT00000031718_90_90;ENSCAFT00000036937_90_90;ENST00000258180_90_90;ENST00000538274_90_90;ENST00000562564_90_90;ENST00000562580_90_90;ENST00000566428_90_90;ENST00000567328_90_90;ENSMUST00000034281_90_90;ENSMUST00000108948_90_90;ENSMUST00000108950_90_90;ENSMUST00000108951_90_90;ENSMUST00000132229_90_90;ENSMUST00000153725_90_90
ENSCAFT00000031718_90_90;1.0;0.976;1.0;0.976;0.276;0.48;1.0;0.731;1.0;0.729;1.0;0.975;0.151;0.558
ENSCAFT00000036937_90_90;0.976;1.0;0.976;1.0;0.282;0.492;0.976;0.749;0.975;0.747;0.975;1.0;0.154;0.572
ENST00000258180_90_90;1.0;0.976;1.0;0.976;0.275;0.482;1.0;0.731;1.0;0.728;1.0;0.975;0.151;0.558
ENST00000538274_90_90;0.976;1.0;0.976;1.0;0.282;0.494;0.976;0.749;0.975;0.747;0.975;1.0;0.154;0.572
ENST00000562564_90_90;0.276;0.282;0.275;0.282;1.0;0.571;0.275;0.103;0.278;0.104;0.278;0.285;0.0;0.0
ENST00000562580_90_90;0.48;0.492;0.482;0.494;0.571;1.0;0.482;0.243;0.477;0.236;0.477;0.489;0.0;0.06
ENST00000566428_90_90;1.0;0.976;1.0;0.976;0.275;0.482;1.0;0.731;1.0;0.728;1.0;0.975;0.151;0.558
ENST00000567328_90_90;0.731;0.749;0.731;0.749;0.103;0.243;0.731;1.0;0.728;1.0;0.728;0.747;0.207;0.764
ENSMUST00000034281_90_90;1.0;0.975;1.0;0.975;0.278;0.477;1.0;0.728;1.0;0.728;1.0;0.975;0.151;0.558
ENSMUST00000108948_90_90;0.729;0.747;0.728;0.747;0.104;0.236;0.728;1.0;0.728;1.0;0.728;0.747;0.207;0.764
ENSMUST00000108950_90_90;1.0;0.975;1.0;0.975;0.278;0.477;1.0;0.728;1.0;0.728;1.0;0.975;0.151;0.558
ENSMUST00000108951_90_90;0.975;1.0;0.975;1.0;0.285;0.489;0.975;0.747;0.975;0.747;0.975;1.0;0.154;0.572
ENSMUST00000132229_90_90;0.151;0.154;0.151;0.154;0.0;0.0;0.151;0.207;0.151;0.207;0.151;0.154;1.0;0.27
ENSMUST00000153725_90_90;0.558;0.572;0.558;0.572;0.0;0.06;0.558;0.764;0.558;0.764;0.558;0.572;0.27;1.0
