;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.577;0.619;0.425;0.942;0.967;0.155;0.566;0.425;0.566;0.566;0.73;0.616;0.641;0.299;0.635
ENSCAFT00000021179_90_90;0.577;1.0;0.788;0.53;0.569;0.573;0.0;0.616;0.53;0.616;0.616;0.641;0.617;0.621;0.318;0.704
ENST00000359842_90_90;0.619;0.788;1.0;0.537;0.611;0.615;0.011;0.719;0.537;0.719;0.719;0.545;0.561;0.567;0.271;0.596
ENST00000619224_90_90;0.425;0.53;0.537;1.0;0.416;0.423;0.0;0.519;1.0;0.519;0.519;0.413;0.567;0.578;0.202;0.456
ENST00000374680_90_90;0.942;0.569;0.611;0.416;1.0;0.975;0.185;0.558;0.416;0.558;0.558;0.719;0.623;0.61;0.304;0.641
ENST00000374685_90_90;0.967;0.573;0.615;0.423;0.975;1.0;0.18;0.562;0.423;0.562;0.562;0.738;0.61;0.635;0.296;0.631
ENST00000483281_90_90;0.155;0.0;0.011;0.0;0.185;0.18;1.0;0.058;0.0;0.058;0.058;0.127;0.0;0.0;0.0;0.032
ENSMUST00000015987_90_90;0.566;0.616;0.719;0.519;0.558;0.562;0.058;1.0;0.519;1.0;1.0;0.506;0.453;0.458;0.177;0.531
ENSMUST00000111380_90_90;0.425;0.53;0.537;1.0;0.416;0.423;0.0;0.519;1.0;0.519;0.519;0.413;0.567;0.578;0.202;0.456
ENSMUST00000111384_90_90;0.566;0.616;0.719;0.519;0.558;0.562;0.058;1.0;0.519;1.0;1.0;0.506;0.453;0.458;0.177;0.531
ENSMUST00000111386_90_90;0.566;0.616;0.719;0.519;0.558;0.562;0.058;1.0;0.519;1.0;1.0;0.506;0.453;0.458;0.177;0.531
ENSMUST00000044858_90_90;0.73;0.641;0.545;0.413;0.719;0.738;0.127;0.506;0.413;0.506;0.506;1.0;0.621;0.645;0.29;0.877
ENSMUST00000116612_90_90;0.616;0.617;0.561;0.567;0.623;0.61;0.0;0.453;0.567;0.453;0.453;0.621;1.0;0.955;0.495;0.709
ENSMUST00000173354_90_90;0.641;0.621;0.567;0.578;0.61;0.635;0.0;0.458;0.578;0.458;0.458;0.645;0.955;1.0;0.47;0.694
ENSMUST00000173554_90_90;0.299;0.318;0.271;0.202;0.304;0.296;0.0;0.177;0.202;0.177;0.177;0.29;0.495;0.47;1.0;0.331
ENSMUST00000174299_90_90;0.635;0.704;0.596;0.456;0.641;0.631;0.032;0.531;0.456;0.531;0.531;0.877;0.709;0.694;0.331;1.0
