;ENSCAFT00000002127_90_90;ENSCAFT00000010587_90_90;ENST00000360332_90_90;ENST00000374174_90_90;ENST00000374176_90_90;ENST00000374179_90_90;ENST00000374182_90_90;ENST00000374189_90_90;ENST00000395611_90_90;ENST00000426557_90_90;ENST00000429041_90_90;ENST00000432379_90_90;ENST00000229794_90_90;ENST00000229795_90_90;ENST00000310795_90_90;ENST00000468133_90_90;ENST00000472333_90_90;ENST00000474429_90_90;ENST00000491957_90_90;ENST00000622903_90_90;ENSMUST00000022504_90_90;ENSMUST00000111942_90_90;ENSMUST00000111943_90_90;ENSMUST00000111944_90_90;ENSMUST00000111945_90_90;ENSMUST00000004990_90_90;ENSMUST00000062694_90_90;ENSMUST00000114752_90_90;ENSMUST00000114754_90_90;ENSMUST00000114758_90_90;ENSMUST00000124886_90_90
ENSCAFT00000002127_90_90;1.0;0.708;0.567;0.567;0.7;0.7;0.642;0.642;0.7;0.394;0.267;0.395;0.995;0.921;0.852;0.783;0.369;0.244;0.457;0.457;0.705;0.567;0.705;0.647;0.647;0.92;0.994;0.783;0.783;0.703;0.562
ENSCAFT00000010587_90_90;0.708;1.0;0.802;0.535;0.883;0.99;0.938;0.836;0.883;0.37;0.252;0.372;0.522;0.447;0.583;0.365;0.347;0.233;0.432;0.432;0.887;0.801;0.994;0.838;0.94;0.566;0.566;0.396;0.396;0.749;0.588
ENST00000360332_90_90;0.567;0.802;1.0;0.64;0.715;0.802;0.802;0.715;0.715;0.461;0.313;0.463;0.441;0.446;0.494;0.274;0.405;0.291;0.54;0.54;0.713;0.998;0.801;0.713;0.801;0.495;0.475;0.296;0.296;0.64;0.746
ENST00000374174_90_90;0.567;0.535;0.64;1.0;0.467;0.518;0.518;0.467;0.467;0.651;0.441;0.654;0.563;0.571;0.653;0.35;0.596;0.433;0.803;0.803;0.48;0.665;0.533;0.48;0.533;0.561;0.561;0.35;0.35;0.775;0.984
ENST00000374176_90_90;0.7;0.883;0.715;0.467;1.0;0.892;0.792;0.894;1.0;0.333;0.226;0.334;0.473;0.41;0.522;0.328;0.309;0.211;0.391;0.391;0.994;0.717;0.886;0.889;0.787;0.567;0.561;0.39;0.39;0.742;0.597
ENST00000374179_90_90;0.7;0.99;0.802;0.518;0.892;1.0;0.882;0.792;0.892;0.37;0.251;0.372;0.516;0.445;0.574;0.358;0.344;0.235;0.436;0.436;0.886;0.805;0.993;0.787;0.877;0.564;0.558;0.389;0.389;0.738;0.594
ENST00000374182_90_90;0.642;0.938;0.802;0.518;0.792;0.882;1.0;0.892;0.792;0.37;0.251;0.372;0.473;0.404;0.527;0.315;0.352;0.248;0.461;0.461;0.787;0.804;0.877;0.887;0.994;0.518;0.512;0.342;0.342;0.678;0.633
ENST00000374189_90_90;0.642;0.836;0.715;0.467;0.894;0.792;0.892;1.0;0.894;0.333;0.226;0.334;0.434;0.372;0.479;0.289;0.314;0.221;0.411;0.411;0.888;0.716;0.787;0.995;0.887;0.52;0.514;0.344;0.344;0.681;0.636
ENST00000395611_90_90;0.7;0.883;0.715;0.467;1.0;0.892;0.792;0.894;1.0;0.333;0.226;0.334;0.473;0.41;0.522;0.328;0.309;0.211;0.391;0.391;0.994;0.717;0.886;0.889;0.787;0.567;0.561;0.39;0.39;0.742;0.597
ENST00000426557_90_90;0.394;0.37;0.461;0.651;0.333;0.37;0.37;0.333;0.333;1.0;0.319;0.995;0.391;0.396;0.453;0.177;0.302;0.622;0.839;0.839;0.332;0.459;0.369;0.332;0.369;0.389;0.389;0.177;0.177;0.537;0.681
ENST00000429041_90_90;0.267;0.252;0.313;0.441;0.226;0.251;0.251;0.226;0.226;0.319;1.0;0.323;0.267;0.271;0.31;0.341;0.719;0.12;0.462;0.462;0.226;0.314;0.252;0.226;0.252;0.267;0.267;0.341;0.341;0.37;0.47
ENST00000432379_90_90;0.395;0.372;0.463;0.654;0.334;0.372;0.372;0.334;0.334;0.995;0.323;1.0;0.393;0.398;0.455;0.179;0.305;0.619;0.843;0.843;0.333;0.462;0.37;0.333;0.37;0.391;0.391;0.179;0.179;0.539;0.685
ENST00000229794_90_90;0.995;0.522;0.441;0.563;0.473;0.516;0.473;0.434;0.473;0.391;0.267;0.393;1.0;0.862;0.853;0.786;0.369;0.244;0.448;0.448;0.477;0.441;0.52;0.438;0.477;0.86;0.998;0.786;0.786;0.696;0.563
ENST00000229795_90_90;0.921;0.447;0.446;0.571;0.41;0.445;0.404;0.372;0.41;0.396;0.271;0.398;0.862;1.0;0.725;0.663;0.369;0.244;0.448;0.448;0.409;0.446;0.444;0.371;0.403;0.899;0.899;0.693;0.693;0.606;0.59
ENST00000310795_90_90;0.852;0.583;0.494;0.653;0.522;0.574;0.527;0.479;0.522;0.453;0.31;0.455;0.853;0.725;1.0;0.639;0.432;0.285;0.524;0.524;0.526;0.494;0.579;0.483;0.531;0.723;0.851;0.639;0.639;0.815;0.66
ENST00000468133_90_90;0.783;0.365;0.274;0.35;0.328;0.358;0.315;0.289;0.328;0.177;0.341;0.179;0.786;0.663;0.639;1.0;0.469;0.071;0.239;0.239;0.332;0.274;0.362;0.292;0.319;0.664;0.788;1.0;1.0;0.487;0.352
ENST00000472333_90_90;0.369;0.347;0.405;0.596;0.309;0.344;0.352;0.314;0.309;0.302;0.719;0.305;0.369;0.369;0.432;0.469;1.0;0.125;0.404;0.404;0.307;0.405;0.342;0.313;0.351;0.369;0.369;0.469;0.469;0.516;0.604
ENST00000474429_90_90;0.244;0.233;0.291;0.433;0.211;0.235;0.248;0.221;0.211;0.622;0.12;0.619;0.244;0.244;0.285;0.071;0.125;1.0;0.505;0.505;0.21;0.291;0.234;0.22;0.247;0.243;0.243;0.071;0.071;0.339;0.43
ENST00000491957_90_90;0.457;0.432;0.54;0.803;0.391;0.436;0.461;0.411;0.391;0.839;0.462;0.843;0.448;0.448;0.524;0.239;0.404;0.505;1.0;1.0;0.389;0.54;0.434;0.409;0.459;0.456;0.456;0.244;0.244;0.637;0.808
ENST00000622903_90_90;0.457;0.432;0.54;0.803;0.391;0.436;0.461;0.411;0.391;0.839;0.462;0.843;0.448;0.448;0.524;0.239;0.404;0.505;1.0;1.0;0.389;0.54;0.434;0.409;0.459;0.456;0.456;0.244;0.244;0.637;0.808
