;ENSCAFT00000018602_90_90;ENST00000248933_90_90;ENST00000343706_90_90;ENST00000360929_90_90;ENST00000402979_90_90;ENST00000403121_90_90;ENST00000404234_90_90;ENST00000529632_90_90;ENST00000629590_90_90;ENSMUST00000075387_90_90;ENSMUST00000079491_90_90;ENSMUST00000197425_90_90;ENSMUST00000200575_90_90;ENSMUST00000212480_90_90;ENSMUST00000212758_90_90
ENSCAFT00000018602_90_90;1.0;1.0;0.929;0.929;0.286;0.214;0.964;0.893;0.964;0.905;0.952;0.857;0.238;1.0;0.857
ENST00000248933_90_90;1.0;1.0;0.935;0.935;0.258;0.194;0.968;0.903;0.968;0.895;0.947;0.842;0.263;1.0;0.842
ENST00000343706_90_90;0.929;0.935;1.0;0.933;0.194;0.207;0.903;0.9;0.967;0.789;0.842;0.833;0.158;0.895;0.941
ENST00000360929_90_90;0.929;0.935;0.933;1.0;0.194;0.167;0.903;0.9;0.967;0.789;0.842;0.737;0.222;0.895;0.833
ENST00000402979_90_90;0.286;0.258;0.194;0.194;1.0;0.75;0.267;0.2;0.226;0.333;0.389;0.278;0.714;0.368;0.278
ENST00000403121_90_90;0.214;0.194;0.207;0.167;0.75;1.0;0.2;0.172;0.2;0.222;0.278;0.235;0.429;0.263;0.312
ENST00000404234_90_90;0.964;0.968;0.903;0.903;0.267;0.2;1.0;0.933;0.935;0.944;1.0;0.889;0.278;0.947;0.889
ENST00000529632_90_90;0.893;0.903;0.9;0.9;0.2;0.172;0.933;1.0;0.933;0.941;0.889;0.882;0.167;0.842;0.882
ENST00000629590_90_90;0.964;0.968;0.967;0.967;0.226;0.2;0.935;0.933;1.0;0.842;0.895;0.789;0.211;0.947;0.889
ENSMUST00000075387_90_90;0.905;0.895;0.789;0.789;0.333;0.222;0.944;0.941;0.842;1.0;0.957;0.955;0.174;0.917;0.87
ENSMUST00000079491_90_90;0.952;0.947;0.842;0.842;0.389;0.278;1.0;0.889;0.895;0.957;1.0;0.913;0.217;0.958;0.913
ENSMUST00000197425_90_90;0.857;0.842;0.833;0.737;0.278;0.235;0.889;0.882;0.789;0.955;0.913;1.0;0.13;0.875;0.909
ENSMUST00000200575_90_90;0.238;0.263;0.158;0.222;0.714;0.429;0.278;0.167;0.211;0.174;0.217;0.13;1.0;0.208;0.13
ENSMUST00000212480_90_90;1.0;1.0;0.895;0.895;0.368;0.263;0.947;0.842;0.947;0.917;0.958;0.875;0.208;1.0;0.875
ENSMUST00000212758_90_90;0.857;0.842;0.941;0.833;0.278;0.312;0.889;0.882;0.889;0.87;0.913;0.909;0.13;0.875;1.0
