id_transcript;block_sequence
ENSCAFT00000020369_90_90;0.1.3.5.7.8.10.11.12.13.14.15.16.17.19
ENST00000281171_90_90;0.1.3.5.7.9.10.11.12.13.14.15.16.17.19
ENST00000348962_90_90;0.1.3.5.7.9.10.11.12.13.14.16.17.19
ENST00000442921_90_90;0.12.13.14.15.16.17.19
ENST00000445537_90_90;0.12.13.14.15.16.17.19
ENST00000535311_90_90;11.13
ENST00000535322_90_90;17.18
ENST00000542557_90_90;0.12.13.14.16.17.19
ENST00000543886_90_90;0.1.3.5.6
ENST00000544244_90_90;0.12.13.14.16.17.19
ENSMUST00000077115_90_90;0.1.2.3.4.5.7.9.10.11.12.13.14.15.16.17.19
ENSMUST00000167002_90_90;0.12.13.14.15.16.17.19
ENSMUST00000167679_90_90;0.1.2.3.4.5.7.9.10.11.12.13.14.16.17.19
ENSMUST00000203914_90_90;0.12.13.14.16.17.19
