;ENSCAFT00000001418_90_90;ENSCAFT00000021179_90_90;ENST00000359842_90_90;ENST00000619224_90_90;ENST00000374680_90_90;ENST00000374685_90_90;ENST00000483281_90_90;ENSMUST00000015987_90_90;ENSMUST00000111380_90_90;ENSMUST00000111384_90_90;ENSMUST00000111386_90_90;ENSMUST00000044858_90_90;ENSMUST00000116612_90_90;ENSMUST00000173354_90_90;ENSMUST00000173554_90_90;ENSMUST00000174299_90_90
ENSCAFT00000001418_90_90;1.0;0.849;0.847;0.655;0.993;1.0;0.146;0.886;0.684;0.886;0.886;0.998;0.782;0.789;0.287;0.873
ENSCAFT00000021179_90_90;0.849;1.0;1.0;0.734;0.848;0.849;0.002;1.0;0.734;1.0;1.0;0.826;0.886;0.886;0.319;0.935
ENST00000359842_90_90;0.847;1.0;1.0;0.734;0.847;0.847;0.002;1.0;0.734;1.0;1.0;0.824;0.886;0.886;0.319;0.935
ENST00000619224_90_90;0.655;0.734;0.734;1.0;0.654;0.655;0.0;0.734;1.0;0.734;0.734;0.665;0.851;0.852;0.213;0.757
ENST00000374680_90_90;0.993;0.848;0.847;0.654;1.0;0.993;0.148;0.885;0.684;0.885;0.885;0.99;0.788;0.782;0.289;0.879
ENST00000374685_90_90;1.0;0.849;0.847;0.655;0.993;1.0;0.147;0.886;0.684;0.886;0.886;0.998;0.782;0.789;0.287;0.873
ENST00000483281_90_90;0.146;0.002;0.002;0.0;0.148;0.147;1.0;0.002;0.0;0.002;0.002;0.145;0.0;0.0;0.0;0.028
ENSMUST00000015987_90_90;0.886;1.0;1.0;0.734;0.885;0.886;0.002;1.0;0.734;1.0;1.0;0.861;0.886;0.886;0.319;0.935
ENSMUST00000111380_90_90;0.684;0.734;0.734;1.0;0.684;0.684;0.0;0.734;1.0;0.734;0.734;0.695;0.851;0.852;0.213;0.757
ENSMUST00000111384_90_90;0.886;1.0;1.0;0.734;0.885;0.886;0.002;1.0;0.734;1.0;1.0;0.861;0.886;0.886;0.319;0.935
ENSMUST00000111386_90_90;0.886;1.0;1.0;0.734;0.885;0.886;0.002;1.0;0.734;1.0;1.0;0.861;0.886;0.886;0.319;0.935
ENSMUST00000044858_90_90;0.998;0.826;0.824;0.665;0.99;0.998;0.145;0.861;0.695;0.861;0.861;1.0;0.782;0.79;0.287;0.875
ENSMUST00000116612_90_90;0.782;0.886;0.886;0.851;0.788;0.782;0.0;0.886;0.851;0.886;0.886;0.782;1.0;0.99;0.366;0.895
ENSMUST00000173354_90_90;0.789;0.886;0.886;0.852;0.782;0.789;0.0;0.886;0.852;0.886;0.886;0.79;0.99;1.0;0.363;0.887
ENSMUST00000173554_90_90;0.287;0.319;0.319;0.213;0.289;0.287;0.0;0.319;0.213;0.319;0.319;0.287;0.366;0.363;1.0;0.328
ENSMUST00000174299_90_90;0.873;0.935;0.935;0.757;0.879;0.873;0.028;0.935;0.757;0.935;0.935;0.875;0.895;0.887;0.328;1.0
