;ENSCAFT00000015927_90_90;ENSCAFT00000024036_90_90;ENST00000304523_90_90;ENST00000441778_90_90;ENST00000502640_90_90;ENST00000506732_90_90;ENST00000507464_90_90;ENST00000508918_90_90;ENST00000512345_90_90;ENST00000515064_90_90;ENST00000361198_90_90;ENST00000425280_90_90;ENSMUST00000026252_90_90;ENSMUST00000056931_90_90;ENSMUST00000137771_90_90;ENSMUST00000152946_90_90;ENSMUST00000156585_90_90;ENSMUST00000185355_90_90;ENSMUST00000070748_90_90;ENSMUST00000199256_90_90;ENSMUST00000199261_90_90;ENSMUST00000199534_90_90
ENSCAFT00000015927_90_90;1.0;0.619;0.629;0.483;0.514;0.237;0.449;0.163;0.194;0.64;0.772;0.834;0.772;0.772;0.577;0.79;0.834;0.834;0.657;0.515;0.67;0.507
ENSCAFT00000024036_90_90;0.619;1.0;0.898;0.675;0.736;0.303;0.616;0.28;0.324;0.87;0.793;0.715;0.793;0.793;0.582;0.768;0.715;0.715;0.946;0.687;0.917;0.712
ENST00000304523_90_90;0.629;0.898;1.0;0.756;0.832;0.326;0.631;0.297;0.339;0.971;0.801;0.724;0.801;0.801;0.592;0.777;0.724;0.724;0.949;0.695;0.921;0.718
ENST00000441778_90_90;0.483;0.675;0.756;1.0;0.82;0.339;0.442;0.282;0.323;0.732;0.605;0.552;0.605;0.605;0.714;0.584;0.552;0.552;0.718;0.931;0.695;0.956
ENST00000502640_90_90;0.514;0.736;0.832;0.82;1.0;0.368;0.48;0.314;0.359;0.804;0.653;0.591;0.653;0.653;0.654;0.63;0.591;0.591;0.786;0.758;0.76;0.781
ENST00000506732_90_90;0.237;0.303;0.326;0.339;0.368;1.0;0.249;0.214;0.293;0.333;0.293;0.265;0.293;0.293;0.315;0.298;0.265;0.265;0.294;0.317;0.3;0.312
ENST00000507464_90_90;0.449;0.616;0.631;0.442;0.48;0.249;1.0;0.0;0.042;0.602;0.589;0.529;0.589;0.589;0.403;0.561;0.529;0.529;0.631;0.417;0.602;0.442
ENST00000508918_90_90;0.163;0.28;0.297;0.282;0.314;0.214;0.0;1.0;0.648;0.308;0.194;0.175;0.194;0.194;0.185;0.2;0.175;0.175;0.263;0.26;0.272;0.254
ENST00000512345_90_90;0.194;0.324;0.339;0.323;0.359;0.293;0.042;0.648;1.0;0.351;0.232;0.209;0.232;0.232;0.222;0.239;0.209;0.209;0.303;0.301;0.314;0.293
ENST00000515064_90_90;0.64;0.87;0.971;0.732;0.804;0.333;0.602;0.308;0.351;1.0;0.777;0.702;0.777;0.777;0.572;0.793;0.702;0.702;0.921;0.712;0.947;0.695
ENST00000361198_90_90;0.772;0.793;0.801;0.605;0.653;0.293;0.589;0.194;0.232;0.777;1.0;0.888;1.0;1.0;0.724;0.971;0.888;0.888;0.84;0.613;0.815;0.635
ENST00000425280_90_90;0.834;0.715;0.724;0.552;0.591;0.265;0.529;0.175;0.209;0.702;0.888;1.0;0.888;0.888;0.657;0.863;1.0;1.0;0.756;0.558;0.733;0.578
ENSMUST00000026252_90_90;0.772;0.793;0.801;0.605;0.653;0.293;0.589;0.194;0.232;0.777;1.0;0.888;1.0;1.0;0.724;0.971;0.888;0.888;0.84;0.613;0.815;0.635
ENSMUST00000056931_90_90;0.772;0.793;0.801;0.605;0.653;0.293;0.589;0.194;0.232;0.777;1.0;0.888;1.0;1.0;0.724;0.971;0.888;0.888;0.84;0.613;0.815;0.635
ENSMUST00000137771_90_90;0.577;0.582;0.592;0.714;0.654;0.315;0.403;0.185;0.222;0.572;0.724;0.657;0.724;0.724;1.0;0.703;0.657;0.657;0.617;0.722;0.597;0.742
ENSMUST00000152946_90_90;0.79;0.768;0.777;0.584;0.63;0.298;0.561;0.2;0.239;0.793;0.971;0.863;0.971;0.971;0.703;1.0;0.863;0.863;0.815;0.626;0.833;0.613
ENSMUST00000156585_90_90;0.834;0.715;0.724;0.552;0.591;0.265;0.529;0.175;0.209;0.702;0.888;1.0;0.888;0.888;0.657;0.863;1.0;1.0;0.756;0.558;0.733;0.578
ENSMUST00000185355_90_90;0.834;0.715;0.724;0.552;0.591;0.265;0.529;0.175;0.209;0.702;0.888;1.0;0.888;0.888;0.657;0.863;1.0;1.0;0.756;0.558;0.733;0.578
ENSMUST00000070748_90_90;0.657;0.946;0.949;0.718;0.786;0.294;0.631;0.263;0.303;0.921;0.84;0.756;0.84;0.84;0.617;0.815;0.756;0.756;1.0;0.732;0.971;0.756
ENSMUST00000199256_90_90;0.515;0.687;0.695;0.931;0.758;0.317;0.417;0.26;0.301;0.712;0.613;0.558;0.613;0.613;0.722;0.626;0.558;0.558;0.732;1.0;0.75;0.974
ENSMUST00000199261_90_90;0.67;0.917;0.921;0.695;0.76;0.3;0.602;0.272;0.314;0.947;0.815;0.733;0.815;0.815;0.597;0.833;0.733;0.733;0.971;0.75;1.0;0.732
ENSMUST00000199534_90_90;0.507;0.712;0.718;0.956;0.781;0.312;0.442;0.254;0.293;0.695;0.635;0.578;0.635;0.635;0.742;0.613;0.578;0.578;0.756;0.974;0.732;1.0
