;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript48_ENSMUGG00000013649;transcript8_ENSRNOG00000031503;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript42_ENSMUSG00000054036;transcript54_ENSMUSG00000054036;transcript25_ENSPEMG00000024651;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript7_ENSMUGG00000013592;transcript47_ENSMUGG00000013649;transcript7_ENSMUGG00000013649;transcript44_ENSMUGG00000013649
transcript47_MGP-SPRETEiJ-G0021131;1.0;1.0;0.355;0.299;0.076;0.07;0.062;0.367;0.326;0.326;0.269;0.195;0.054;0.067;0.072;0.073;1.0;0.064;0.06
transcript47_ENSMUSG00000054036;1.0;1.0;0.355;0.299;0.076;0.07;0.062;0.367;0.326;0.326;0.269;0.195;0.054;0.067;0.072;0.073;1.0;0.064;0.06
transcript55_ENSMUSG00000054036;0.355;0.355;1.0;0.683;0.271;0.253;0.218;0.501;0.578;0.578;0.796;0.722;0.197;0.242;0.259;0.263;0.355;0.224;0.21
transcript42_ENSRNOG00000031503;0.299;0.299;0.683;1.0;0.233;0.217;0.193;0.76;0.651;0.651;0.805;0.73;0.172;0.208;0.222;0.226;0.299;0.198;0.185
transcript54_ENSMUGG00000013592;0.076;0.076;0.271;0.233;1.0;0.835;0.701;0.181;0.235;0.235;0.307;0.288;0.717;0.883;0.814;0.799;0.076;0.695;0.726
transcript53_ENSMUGG00000013592;0.07;0.07;0.253;0.217;0.835;1.0;0.761;0.168;0.219;0.219;0.287;0.269;0.774;0.952;0.883;0.868;0.07;0.756;0.785
transcript48_ENSMUGG00000013649;0.062;0.062;0.218;0.193;0.701;0.761;1.0;0.143;0.192;0.192;0.258;0.241;0.884;0.803;0.743;0.731;0.062;0.842;0.961
transcript8_ENSRNOG00000031503;0.367;0.367;0.501;0.76;0.181;0.168;0.143;1.0;0.794;0.794;0.627;0.55;0.127;0.161;0.172;0.174;0.367;0.146;0.138
transcript8_ENSMSIG00000000513;0.326;0.326;0.578;0.651;0.235;0.219;0.192;0.794;1.0;1.0;0.773;0.697;0.173;0.209;0.224;0.228;0.326;0.197;0.184
transcript8_ENSMUSG00000054036;0.326;0.326;0.578;0.651;0.235;0.219;0.192;0.794;1.0;1.0;0.773;0.697;0.173;0.209;0.224;0.228;0.326;0.197;0.184
transcript42_ENSMUSG00000054036;0.269;0.269;0.796;0.805;0.307;0.287;0.258;0.627;0.773;0.773;1.0;0.924;0.233;0.275;0.293;0.299;0.269;0.266;0.248
transcript54_ENSMUSG00000054036;0.195;0.195;0.722;0.73;0.288;0.269;0.241;0.55;0.697;0.697;0.924;1.0;0.219;0.258;0.274;0.279;0.195;0.248;0.233
transcript25_ENSPEMG00000024651;0.054;0.054;0.197;0.172;0.717;0.774;0.884;0.127;0.173;0.173;0.233;0.219;1.0;0.814;0.757;0.746;0.054;0.867;0.92
transcript28_ENSMUGG00000013592;0.067;0.067;0.242;0.208;0.883;0.952;0.803;0.161;0.209;0.209;0.275;0.258;0.814;1.0;0.931;0.917;0.067;0.799;0.829
transcript52_ENSMUGG00000013592;0.072;0.072;0.259;0.222;0.814;0.883;0.743;0.172;0.224;0.224;0.293;0.274;0.757;0.931;1.0;0.984;0.072;0.853;0.768
transcript7_ENSMUGG00000013592;0.073;0.073;0.263;0.226;0.799;0.868;0.731;0.174;0.228;0.228;0.299;0.279;0.746;0.917;0.984;1.0;0.073;0.865;0.756
transcript47_ENSMUGG00000013649;1.0;1.0;0.355;0.299;0.076;0.07;0.062;0.367;0.326;0.326;0.269;0.195;0.054;0.067;0.072;0.073;1.0;0.064;0.06
transcript7_ENSMUGG00000013649;0.064;0.064;0.224;0.198;0.695;0.756;0.842;0.146;0.197;0.197;0.266;0.248;0.867;0.799;0.853;0.865;0.064;1.0;0.879
transcript44_ENSMUGG00000013649;0.06;0.06;0.21;0.185;0.726;0.785;0.961;0.138;0.184;0.184;0.248;0.233;0.92;0.829;0.768;0.756;0.06;0.879;1.0
