;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.978;0.781;0.925;0.124;0.996;0.97;0.953;0.972;0.299;0.994;0.97;0.602;0.225;0.978;0.959
ENSCAFT00000027149_90_90;0.978;1.0;0.7;0.772;0.115;0.821;0.795;0.974;1.0;0.237;0.823;0.796;0.477;0.148;1.0;0.974
ENST00000256062_90_90;0.781;0.7;1.0;0.835;0.149;0.777;0.752;0.713;0.7;0.209;0.773;0.748;0.589;0.266;0.7;0.713
ENST00000539277_90_90;0.925;0.772;0.835;1.0;0.124;0.931;0.905;0.752;0.769;0.244;0.919;0.895;0.522;0.242;0.772;0.754
ENST00000550354_90_90;0.124;0.115;0.149;0.124;1.0;0.116;0.091;0.118;0.115;0.0;0.125;0.1;0.208;0.0;0.115;0.118
ENST00000551659_90_90;0.996;0.821;0.777;0.931;0.116;1.0;0.976;0.8;0.818;0.302;0.99;0.966;0.593;0.224;0.821;0.803
ENST00000552618_90_90;0.97;0.795;0.752;0.905;0.091;0.976;1.0;0.774;0.792;0.312;0.966;0.99;0.568;0.23;0.795;0.777
ENST00000373701_90_90;0.953;0.974;0.713;0.752;0.118;0.8;0.774;1.0;0.974;0.228;0.802;0.775;0.487;0.151;0.974;1.0
ENST00000373719_90_90;0.972;1.0;0.7;0.769;0.115;0.818;0.792;0.974;1.0;0.237;0.82;0.793;0.477;0.148;1.0;0.974
ENST00000444774_90_90;0.299;0.237;0.209;0.244;0.0;0.302;0.312;0.228;0.237;1.0;0.297;0.307;0.43;0.558;0.237;0.228
ENSMUST00000060095_90_90;0.994;0.823;0.773;0.919;0.125;0.99;0.966;0.802;0.82;0.297;1.0;0.976;0.58;0.225;0.823;0.805
ENSMUST00000100772_90_90;0.97;0.796;0.748;0.895;0.1;0.966;0.99;0.775;0.793;0.307;0.976;1.0;0.555;0.23;0.796;0.778
ENSMUST00000140797_90_90;0.602;0.477;0.589;0.522;0.208;0.593;0.568;0.487;0.477;0.43;0.58;0.555;1.0;0.373;0.477;0.487
ENSMUST00000203991_90_90;0.225;0.148;0.266;0.242;0.0;0.224;0.23;0.151;0.148;0.558;0.225;0.23;0.373;1.0;0.148;0.151
ENSMUST00000044475_90_90;0.978;1.0;0.7;0.772;0.115;0.821;0.795;0.974;1.0;0.237;0.823;0.796;0.477;0.148;1.0;0.974
ENSMUST00000119299_90_90;0.959;0.974;0.713;0.754;0.118;0.803;0.777;1.0;0.974;0.228;0.805;0.778;0.487;0.151;0.974;1.0
