;ENSCAFT00000014940_90_90;ENSCAFT00000016916_90_90;ENSCAFT00000023521_90_90;ENST00000342558_90_90;ENST00000360663_90_90;ENST00000394828_90_90;ENST00000394829_90_90;ENST00000430762_90_90;ENST00000323055_90_90;ENST00000394853_90_90;ENST00000394854_90_90;ENST00000492351_90_90;ENST00000507176_90_90;ENST00000512215_90_90;ENST00000525819_90_90;ENST00000529324_90_90;ENSMUST00000022355_90_90;ENSMUST00000159027_90_90;ENSMUST00000161445_90_90;ENSMUST00000161989_90_90;ENSMUST00000056758_90_90;ENSMUST00000070198_90_90
ENSCAFT00000014940_90_90;1.0;0.923;0.889;0.684;0.789;0.944;0.895;0.474;0.913;1.0;0.92;0.043;0.72;0.76;0.174;0.217;1.0;0.947;0.842;0.842;0.917;1.0
ENSCAFT00000016916_90_90;0.923;1.0;1.0;0.7;0.8;0.85;0.9;0.5;0.84;0.92;1.0;0.04;0.8;0.84;0.16;0.2;0.9;0.95;0.85;0.85;1.0;0.917
ENSCAFT00000023521_90_90;0.889;1.0;1.0;0.8;0.9;0.9;0.95;0.45;0.765;0.882;1.0;0.059;0.765;0.765;0.235;0.294;0.9;0.95;0.9;0.85;1.0;0.889
ENST00000342558_90_90;0.684;0.7;0.8;1.0;0.727;0.727;0.667;0.231;0.556;0.667;0.684;0.077;0.474;0.474;0.308;0.385;0.682;0.652;0.714;0.85;0.7;0.684
ENST00000360663_90_90;0.789;0.8;0.9;0.727;1.0;0.818;0.909;0.417;0.667;0.778;0.789;0.067;0.579;0.579;0.267;0.333;0.81;0.857;0.947;0.652;0.8;0.789
ENST00000394828_90_90;0.944;0.85;0.9;0.727;0.818;1.0;0.909;0.417;0.824;0.941;0.842;0.062;0.632;0.632;0.25;0.312;0.95;0.905;0.81;0.773;0.85;0.944
ENST00000394829_90_90;0.895;0.9;0.95;0.667;0.909;0.909;1.0;0.5;0.778;0.889;0.895;0.059;0.684;0.684;0.235;0.294;0.905;0.952;0.857;0.739;0.9;0.895
ENST00000430762_90_90;0.474;0.5;0.45;0.231;0.417;0.417;0.5;1.0;0.471;0.5;0.526;0.0;0.667;0.667;0.0;0.0;0.476;0.524;0.429;0.348;0.5;0.474
ENST00000323055_90_90;0.913;0.84;0.765;0.556;0.667;0.824;0.778;0.471;1.0;0.917;0.846;0.087;0.615;0.692;0.227;0.273;0.882;0.833;0.722;0.722;0.826;0.905
ENST00000394853_90_90;1.0;0.92;0.882;0.667;0.778;0.941;0.889;0.5;0.917;1.0;0.923;0.08;0.692;0.769;0.208;0.25;1.0;0.944;0.833;0.833;0.913;1.0
ENST00000394854_90_90;0.92;1.0;1.0;0.684;0.789;0.842;0.895;0.526;0.846;0.923;1.0;0.074;0.769;0.846;0.192;0.231;0.895;0.947;0.842;0.842;1.0;0.913
ENST00000492351_90_90;0.043;0.04;0.059;0.077;0.067;0.062;0.059;0.0;0.087;0.08;0.074;1.0;0.0;0.087;0.333;0.286;0.059;0.056;0.062;0.062;0.043;0.048
ENST00000507176_90_90;0.72;0.8;0.765;0.474;0.579;0.632;0.684;0.667;0.615;0.692;0.769;0.0;1.0;0.68;0.042;0.083;0.684;0.737;0.632;0.632;0.783;0.696
ENST00000512215_90_90;0.76;0.84;0.765;0.474;0.579;0.632;0.684;0.667;0.692;0.769;0.846;0.087;0.68;1.0;0.125;0.12;0.684;0.737;0.632;0.632;0.826;0.739
ENST00000525819_90_90;0.174;0.16;0.235;0.308;0.267;0.25;0.235;0.0;0.227;0.208;0.192;0.333;0.042;0.125;1.0;0.833;0.235;0.222;0.25;0.25;0.174;0.19
ENST00000529324_90_90;0.217;0.2;0.294;0.385;0.333;0.312;0.294;0.0;0.273;0.25;0.231;0.286;0.083;0.12;0.833;1.0;0.294;0.278;0.312;0.312;0.217;0.238
ENSMUST00000022355_90_90;1.0;0.9;0.9;0.682;0.81;0.95;0.905;0.476;0.882;1.0;0.895;0.059;0.684;0.684;0.235;0.294;1.0;0.909;0.818;0.818;0.9;1.0
ENSMUST00000159027_90_90;0.947;0.95;0.95;0.652;0.857;0.905;0.952;0.524;0.833;0.944;0.947;0.056;0.737;0.737;0.222;0.278;0.909;1.0;0.909;0.75;0.95;0.947
ENSMUST00000161445_90_90;0.842;0.85;0.9;0.714;0.947;0.81;0.857;0.429;0.722;0.833;0.842;0.062;0.632;0.632;0.25;0.312;0.818;0.909;1.0;0.667;0.85;0.842
ENSMUST00000161989_90_90;0.842;0.85;0.85;0.85;0.652;0.773;0.739;0.348;0.722;0.833;0.842;0.062;0.632;0.632;0.25;0.312;0.818;0.75;0.667;1.0;0.85;0.842
ENSMUST00000056758_90_90;0.917;1.0;1.0;0.7;0.8;0.85;0.9;0.5;0.826;0.913;1.0;0.043;0.783;0.826;0.174;0.217;0.9;0.95;0.85;0.85;1.0;0.92
ENSMUST00000070198_90_90;1.0;0.917;0.889;0.684;0.789;0.944;0.895;0.474;0.905;1.0;0.913;0.048;0.696;0.739;0.19;0.238;1.0;0.947;0.842;0.842;0.92;1.0
