;ENSCAFT00000019414_90_90;ENST00000329235_90_90;ENST00000380291_90_90;ENST00000450644_90_90;ENST00000452376_90_90;ENST00000545766_90_90;ENSMUST00000033734_90_90;ENSMUST00000069041_90_90;ENSMUST00000112294_90_90;ENSMUST00000140845_90_90
ENSCAFT00000019414_90_90;1.0;1.0;0.667;0.333;0.5;0.833;1.0;0.833;0.667;0.167
ENST00000329235_90_90;1.0;1.0;0.667;0.333;0.5;0.833;1.0;0.833;0.667;0.167
ENST00000380291_90_90;0.667;0.667;1.0;0.333;0.5;0.571;0.667;0.571;1.0;0.167
ENST00000450644_90_90;0.333;0.333;0.333;1.0;0.4;0.286;0.333;0.286;0.333;0.25
ENST00000452376_90_90;0.5;0.5;0.5;0.4;1.0;0.429;0.5;0.429;0.5;0.5
ENST00000545766_90_90;0.833;0.833;0.571;0.286;0.429;1.0;0.833;1.0;0.571;0.143
ENSMUST00000033734_90_90;1.0;1.0;0.667;0.333;0.5;0.833;1.0;0.833;0.667;0.167
ENSMUST00000069041_90_90;0.833;0.833;0.571;0.286;0.429;1.0;0.833;1.0;0.571;0.143
ENSMUST00000112294_90_90;0.667;0.667;1.0;0.333;0.5;0.571;0.667;0.571;1.0;0.167
ENSMUST00000140845_90_90;0.167;0.167;0.167;0.25;0.5;0.143;0.167;0.143;0.167;1.0
