;transcript2_ENSSTOG00000019743;transcript15_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript9_ENSNGAG00000018584;transcript2_ENSMLUG00000027828;transcript8_ENSPEMG00000024651;transcript18_ENSNGAG00000018584;transcript7_ENSNGAG00000018584;transcript19_ENSNGAG00000018584;transcript10_ENSNGAG00000018584;transcript17_ENSMUGG00000013649;transcript29_ENSMUGG00000013592;transcript17_ENSMUGG00000013592
transcript2_ENSSTOG00000019743;1.0;1.0;0.499;0.743;0.828;0.557;0.705;0.317;0.714;0.736;0.607;0.653;0.588
transcript15_ENSSTOG00000019743;1.0;1.0;0.499;0.743;0.828;0.557;0.705;0.317;0.714;0.736;0.607;0.653;0.588
transcript8_ENSNGAG00000018584;0.499;0.499;1.0;0.677;0.47;0.764;0.635;0.334;0.627;0.609;0.694;0.752;0.696
transcript9_ENSNGAG00000018584;0.743;0.743;0.677;1.0;0.667;0.542;0.882;0.378;0.893;0.923;0.508;0.554;0.508
transcript2_ENSMLUG00000027828;0.828;0.828;0.47;0.667;1.0;0.513;0.639;0.311;0.647;0.662;0.544;0.591;0.536
transcript8_ENSPEMG00000024651;0.557;0.557;0.764;0.542;0.513;1.0;0.516;0.282;0.51;0.497;0.76;0.822;0.748
transcript18_ENSNGAG00000018584;0.705;0.705;0.635;0.882;0.639;0.516;1.0;0.404;0.931;0.958;0.518;0.565;0.518
transcript7_ENSNGAG00000018584;0.317;0.317;0.334;0.378;0.311;0.282;0.404;1.0;0.444;0.43;0.34;0.315;0.341
transcript19_ENSNGAG00000018584;0.714;0.714;0.627;0.893;0.647;0.51;0.931;0.444;1.0;0.97;0.514;0.559;0.512
transcript10_ENSNGAG00000018584;0.736;0.736;0.609;0.923;0.662;0.497;0.958;0.43;0.97;1.0;0.5;0.546;0.499
transcript17_ENSMUGG00000013649;0.607;0.607;0.694;0.508;0.544;0.76;0.518;0.34;0.514;0.5;1.0;0.877;0.971
transcript29_ENSMUGG00000013592;0.653;0.653;0.752;0.554;0.591;0.822;0.565;0.315;0.559;0.546;0.877;1.0;0.901
transcript17_ENSMUGG00000013592;0.588;0.588;0.696;0.508;0.536;0.748;0.518;0.341;0.512;0.499;0.971;0.901;1.0
