;transcript14_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript22_ENSMLUG00000027828;transcript9_ENSMLUG00000027828;transcript7_ENSCCNG00000000226;transcript26_ENSCCNG00000000226;transcript24_ENSCCNG00000000226;transcript32_ENSCPOG00000024843;transcript10_ENSECAG00000007947;transcript17_ENSECAG00000007947;transcript12_ENSECAG00000007947;transcript18_ENSCCNG00000000226;transcript9_ENSCCNG00000000226;transcript7_ENSMPUG00000020072;transcript10_ENSMPUG00000020072;transcript17_ENSMPUG00000020072;transcript20_ENSMPUG00000020072;transcript23_ENSMPUG00000020072;transcript25_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript7_ENSCPOG00000024843;transcript17_ENSCPOG00000024843;transcript33_ENSCPOG00000024843;transcript18_ENSCPOG00000024843;transcript24_ENSCPOG00000024843;transcript9_ENSCPOG00000024843;transcript7_ENSSTOG00000019743;transcript26_ENSSTOG00000019743;transcript17_ENSSTOG00000019743;transcript9_ENSSTOG00000019743
transcript14_ENSMLUG00000027828;1.0;0.936;0.691;0.057;0.506;0.735;0.731;0.639;0.826;0.821;0.821;0.632;0.052;0.508;0.819;0.814;0.814;0.864;0.796;0.728;0.606;0.54;0.864;0.864;0.684;0.781;0.057;0.483;0.719;0.793;0.052
transcript13_ENSMLUG00000027828;0.936;1.0;0.754;0.054;0.48;0.784;0.78;0.691;0.872;0.877;0.877;0.681;0.049;0.481;0.862;0.866;0.866;0.82;0.848;0.782;0.658;0.512;0.914;0.914;0.735;0.832;0.054;0.46;0.764;0.837;0.049
transcript22_ENSMLUG00000027828;0.691;0.754;1.0;0.072;0.368;0.594;0.589;0.889;0.679;0.682;0.682;0.486;0.065;0.369;0.67;0.673;0.673;0.624;0.654;0.584;0.855;0.383;0.689;0.689;0.503;0.603;0.071;0.359;0.573;0.649;0.065
transcript9_ENSMLUG00000027828;0.057;0.054;0.072;1.0;0.09;0.053;0.055;0.064;0.052;0.053;0.053;0.063;0.826;0.094;0.051;0.051;0.051;0.055;0.052;0.058;0.066;0.093;0.05;0.05;0.064;0.055;0.913;0.094;0.055;0.051;0.864
transcript7_ENSCCNG00000000226;0.506;0.48;0.368;0.09;1.0;0.591;0.445;0.39;0.494;0.497;0.497;0.698;0.1;0.89;0.493;0.496;0.496;0.527;0.505;0.406;0.387;0.925;0.494;0.494;0.639;0.41;0.099;0.832;0.511;0.472;0.093
transcript26_ENSCCNG00000000226;0.735;0.784;0.594;0.053;0.591;1.0;0.817;0.652;0.806;0.801;0.801;0.698;0.059;0.539;0.818;0.813;0.813;0.759;0.797;0.726;0.624;0.564;0.836;0.836;0.651;0.753;0.059;0.509;0.834;0.773;0.055
transcript24_ENSCCNG00000000226;0.731;0.78;0.589;0.055;0.445;0.817;1.0;0.631;0.79;0.785;0.785;0.676;0.061;0.401;0.786;0.782;0.782;0.727;0.765;0.877;0.593;0.426;0.816;0.816;0.63;0.913;0.06;0.384;0.692;0.756;0.056
transcript32_ENSCPOG00000024843;0.639;0.691;0.889;0.064;0.39;0.652;0.631;1.0;0.733;0.73;0.73;0.52;0.064;0.392;0.731;0.729;0.729;0.671;0.71;0.62;0.918;0.412;0.775;0.775;0.548;0.669;0.07;0.378;0.625;0.699;0.061
transcript10_ENSECAG00000007947;0.826;0.872;0.679;0.052;0.494;0.806;0.79;0.733;1.0;0.995;0.995;0.692;0.051;0.496;0.883;0.878;0.878;0.822;0.86;0.791;0.692;0.523;0.921;0.921;0.733;0.837;0.056;0.469;0.771;0.829;0.05
transcript17_ENSECAG00000007947;0.821;0.877;0.682;0.053;0.497;0.801;0.785;0.73;0.995;1.0;1.0;0.688;0.051;0.499;0.878;0.882;0.882;0.826;0.864;0.795;0.695;0.526;0.916;0.916;0.729;0.832;0.056;0.471;0.766;0.824;0.05
