;ENSCAFT00000014740_90_90;ENST00000262493_90_90;ENST00000262494_90_90;ENST00000562316_90_90;ENST00000563661_90_90;ENST00000564727_90_90;ENST00000568375_90_90;ENST00000569295_90_90;ENST00000570235_90_90;ENST00000638705_90_90;ENST00000639268_90_90;ENST00000639341_90_90;ENST00000639770_90_90;ENST00000640469_90_90;ENST00000640893_90_90;ENSMUST00000034198_90_90;ENSMUST00000125716_90_90;ENSMUST00000127900_90_90;ENSMUST00000137202_90_90;ENSMUST00000138659_90_90;ENSMUST00000142466_90_90;ENSMUST00000149530_90_90
ENSCAFT00000014740_90_90;1.0;0.882;0.941;0.529;0.294;0.059;0.235;0.235;0.176;0.882;0.176;0.353;0.118;0.176;0.412;0.941;0.941;0.294;0.706;1.0;0.059;0.059
ENST00000262493_90_90;0.882;1.0;0.762;0.455;0.286;0.19;0.25;0.143;0.143;1.0;0.15;0.5;0.095;0.35;0.4;0.95;0.95;0.2;0.55;0.714;0.2;0.095
ENST00000262494_90_90;0.941;0.762;1.0;0.45;0.333;0.048;0.222;0.167;0.167;0.762;0.176;0.286;0.111;0.143;0.471;0.714;0.714;0.235;0.647;0.941;0.05;0.053
ENST00000562316_90_90;0.529;0.455;0.45;1.0;0.0;0.214;0.308;0.0;0.0;0.455;0.071;0.467;0.0;0.267;0.111;0.455;0.455;0.062;0.412;0.45;0.214;0.333
ENST00000563661_90_90;0.294;0.286;0.333;0.0;1.0;0.0;0.0;0.375;0.375;0.286;0.111;0.0;0.25;0.0;0.667;0.25;0.25;0.25;0.214;0.294;0.0;0.0
ENST00000564727_90_90;0.059;0.19;0.048;0.214;0.0;1.0;0.25;0.0;0.0;0.19;0.0;0.364;0.0;0.5;0.0;0.19;0.19;0.0;0.0;0.048;1.0;0.5
ENST00000568375_90_90;0.235;0.25;0.222;0.308;0.0;0.25;1.0;0.0;0.0;0.25;0.0;0.5;0.0;0.5;0.0;0.25;0.25;0.0;0.133;0.222;0.25;0.125
ENST00000569295_90_90;0.235;0.143;0.167;0.0;0.375;0.0;0.0;1.0;0.6;0.143;0.0;0.0;0.4;0.0;0.333;0.2;0.2;0.125;0.143;0.235;0.0;0.0
ENST00000570235_90_90;0.176;0.143;0.167;0.0;0.375;0.0;0.0;0.6;1.0;0.143;0.0;0.0;0.4;0.0;0.333;0.15;0.15;0.0;0.071;0.176;0.0;0.0
ENST00000638705_90_90;0.882;1.0;0.762;0.455;0.286;0.19;0.25;0.143;0.143;1.0;0.15;0.5;0.095;0.35;0.4;0.95;0.95;0.2;0.55;0.714;0.2;0.095
ENST00000639268_90_90;0.176;0.15;0.176;0.071;0.111;0.0;0.0;0.0;0.0;0.15;1.0;0.0;0.0;0.0;0.1;0.15;0.15;0.6;0.25;0.176;0.0;0.0
ENST00000639341_90_90;0.353;0.5;0.286;0.467;0.0;0.364;0.5;0.0;0.0;0.5;0.0;1.0;0.0;0.7;0.059;0.5;0.5;0.0;0.222;0.286;0.364;0.167
ENST00000639770_90_90;0.118;0.095;0.111;0.0;0.25;0.0;0.0;0.4;0.4;0.095;0.0;0.0;1.0;0.0;0.222;0.1;0.1;0.0;0.077;0.118;0.0;0.0
ENST00000640469_90_90;0.176;0.35;0.143;0.267;0.0;0.5;0.5;0.0;0.0;0.35;0.0;0.7;0.0;1.0;0.0;0.35;0.35;0.0;0.056;0.143;0.5;0.222
ENST00000640893_90_90;0.412;0.4;0.471;0.111;0.667;0.0;0.0;0.333;0.333;0.4;0.1;0.059;0.222;0.0;1.0;0.35;0.35;0.2;0.357;0.412;0.0;0.0
ENSMUST00000034198_90_90;0.941;0.95;0.714;0.455;0.25;0.19;0.25;0.2;0.15;0.95;0.15;0.5;0.1;0.35;0.35;1.0;1.0;0.25;0.6;0.762;0.19;0.091
ENSMUST00000125716_90_90;0.941;0.95;0.714;0.455;0.25;0.19;0.25;0.2;0.15;0.95;0.15;0.5;0.1;0.35;0.35;1.0;1.0;0.25;0.6;0.762;0.19;0.091
ENSMUST00000127900_90_90;0.294;0.2;0.235;0.062;0.25;0.0;0.0;0.125;0.0;0.2;0.6;0.0;0.0;0.0;0.2;0.25;0.25;1.0;0.417;0.294;0.0;0.0
ENSMUST00000137202_90_90;0.706;0.55;0.647;0.412;0.214;0.0;0.133;0.143;0.071;0.55;0.25;0.222;0.077;0.056;0.357;0.6;0.6;0.417;1.0;0.706;0.0;0.0
ENSMUST00000138659_90_90;1.0;0.714;0.941;0.45;0.294;0.048;0.222;0.235;0.176;0.714;0.176;0.286;0.118;0.143;0.412;0.762;0.762;0.294;0.706;1.0;0.048;0.05
ENSMUST00000142466_90_90;0.059;0.2;0.05;0.214;0.0;1.0;0.25;0.0;0.0;0.2;0.0;0.364;0.0;0.5;0.0;0.19;0.19;0.0;0.0;0.048;1.0;0.5
ENSMUST00000149530_90_90;0.059;0.095;0.053;0.333;0.0;0.5;0.125;0.0;0.0;0.095;0.0;0.167;0.0;0.222;0.0;0.091;0.091;0.0;0.0;0.05;0.5;1.0
