;ENSCAFT00000004039_90_90;ENST00000361346_90_90;ENST00000361776_90_90;ENST00000372571_90_90;ENST00000372572_90_90;ENST00000372573_90_90;ENST00000422278_90_90;ENST00000445886_90_90;ENST00000454417_90_90;ENST00000545068_90_90;ENSMUST00000044564_90_90;ENSMUST00000106310_90_90;ENSMUST00000137560_90_90;ENSMUST00000138845_90_90;ENSMUST00000160219_90_90;ENSMUST00000162267_90_90;ENSMUST00000176012_90_90
ENSCAFT00000004039_90_90;1.0;0.81;0.714;0.053;0.81;0.81;0.158;0.579;0.182;0.81;0.9;0.8;0.158;0.227;0.211;0.227;0.105
ENST00000361346_90_90;0.81;1.0;0.895;0.053;1.0;1.0;0.158;0.579;0.182;1.0;0.727;0.636;0.158;0.227;0.211;0.227;0.105
ENST00000361776_90_90;0.714;0.895;1.0;0.059;0.895;0.895;0.111;0.647;0.2;0.895;0.636;0.7;0.176;0.25;0.235;0.25;0.118
ENST00000372571_90_90;0.053;0.053;0.059;1.0;0.053;0.053;0.0;0.0;0.0;0.053;0.053;0.059;0.0;0.0;0.0;0.0;0.0
ENST00000372572_90_90;0.81;1.0;0.895;0.053;1.0;1.0;0.158;0.579;0.182;1.0;0.727;0.636;0.158;0.227;0.211;0.227;0.105
ENST00000372573_90_90;0.81;1.0;0.895;0.053;1.0;1.0;0.158;0.579;0.182;1.0;0.727;0.636;0.158;0.227;0.211;0.227;0.105
ENST00000422278_90_90;0.158;0.158;0.111;0.0;0.158;0.158;1.0;0.167;0.0;0.158;0.158;0.111;0.0;0.0;0.0;0.0;0.0
ENST00000445886_90_90;0.579;0.579;0.647;0.0;0.579;0.579;0.167;1.0;0.286;0.579;0.5;0.556;0.273;0.357;0.364;0.357;0.182
ENST00000454417_90_90;0.182;0.182;0.2;0.0;0.182;0.182;0.0;0.286;1.0;0.182;0.182;0.2;0.25;0.667;0.375;0.667;0.125
ENST00000545068_90_90;0.81;1.0;0.895;0.053;1.0;1.0;0.158;0.579;0.182;1.0;0.727;0.636;0.158;0.227;0.211;0.227;0.105
ENSMUST00000044564_90_90;0.9;0.727;0.636;0.053;0.727;0.727;0.158;0.5;0.182;0.727;1.0;0.895;0.158;0.227;0.211;0.227;0.105
ENSMUST00000106310_90_90;0.8;0.636;0.7;0.059;0.636;0.636;0.111;0.556;0.2;0.636;0.895;1.0;0.176;0.25;0.235;0.25;0.118
ENSMUST00000137560_90_90;0.158;0.158;0.176;0.0;0.158;0.158;0.0;0.273;0.25;0.158;0.158;0.176;1.0;0.375;0.75;0.375;0.667
ENSMUST00000138845_90_90;0.227;0.227;0.25;0.0;0.227;0.227;0.0;0.357;0.667;0.227;0.227;0.25;0.375;1.0;0.5;1.0;0.25
ENSMUST00000160219_90_90;0.211;0.211;0.235;0.0;0.211;0.211;0.0;0.364;0.375;0.211;0.211;0.235;0.75;0.5;1.0;0.5;0.5
ENSMUST00000162267_90_90;0.227;0.227;0.25;0.0;0.227;0.227;0.0;0.357;0.667;0.227;0.227;0.25;0.375;1.0;0.5;1.0;0.25
ENSMUST00000176012_90_90;0.105;0.105;0.118;0.0;0.105;0.105;0.0;0.182;0.125;0.105;0.105;0.118;0.667;0.25;0.5;0.25;1.0
