;transcript1_ENSMLUG00000027828;transcript1_ENSSTOG00000019743;transcript1_ENSCCNG00000000226;transcript10_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript28_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript29_ENSCPOG00000024843;transcript30_ENSSTOG00000019743;transcript30_ENSCCNG00000000226;transcript31_ENSSTOG00000019743;transcript35_ENSCPOG00000024843;transcript36_ENSCPOG00000024843;transcript37_ENSCPOG00000024843
transcript1_ENSMLUG00000027828;1.0;0.625;0.643;0.874;0.874;0.863;0.557;0.599;0.774;0.599;0.617;0.588;0.807;0.792;0.807
transcript1_ENSSTOG00000019743;0.625;1.0;0.637;0.56;0.56;0.558;0.87;0.946;0.764;0.946;0.607;0.932;0.8;0.793;0.8
transcript1_ENSCCNG00000000226;0.643;0.637;1.0;0.567;0.567;0.558;0.562;0.607;0.775;0.607;0.947;0.599;0.811;0.8;0.811
transcript10_ENSMLUG00000027828;0.874;0.56;0.567;1.0;1.0;0.988;0.623;0.586;0.744;0.586;0.594;0.574;0.705;0.69;0.705
transcript16_ENSMLUG00000027828;0.874;0.56;0.567;1.0;1.0;0.988;0.623;0.586;0.744;0.586;0.594;0.574;0.705;0.69;0.705
transcript28_ENSMLUG00000027828;0.863;0.558;0.558;0.988;0.988;1.0;0.621;0.584;0.735;0.584;0.585;0.58;0.696;0.696;0.696
transcript9_ENSSTOG00000019743;0.557;0.87;0.562;0.623;0.623;0.621;1.0;0.92;0.735;0.92;0.588;0.905;0.696;0.688;0.696
transcript29_ENSSTOG00000019743;0.599;0.946;0.607;0.586;0.586;0.584;0.92;1.0;0.799;1.0;0.635;0.986;0.757;0.749;0.757
transcript29_ENSCPOG00000024843;0.774;0.764;0.775;0.744;0.744;0.735;0.735;0.799;1.0;0.799;0.81;0.787;0.948;0.933;0.948
transcript30_ENSSTOG00000019743;0.599;0.946;0.607;0.586;0.586;0.584;0.92;1.0;0.799;1.0;0.635;0.986;0.757;0.749;0.757
transcript30_ENSCCNG00000000226;0.617;0.607;0.947;0.594;0.594;0.585;0.588;0.635;0.81;0.635;1.0;0.627;0.768;0.757;0.768
transcript31_ENSSTOG00000019743;0.588;0.932;0.599;0.574;0.574;0.58;0.905;0.986;0.787;0.986;0.627;1.0;0.746;0.758;0.746
transcript35_ENSCPOG00000024843;0.807;0.8;0.811;0.705;0.705;0.696;0.696;0.757;0.948;0.757;0.768;0.746;1.0;0.985;1.0
transcript36_ENSCPOG00000024843;0.792;0.793;0.8;0.69;0.69;0.696;0.688;0.749;0.933;0.749;0.757;0.758;0.985;1.0;0.985
transcript37_ENSCPOG00000024843;0.807;0.8;0.811;0.705;0.705;0.696;0.696;0.757;0.948;0.757;0.768;0.746;1.0;0.985;1.0
