;transcript2_ENSHGLG00100006079;transcript8_ENSHGLG00100006079;transcript6_ENSPCIG00000036398;transcript7_ENSPCIG00000036398;transcript7_ENSMUNG00000007775;transcript16_ENSMUNG00000007775;transcript23_ENSMUNG00000007775;transcript16_ENSMUNG00000002377;transcript10_ENSMUNG00000002391;transcript2_ENSXMAG00000026005;transcript7_ENSXMAG00000026005;transcript8_ENSXMAG00000026005;transcript9_ENSXMAG00000026005;transcript10_ENSXMAG00000026005
transcript2_ENSHGLG00100006079;1.0;0.555;0.756;0.029;0.029;0.238;0.238;0.238;0.983;1.0;0.029;0.555;1.0;0.983
transcript8_ENSHGLG00100006079;0.555;1.0;0.311;0.027;0.027;0.022;0.022;0.022;0.538;0.555;0.027;1.0;0.555;0.538
transcript6_ENSPCIG00000036398;0.756;0.311;1.0;0.018;0.018;0.285;0.285;0.285;0.77;0.756;0.018;0.311;0.756;0.77
transcript7_ENSPCIG00000036398;0.029;0.027;0.018;1.0;1.0;0.122;0.122;0.122;0.014;0.029;1.0;0.027;0.029;0.014
transcript7_ENSMUNG00000007775;0.029;0.027;0.018;1.0;1.0;0.122;0.122;0.122;0.014;0.029;1.0;0.027;0.029;0.014
transcript16_ENSMUNG00000007775;0.238;0.022;0.285;0.122;0.122;1.0;1.0;1.0;0.221;0.238;0.122;0.022;0.238;0.221
transcript23_ENSMUNG00000007775;0.238;0.022;0.285;0.122;0.122;1.0;1.0;1.0;0.221;0.238;0.122;0.022;0.238;0.221
transcript16_ENSMUNG00000002377;0.238;0.022;0.285;0.122;0.122;1.0;1.0;1.0;0.221;0.238;0.122;0.022;0.238;0.221
transcript10_ENSMUNG00000002391;0.983;0.538;0.77;0.014;0.014;0.221;0.221;0.221;1.0;0.983;0.014;0.538;0.983;1.0
transcript2_ENSXMAG00000026005;1.0;0.555;0.756;0.029;0.029;0.238;0.238;0.238;0.983;1.0;0.029;0.555;1.0;0.983
transcript7_ENSXMAG00000026005;0.029;0.027;0.018;1.0;1.0;0.122;0.122;0.122;0.014;0.029;1.0;0.027;0.029;0.014
transcript8_ENSXMAG00000026005;0.555;1.0;0.311;0.027;0.027;0.022;0.022;0.022;0.538;0.555;0.027;1.0;0.555;0.538
transcript9_ENSXMAG00000026005;1.0;0.555;0.756;0.029;0.029;0.238;0.238;0.238;0.983;1.0;0.029;0.555;1.0;0.983
transcript10_ENSXMAG00000026005;0.983;0.538;0.77;0.014;0.014;0.221;0.221;0.221;1.0;0.983;0.014;0.538;0.983;1.0
