;transcript33_ENSMUSG00000054036;transcript33_MGP-PahariEiJ-G0020237;transcript27_ENSRNOG00000031503;transcript27_ENSMUGG00000013649;transcript34_ENSRNOG00000031503;transcript37_ENSMUGG00000013649;transcript38_ENSMUGG00000013649;transcript40_ENSMUGG00000013649;transcript45_ENSMUGG00000013649;transcript46_ENSMUGG00000013649;transcript49_ENSMUGG00000013649;transcript39_ENSMUGG00000013592
transcript33_ENSMUSG00000054036;1.0;1.0;1.0;1.0;1.0;0.167;0.972;1.0;0.972;0.917;0.944;1.0
transcript33_MGP-PahariEiJ-G0020237;1.0;1.0;1.0;1.0;1.0;0.182;0.97;1.0;0.97;0.909;0.939;1.0
transcript27_ENSRNOG00000031503;1.0;1.0;1.0;1.0;1.0;0.233;0.933;1.0;0.933;0.833;0.9;1.0
transcript27_ENSMUGG00000013649;1.0;1.0;1.0;1.0;1.0;0.19;0.905;1.0;0.905;0.833;0.881;1.0
transcript34_ENSRNOG00000031503;1.0;1.0;1.0;1.0;1.0;0.233;0.933;1.0;0.933;0.833;0.9;1.0
transcript37_ENSMUGG00000013649;0.167;0.182;0.233;0.19;0.233;1.0;0.122;0.19;0.122;0.075;0.098;0.19
transcript38_ENSMUGG00000013649;0.972;0.97;0.933;0.905;0.933;0.122;1.0;0.905;1.0;0.921;0.974;0.905
transcript40_ENSMUGG00000013649;1.0;1.0;1.0;1.0;1.0;0.19;0.905;1.0;0.905;0.833;0.881;1.0
transcript45_ENSMUGG00000013649;0.972;0.97;0.933;0.905;0.933;0.122;1.0;0.905;1.0;0.921;0.974;0.905
transcript46_ENSMUGG00000013649;0.917;0.909;0.833;0.833;0.833;0.075;0.921;0.833;0.921;1.0;0.946;0.833
transcript49_ENSMUGG00000013649;0.944;0.939;0.9;0.881;0.9;0.098;0.974;0.881;0.974;0.946;1.0;0.881
transcript39_ENSMUGG00000013592;1.0;1.0;1.0;1.0;1.0;0.19;0.905;1.0;0.905;0.833;0.881;1.0
