;ENSCAFT00000032063_90_90;ENSCAFT00000047065_90_90;ENSCAFT00000050191_90_90;ENST00000260506_90_90;ENST00000271234_90_90;ENST00000370253_90_90;ENST00000424449_90_90;ENST00000604705_90_90;ENSMUST00000162409_90_90;ENSMUST00000162947_90_90;ENSMUST00000197259_90_90
ENSCAFT00000032063_90_90;1.0;0.701;0.786;0.723;0.691;0.643;0.533;0.757;0.723;0.757;0.555
ENSCAFT00000047065_90_90;0.701;1.0;0.583;0.814;0.911;0.738;0.579;0.997;0.814;0.997;0.599
ENSCAFT00000050191_90_90;0.786;0.583;1.0;0.707;0.669;0.8;0.512;0.605;0.734;0.621;0.467
ENST00000260506_90_90;0.723;0.814;0.707;1.0;0.713;0.857;0.387;0.809;1.0;0.809;0.392
ENST00000271234_90_90;0.691;0.911;0.669;0.713;1.0;0.798;0.641;0.894;0.732;0.922;0.62
ENST00000370253_90_90;0.643;0.738;0.8;0.857;0.798;1.0;0.44;0.713;0.893;0.732;0.406
ENST00000424449_90_90;0.533;0.579;0.512;0.387;0.641;0.44;1.0;0.568;0.392;0.582;0.996
ENST00000604705_90_90;0.757;0.997;0.605;0.809;0.894;0.713;0.568;1.0;0.809;1.0;0.582
ENSMUST00000162409_90_90;0.723;0.814;0.734;1.0;0.732;0.893;0.392;0.809;1.0;0.809;0.387
ENSMUST00000162947_90_90;0.757;0.997;0.621;0.809;0.922;0.732;0.582;1.0;0.809;1.0;0.568
ENSMUST00000197259_90_90;0.555;0.599;0.467;0.392;0.62;0.406;0.996;0.582;0.387;0.568;1.0
