;ENSCAFT00000001061_90_90;ENST00000297447_90_90;ENST00000312046_90_90;ENST00000435082_90_90;ENST00000438229_90_90;ENST00000442977_90_90;ENST00000449762_90_90;ENST00000497705_90_90;ENST00000517566_90_90;ENST00000517686_90_90;ENST00000519415_90_90;ENST00000521592_90_90;ENST00000531443_90_90;ENSMUST00000022918_90_90;ENSMUST00000090095_90_90;ENSMUST00000090096_90_90;ENSMUST00000110297_90_90;ENSMUST00000166917_90_90;ENSMUST00000170127_90_90;ENSMUST00000179393_90_90
ENSCAFT00000001061_90_90;1.0;0.25;0.792;0.083;0.042;0.917;0.208;0.542;0.833;0.125;0.458;0.042;0.792;0.727;0.682;0.682;0.909;0.227;0.818;0.682
ENST00000297447_90_90;0.25;1.0;0.143;0.083;0.0;0.172;0.857;0.0;0.192;0.0;0.105;0.143;0.154;0.312;0.25;0.25;0.227;0.857;0.19;0.25
ENST00000312046_90_90;0.792;0.143;1.0;0.24;0.16;0.625;0.148;0.483;0.69;0.111;0.5;0.04;0.714;0.765;0.812;0.812;0.714;0.222;0.889;0.812
ENST00000435082_90_90;0.083;0.083;0.24;1.0;0.429;0.031;0.091;0.0;0.034;0.0;0.0;0.0;0.036;0.067;0.071;0.071;0.048;0.143;0.111;0.071
ENST00000438229_90_90;0.042;0.0;0.16;0.429;1.0;0.033;0.0;0.048;0.037;0.125;0.0;0.0;0.038;0.0;0.0;0.0;0.048;0.0;0.111;0.0
ENST00000442977_90_90;0.917;0.172;0.625;0.031;0.033;1.0;0.138;0.452;0.821;0.103;0.464;0.037;0.786;0.7;0.65;0.65;1.0;0.182;0.652;0.65
ENST00000449762_90_90;0.208;0.857;0.148;0.091;0.0;0.138;1.0;0.0;0.154;0.0;0.111;0.167;0.16;0.25;0.267;0.267;0.182;1.0;0.2;0.267
ENST00000497705_90_90;0.542;0.0;0.483;0.0;0.048;0.452;0.0;1.0;0.5;0.15;0.391;0.0;0.519;0.471;0.5;0.5;0.476;0.0;0.611;0.5
ENST00000517566_90_90;0.833;0.192;0.69;0.034;0.037;0.821;0.154;0.5;1.0;0.115;0.52;0.042;0.958;0.778;0.722;0.722;0.9;0.2;0.714;0.722
ENST00000517686_90_90;0.125;0.0;0.111;0.0;0.125;0.103;0.0;0.15;0.115;1.0;0.0;0.0;0.12;0.059;0.062;0.062;0.143;0.0;0.222;0.062
ENST00000519415_90_90;0.458;0.105;0.5;0.0;0.0;0.464;0.111;0.391;0.52;0.0;1.0;0.071;0.542;0.571;0.615;0.615;0.4;0.167;0.444;0.615
ENST00000521592_90_90;0.042;0.143;0.04;0.0;0.0;0.037;0.167;0.0;0.042;0.0;0.071;1.0;0.043;0.071;0.077;0.077;0.05;0.167;0.056;0.077
ENST00000531443_90_90;0.792;0.154;0.714;0.036;0.038;0.786;0.16;0.519;0.958;0.12;0.542;0.043;1.0;0.722;0.765;0.765;0.85;0.211;0.75;0.765
ENSMUST00000022918_90_90;0.727;0.312;0.765;0.067;0.0;0.7;0.25;0.471;0.778;0.059;0.571;0.071;0.722;1.0;0.947;0.947;0.731;0.19;0.643;0.947
ENSMUST00000090095_90_90;0.682;0.25;0.812;0.071;0.0;0.65;0.267;0.5;0.722;0.062;0.615;0.077;0.765;0.947;1.0;1.0;0.692;0.2;0.667;1.0
ENSMUST00000090096_90_90;0.682;0.25;0.812;0.071;0.0;0.65;0.267;0.5;0.722;0.062;0.615;0.077;0.765;0.947;1.0;1.0;0.692;0.2;0.667;1.0
ENSMUST00000110297_90_90;0.909;0.227;0.714;0.048;0.048;1.0;0.182;0.476;0.9;0.143;0.4;0.05;0.85;0.731;0.692;0.692;1.0;0.143;0.606;0.692
ENSMUST00000166917_90_90;0.227;0.857;0.222;0.143;0.0;0.182;1.0;0.0;0.2;0.0;0.167;0.167;0.211;0.19;0.2;0.2;0.143;1.0;0.138;0.2
ENSMUST00000170127_90_90;0.818;0.19;0.889;0.111;0.111;0.652;0.2;0.611;0.714;0.222;0.444;0.056;0.75;0.643;0.667;0.667;0.606;0.138;1.0;0.667
ENSMUST00000179393_90_90;0.682;0.25;0.812;0.071;0.0;0.65;0.267;0.5;0.722;0.062;0.615;0.077;0.765;0.947;1.0;1.0;0.692;0.2;0.667;1.0
