;transcript8_ENSMSIG00000000513;transcript49_ENSMSIG00000000513;transcript49_MGP-SPRETEiJ-G0021131;transcript65_MGP-SPRETEiJ-G0021131;transcript47_MGP-CAROLIEiJ-G0020234;transcript38_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUSG00000054036;transcript46_ENSMUSG00000054036;transcript61_ENSMSIG00000000513;transcript62_ENSMSIG00000000513;transcript60_ENSMSIG00000000513;transcript38_MGP-PahariEiJ-G0020237;transcript66_MGP-SPRETEiJ-G0021131;transcript40_MGP-SPRETEiJ-G0021131
transcript8_ENSMSIG00000000513;1.0;0.154;0.157;0.136;0.131;0.126;0.15;0.149;0.184;0.188;0.181;0.132;0.137;0.123
transcript49_ENSMSIG00000000513;0.154;1.0;0.954;0.696;0.63;0.624;0.631;0.637;0.857;0.843;0.871;0.679;0.723;0.747
transcript49_MGP-SPRETEiJ-G0021131;0.157;0.954;1.0;0.724;0.607;0.601;0.621;0.625;0.826;0.811;0.841;0.657;0.753;0.777
transcript65_MGP-SPRETEiJ-G0021131;0.136;0.696;0.724;1.0;0.698;0.69;0.736;0.74;0.607;0.596;0.62;0.769;0.822;0.907
transcript47_MGP-CAROLIEiJ-G0020234;0.131;0.63;0.607;0.698;1.0;0.964;0.779;0.784;0.649;0.643;0.685;0.836;0.692;0.766
transcript38_MGP-CAROLIEiJ-G0020234;0.126;0.624;0.601;0.69;0.964;1.0;0.758;0.763;0.637;0.632;0.661;0.861;0.683;0.756
transcript7_ENSMUSG00000054036;0.15;0.631;0.621;0.736;0.779;0.758;1.0;0.994;0.617;0.606;0.651;0.837;0.723;0.815
transcript46_ENSMUSG00000054036;0.149;0.637;0.625;0.74;0.784;0.763;0.994;1.0;0.622;0.611;0.656;0.841;0.728;0.82
transcript61_ENSMSIG00000000513;0.184;0.857;0.826;0.607;0.649;0.637;0.617;0.622;1.0;0.985;0.948;0.708;0.63;0.657
transcript62_ENSMSIG00000000513;0.188;0.843;0.811;0.596;0.643;0.632;0.606;0.611;0.985;1.0;0.933;0.698;0.638;0.646
transcript60_ENSMSIG00000000513;0.181;0.871;0.841;0.62;0.685;0.661;0.651;0.656;0.948;0.933;1.0;0.726;0.643;0.669
transcript38_MGP-PahariEiJ-G0020237;0.132;0.679;0.657;0.769;0.836;0.861;0.837;0.841;0.708;0.698;0.726;1.0;0.758;0.851
transcript66_MGP-SPRETEiJ-G0021131;0.137;0.723;0.753;0.822;0.692;0.683;0.723;0.728;0.63;0.638;0.643;0.758;1.0;0.893
transcript40_MGP-SPRETEiJ-G0021131;0.123;0.747;0.777;0.907;0.766;0.756;0.815;0.82;0.657;0.646;0.669;0.851;0.893;1.0
