;transcript40_ENSRNOG00000031503;transcript47_ENSRNOG00000031503;transcript32_ENSSTOG00000019743;transcript7_ENSSTOG00000019743;transcript25_ENSSTOG00000019743;transcript24_ENSSTOG00000019743;transcript47_ENSMUGG00000013649;transcript20_ENSMUGG00000013649;transcript20_ENSMUGG00000013592;transcript47_ENSPEMG00000024651;transcript19_ENSPEMG00000024651;transcript38_ENSPEMG00000024651;transcript27_ENSNGAG00000018584
transcript40_ENSRNOG00000031503;1.0;0.907;1.0;1.0;1.0;0.926;0.961;1.0;1.0;0.907;1.0;1.0;1.0
transcript47_ENSRNOG00000031503;0.907;1.0;0.907;0.907;0.907;0.98;1.0;0.961;0.959;1.0;0.907;0.907;0.973
transcript32_ENSSTOG00000019743;1.0;0.907;1.0;1.0;1.0;0.922;0.967;1.0;1.0;0.922;1.0;1.0;1.0
transcript7_ENSSTOG00000019743;1.0;0.907;1.0;1.0;1.0;0.922;0.967;1.0;1.0;0.922;1.0;1.0;1.0
transcript25_ENSSTOG00000019743;1.0;0.907;1.0;1.0;1.0;0.922;0.967;1.0;1.0;0.922;1.0;1.0;1.0
transcript24_ENSSTOG00000019743;0.926;0.98;0.922;0.922;0.922;1.0;0.983;0.983;0.983;0.979;0.941;0.941;1.0
transcript47_ENSMUGG00000013649;0.961;1.0;0.967;0.967;0.967;0.983;1.0;0.967;0.966;1.0;0.959;0.959;0.976
transcript20_ENSMUGG00000013649;1.0;0.961;1.0;1.0;1.0;0.983;0.967;1.0;1.0;0.959;1.0;1.0;1.0
transcript20_ENSMUGG00000013592;1.0;0.959;1.0;1.0;1.0;0.983;0.966;1.0;1.0;0.957;1.0;1.0;1.0
transcript47_ENSPEMG00000024651;0.907;1.0;0.922;0.922;0.922;0.979;1.0;0.959;0.957;1.0;0.922;0.922;0.971
transcript19_ENSPEMG00000024651;1.0;0.907;1.0;1.0;1.0;0.941;0.959;1.0;1.0;0.922;1.0;1.0;1.0
transcript38_ENSPEMG00000024651;1.0;0.907;1.0;1.0;1.0;0.941;0.959;1.0;1.0;0.922;1.0;1.0;1.0
transcript27_ENSNGAG00000018584;1.0;0.973;1.0;1.0;1.0;1.0;0.976;1.0;1.0;0.971;1.0;1.0;1.0
