;ENSCAFT00000025827_90_90;ENST00000254322_90_90;ENST00000396969_90_90;ENST00000594099_90_90;ENST00000595139_90_90;ENST00000595992_90_90;ENST00000596075_90_90;ENST00000596853_90_90;ENST00000598235_90_90;ENST00000598692_90_90;ENST00000601533_90_90;ENSMUST00000005620_90_90;ENSMUST00000212300_90_90
ENSCAFT00000025827_90_90;1.0;0.891;0.728;0.325;0.497;0.379;0.159;0.421;0.603;0.202;0.259;0.891;0.728
ENST00000254322_90_90;0.891;1.0;0.699;0.312;0.589;0.363;0.155;0.403;0.577;0.195;0.249;0.927;0.699
ENST00000396969_90_90;0.728;0.699;1.0;0.446;0.506;0.52;0.222;0.577;0.827;0.279;0.356;0.699;1.0
ENST00000594099_90_90;0.325;0.312;0.446;1.0;0.512;0.863;0.496;0.794;0.542;0.624;0.799;0.312;0.446
ENST00000595139_90_90;0.497;0.589;0.506;0.512;1.0;0.584;0.29;0.631;0.591;0.338;0.416;0.531;0.506
ENST00000595992_90_90;0.379;0.363;0.52;0.863;0.584;1.0;0.444;0.913;0.629;0.546;0.692;0.363;0.52
ENST00000596075_90_90;0.159;0.155;0.222;0.496;0.29;0.444;1.0;0.425;0.28;0.746;0.604;0.155;0.222
ENST00000596853_90_90;0.421;0.403;0.577;0.794;0.631;0.913;0.425;1.0;0.693;0.511;0.64;0.403;0.577
ENST00000598235_90_90;0.603;0.577;0.827;0.542;0.591;0.629;0.28;0.693;1.0;0.344;0.435;0.577;0.827
ENST00000598692_90_90;0.202;0.195;0.279;0.624;0.338;0.546;0.746;0.511;0.344;1.0;0.775;0.195;0.279
ENST00000601533_90_90;0.259;0.249;0.356;0.799;0.416;0.692;0.604;0.64;0.435;0.775;1.0;0.249;0.356
ENSMUST00000005620_90_90;0.891;0.927;0.699;0.312;0.531;0.363;0.155;0.403;0.577;0.195;0.249;1.0;0.699
ENSMUST00000212300_90_90;0.728;0.699;1.0;0.446;0.506;0.52;0.222;0.577;0.827;0.279;0.356;0.699;1.0
