;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.725;0.065;0.752;0.559;0.159;0.235;0.66;0.516;0.197;0.62;0.683;0.284;0.589
ENST00000295894_90_90;0.725;1.0;0.093;0.903;0.788;0.205;0.16;0.814;0.73;0.332;0.745;0.915;0.424;0.708
ENST00000450542_90_90;0.065;0.093;1.0;0.081;0.113;0.257;0.0;0.209;0.097;0.0;0.15;0.048;0.12;0.085
ENST00000460711_90_90;0.752;0.903;0.081;1.0;0.71;0.184;0.147;0.744;0.659;0.292;0.688;0.836;0.383;0.655
ENST00000465156_90_90;0.559;0.788;0.113;0.71;1.0;0.18;0.192;0.621;0.536;0.321;0.559;0.712;0.516;0.54
ENST00000468110_90_90;0.159;0.205;0.257;0.184;0.18;1.0;0.193;0.332;0.227;0.533;0.332;0.205;0.223;0.182
ENST00000472899_90_90;0.235;0.16;0.0;0.147;0.192;0.193;1.0;0.076;0.178;0.414;0.076;0.16;0.238;0.068
ENST00000478300_90_90;0.66;0.814;0.209;0.744;0.621;0.332;0.076;1.0;0.581;0.205;0.908;0.745;0.308;0.71
ENST00000479198_90_90;0.516;0.73;0.097;0.659;0.536;0.227;0.178;0.581;1.0;0.364;0.522;0.658;0.466;0.509
ENST00000498449_90_90;0.197;0.332;0.0;0.292;0.321;0.533;0.414;0.205;0.364;1.0;0.205;0.332;0.39;0.177
ENSMUST00000070323_90_90;0.62;0.745;0.15;0.688;0.559;0.332;0.076;0.908;0.522;0.205;1.0;0.814;0.308;0.71
ENSMUST00000112656_90_90;0.683;0.915;0.048;0.836;0.712;0.205;0.16;0.745;0.658;0.332;0.814;1.0;0.424;0.708
ENSMUST00000153954_90_90;0.284;0.424;0.12;0.383;0.516;0.223;0.238;0.308;0.466;0.39;0.308;0.424;1.0;0.426
ENSMUST00000223583_90_90;0.589;0.708;0.085;0.655;0.54;0.182;0.068;0.71;0.509;0.177;0.71;0.708;0.426;1.0
