;ENSCAFT00000004869_90_90;ENSCAFT00000013439_90_90;ENSCAFT00000037016_90_90;ENSCAFT00000021145_90_90;ENSCAFT00000025193_90_90;ENST00000302271_90_90;ENST00000374612_90_90;ENST00000374616_90_90;ENST00000427764_90_90;ENST00000478691_90_90;ENST00000606561_90_90;ENST00000641107_90_90;ENST00000355238_90_90;ENST00000369622_90_90;ENST00000444272_90_90;ENST00000616122_90_90;ENST00000281722_90_90;ENST00000510397_90_90;ENST00000512640_90_90;ENST00000514866_90_90;ENST00000295971_90_90;ENST00000381793_90_90;ENST00000381795_90_90;ENST00000505220_90_90;ENST00000505414_90_90;ENST00000507180_90_90;ENST00000510871_90_90;ENST00000511598_90_90;ENST00000511902_90_90;ENST00000513473_90_90;ENST00000514014_90_90;ENST00000514782_90_90;ENST00000515053_90_90;ENSMUST00000069221_90_90;ENSMUST00000172508_90_90;ENSMUST00000172828_90_90;ENSMUST00000173405_90_90;ENSMUST00000173801_90_90;ENSMUST00000174269_90_90;ENSMUST00000174282_90_90;ENSMUST00000174361_90_90;ENSMUST00000174391_90_90;ENSMUST00000174688_90_90;ENSMUST00000048647_90_90;ENSMUST00000182637_90_90;ENSMUST00000182818_90_90;ENSMUST00000084219_90_90;ENSMUST00000105850_90_90;ENSMUST00000125696_90_90;ENSMUST00000131671_90_90;ENSMUST00000134524_90_90;ENSMUST00000145282_90_90;ENSMUST00000148843_90_90;ENSMUST00000156259_90_90;ENSMUST00000094756_90_90;ENSMUST00000094757_90_90;ENSMUST00000113724_90_90;ENSMUST00000113726_90_90;ENSMUST00000167950_90_90;ENSMUST00000200775_90_90;ENSMUST00000200852_90_90;ENSMUST00000201544_90_90;ENSMUST00000201561_90_90;ENSMUST00000202700_90_90
ENSCAFT00000004869_90_90;1.0;1.0;1.0;1.0;1.0;0.988;0.988;1.0;0.917;0.857;0.774;0.262;0.966;1.0;0.368;0.805;1.0;1.0;0.373;1.0;0.967;0.967;0.77;0.213;0.443;0.361;0.787;0.344;0.213;0.492;0.77;0.393;0.525;0.966;0.149;0.184;0.391;1.0;0.943;0.966;0.977;0.805;0.851;1.0;1.0;1.0;0.857;1.0;0.19;0.857;0.5;0.155;1.0;0.048;0.774;1.0;1.0;1.0;1.0;1.0;0.419;1.0;0.048;0.097
ENSCAFT00000013439_90_90;1.0;1.0;0.936;1.0;1.0;0.981;0.981;1.0;0.887;0.943;0.83;0.226;0.891;0.964;0.255;0.836;0.972;1.0;0.25;0.959;0.967;0.967;0.803;0.115;0.344;0.262;0.623;0.246;0.115;0.393;0.869;0.295;0.426;0.891;0.055;0.164;0.273;0.964;0.855;0.873;0.927;0.836;0.709;0.973;1.0;0.961;0.943;1.0;0.17;0.943;0.453;0.057;1.0;0.019;0.787;1.0;1.0;1.0;1.0;1.0;0.328;1.0;0.016;0.016
ENSCAFT00000037016_90_90;1.0;0.936;1.0;1.0;1.0;0.981;0.981;1.0;0.887;0.943;0.83;0.226;0.891;0.964;0.255;0.836;0.986;0.959;0.254;1.0;0.967;0.967;0.803;0.115;0.344;0.262;0.623;0.246;0.115;0.393;0.869;0.295;0.426;0.891;0.055;0.164;0.273;0.964;0.855;0.873;0.927;0.836;0.709;0.986;0.961;1.0;0.943;1.0;0.17;0.943;0.453;0.057;1.0;0.019;0.787;1.0;1.0;1.0;1.0;1.0;0.328;1.0;0.016;0.016
ENSCAFT00000021145_90_90;1.0;1.0;1.0;1.0;1.0;0.991;0.991;1.0;0.935;0.87;0.806;0.241;0.835;1.0;0.309;0.711;1.0;1.0;0.365;1.0;0.971;0.971;0.721;0.191;0.397;0.324;0.721;0.309;0.191;0.441;0.794;0.353;0.471;0.835;0.113;0.165;0.33;1.0;0.814;0.835;0.979;0.711;0.732;1.0;1.0;1.0;0.869;1.0;0.15;0.869;0.411;0.14;1.0;0.056;0.735;1.0;1.0;1.0;1.0;1.0;0.382;1.0;0.044;0.088
ENSCAFT00000025193_90_90;1.0;1.0;1.0;1.0;1.0;0.985;0.985;1.0;0.91;0.94;0.851;0.254;0.853;0.971;0.279;0.794;1.0;1.0;0.338;1.0;0.978;0.978;0.783;0.174;0.326;0.272;0.587;0.261;0.174;0.359;0.815;0.293;0.38;0.853;0.059;0.191;0.294;0.971;0.824;0.838;0.941;0.794;0.706;1.0;1.0;1.0;0.94;1.0;0.194;0.94;0.433;0.06;1.0;0.0;0.767;1.0;1.0;1.0;1.0;1.0;0.322;1.0;0.033;0.067
ENST00000302271_90_90;0.988;0.981;0.981;0.991;0.985;1.0;1.0;0.982;0.944;0.855;0.815;0.239;0.825;0.99;0.312;0.701;0.981;0.981;0.373;0.981;0.956;0.956;0.706;0.194;0.403;0.328;0.706;0.313;0.194;0.426;0.779;0.358;0.456;0.825;0.115;0.167;0.333;0.99;0.804;0.825;0.969;0.701;0.74;0.963;0.981;0.981;0.86;0.991;0.151;0.86;0.402;0.142;0.991;0.057;0.721;0.985;0.985;0.985;0.985;0.985;0.388;0.985;0.045;0.09
ENST00000374612_90_90;0.988;0.981;0.981;0.991;0.985;1.0;1.0;0.982;0.944;0.855;0.815;0.239;0.825;0.99;0.312;0.701;0.981;0.981;0.373;0.981;0.956;0.956;0.706;0.194;0.403;0.328;0.706;0.313;0.194;0.426;0.779;0.358;0.456;0.825;0.115;0.167;0.333;0.99;0.804;0.825;0.969;0.701;0.74;0.963;0.981;0.981;0.86;0.991;0.151;0.86;0.402;0.142;0.991;0.057;0.721;0.985;0.985;0.985;0.985;0.985;0.388;0.985;0.045;0.09
ENST00000374616_90_90;1.0;1.0;1.0;1.0;1.0;0.982;0.982;1.0;0.927;0.873;0.8;0.234;0.835;1.0;0.309;0.711;1.0;1.0;0.365;1.0;0.971;0.971;0.721;0.191;0.397;0.324;0.721;0.309;0.191;0.441;0.794;0.353;0.471;0.835;0.113;0.165;0.33;1.0;0.814;0.835;0.979;0.711;0.732;0.981;1.0;1.0;0.869;1.0;0.15;0.869;0.411;0.14;1.0;0.056;0.735;1.0;1.0;1.0;1.0;1.0;0.382;1.0;0.044;0.088
ENST00000427764_90_90;0.917;0.887;0.887;0.935;0.91;0.944;0.944;0.927;1.0;0.8;0.863;0.252;0.763;0.928;0.25;0.639;0.885;0.885;0.275;0.885;0.882;0.882;0.632;0.172;0.328;0.254;0.632;0.239;0.172;0.353;0.731;0.284;0.382;0.763;0.122;0.116;0.271;0.928;0.742;0.763;0.907;0.639;0.677;0.87;0.887;0.887;0.804;0.935;0.094;0.804;0.346;0.15;0.935;0.06;0.647;0.912;0.912;0.912;0.912;0.912;0.313;0.912;0.048;0.097
ENST00000478691_90_90;0.857;0.943;0.943;0.87;0.94;0.855;0.855;0.873;0.8;1.0;0.917;0.268;0.711;0.876;0.186;0.812;1.0;1.0;0.365;1.0;0.912;0.912;0.662;0.132;0.338;0.265;0.662;0.25;0.132;0.382;0.844;0.294;0.412;0.711;0.0;0.188;0.206;0.876;0.691;0.711;0.856;0.812;0.608;0.926;0.943;0.943;1.0;0.869;0.172;1.0;0.28;0.009;0.869;0.0;0.676;0.941;0.941;0.941;0.941;0.941;0.324;0.941;0.0;0.029
